date,close,open,high,low,volume,s
2012-01-01,114,115.0,115.0,113,1111,ok
2012-01-02,118,114.0,118.0,115,551,ok
2012-01-03,115,118.0,116.0,114,490,ok
2012-01-04,114,115.0,115.0,113,3220,ok
2012-01-05,113,114.0,114.0,112,775,ok
2012-01-08,114,113.0,115.0,113,3240,ok
2012-01-09,111,114.0,113.0,111,1710,ok
2012-01-10,112,111.0,114.0,112,549,ok
2012-01-11,112,112.0,112.0,111,2477,ok
2012-01-12,112,112.0,112.0,110,3102,ok
2012-01-16,111,112.0,112.0,111,1049,ok
2012-01-17,113,111.0,114.0,110,866,ok
2012-01-18,118,113.0,118.0,114,2190,ok
2012-01-18,117,118.0,117.0,115,411,ok
2012-01-22,117,117.0,118.0,115,4484,ok
2012-01-23,112,117.0,115.0,111,1650,ok
2012-01-25,114,112.0,114.0,111,1170,ok
2012-01-26,112,114.0,114.0,110,1060,ok
2012-01-29,112,112.0,114.0,111,4200,ok
2012-01-31,110,112.0,114.0,110,2291,ok
2012-02-01,111,110.0,113.0,110,1833,ok
2012-02-02,111,111.0,113.0,111,3946,ok
2012-02-05,110,111.0,111.0,109,1611,ok
2012-02-06,111,110.0,111.0,110,992,ok
2012-02-07,110,111.0,110.0,107,2091,ok
2012-02-08,110,110.0,110.0,109,386,ok
2012-02-09,109,110.0,110.0,109,920,ok
2012-02-12,109,109.0,109.0,108,1309,ok
2012-02-13,108,109.0,111.0,107,1992,ok
2012-02-14,109,108.0,110.0,107,1961,ok
2012-02-15,111,109.0,111.0,110,276,ok
2012-02-16,108,111.0,109.0,107,550,ok
2012-02-21,109,108.0,109.0,108,631,ok
2012-02-23,109,109.0,109.0,107,1230,ok
2012-02-26,107,109.0,109.0,105,2747,ok
2012-02-27,108,107.0,109.0,107,1285,ok
2012-02-28,109,108.0,110.0,107,2204,ok
2012-02-29,108,109.0,109.0,108,1030,ok
2012-03-01,108,108.0,109.0,107,2300,ok
2012-03-04,109,108.0,109.0,104,1451,ok
2012-03-05,107,109.0,109.0,107,460,ok
2012-03-06,105,107.0,107.0,105,2124,ok
2012-03-11,106,105.0,106.0,105,754,ok
2012-03-12,106,106.0,107.0,102,1022,ok
2012-03-13,104,106.0,106.0,104,1321,ok
2012-03-14,103,104.0,105.0,103,793,ok
2012-03-15,103,103.0,103.0,101,842,ok
2012-03-18,103,103.0,103.0,101,1003,ok
2012-03-19,102,103.0,105.0,102,311,ok
2012-03-20,101,102.0,103.0,101,4107,ok
2012-03-21,104,101.0,106.0,101,1257,ok
2012-03-25,106,104.0,106.0,102,920,ok
2012-03-26,107,106.0,107.0,103,2082,ok
2012-03-27,103,107.0,105.0,102,270,ok
2012-03-28,106,103.0,106.0,104,1615,ok
2012-03-29,105,106.0,108.0,105,1395,ok
2012-04-01,106,105.0,106.0,105,1762,ok
2012-04-02,105,106.0,106.0,104,1275,ok
2012-04-03,106,105.0,106.0,106,680,ok
2012-04-04,105,106.0,106.0,105,3550,ok
2012-04-05,106,105.0,106.0,105,680,ok
2012-04-08,106,106.0,106.0,105,1051,ok
2012-04-09,106,106.0,107.0,105,921,ok
2012-04-10,106,106.0,106.0,104,1313,ok
2012-04-11,107,106.0,110.0,107,2180,ok
2012-04-12,114,107.0,114.0,108,683,ok
2012-04-15,123,114.0,124.0,116,2514,ok
2012-04-16,135,123.0,135.0,125,833,ok
2012-04-17,130,135.0,133.0,130,1789,ok
2012-04-18,124,130.0,128.0,120,3301,ok
2012-04-19,122,124.0,128.0,120,4668,ok
2012-04-22,123,122.0,124.0,122,1560,ok
2012-04-24,129,123.0,129.0,125,100,ok
2012-04-25,135,129.0,135.0,135,70,ok
2012-04-26,148,135.0,148.0,137,8831,ok
2012-04-29,150,148.0,159.0,141,8923,ok
2012-04-30,140,150.0,153.0,135,5694,ok
2012-05-02,128,140.0,140.0,128,980,ok
2012-05-03,132,128.0,132.0,130,241,ok
2012-05-07,134,132.0,134.0,134,183,ok
2012-05-08,142,134.0,142.0,136,2332,ok
2012-05-09,142,142.0,148.0,133,7062,ok
2012-05-10,139,142.0,142.0,129,11243,ok
2012-05-13,132,139.0,137.0,130,3133,ok
2012-05-14,125,132.0,130.0,121,5092,ok
2012-05-15,137,125.0,137.0,127,696,ok
2012-05-16,139,137.0,139.0,139,150,ok
2012-05-17,141,139.0,147.0,141,6469,ok
2012-05-20,139,141.0,142.0,134,6548,ok
2012-05-21,139,139.0,145.0,138,3222,ok
2012-05-22,143,139.0,143.0,133,8963,ok
2012-05-23,133,143.0,141.0,133,905,ok
2012-05-24,143,133.0,143.0,133,7754,ok
2012-05-27,148,143.0,153.0,140,6836,ok
2012-05-29,134,148.0,146.0,134,3959,ok
2012-05-30,121,134.0,132.0,121,4480,ok
2012-05-31,128,121.0,128.0,119,1231,ok
2012-06-03,140,128.0,140.0,125,1647,ok
2012-06-04,133,140.0,141.0,130,3705,ok
2012-06-05,133,133.0,135.0,131,2968,ok
2012-06-06,126,133.0,131.0,125,1331,ok
2012-06-07,131,126.0,134.0,122,2120,ok
2012-06-10,138,131.0,140.0,133,8139,ok
2012-06-11,140,138.0,142.0,136,4583,ok
2012-06-12,140,140.0,142.0,139,4983,ok
2012-06-13,141,140.0,146.0,138,8518,ok
2012-06-14,136,141.0,139.0,133,1912,ok
2012-06-17,134,136.0,136.0,128,2426,ok
2012-06-18,133,134.0,133.0,130,2589,ok
2012-06-19,132,133.0,133.0,131,1549,ok
2012-06-20,134,132.0,136.0,132,1361,ok
2012-06-21,136,134.0,137.0,135,1170,ok
2012-06-25,140,136.0,140.0,133,1760,ok
2012-06-26,136,140.0,138.0,134,2036,ok
2012-06-27,140,136.0,140.0,132,2422,ok
2012-06-28,140,140.0,142.0,139,2876,ok
2012-07-01,142,140.0,142.0,140,3643,ok
2012-07-02,141,142.0,145.0,140,3256,ok
2012-07-03,141,141.0,141.0,140,880,ok
2012-07-04,146,141.0,146.0,140,3868,ok
2012-07-05,145,146.0,145.0,142,3056,ok
2012-07-08,144,145.0,148.0,143,2338,ok
2012-07-09,148,144.0,150.0,144,3893,ok
2012-07-10,150,148.0,153.0,148,3747,ok
2012-07-11,152,150.0,152.0,148,3631,ok
2012-07-12,151,152.0,156.0,149,3977,ok
2012-07-15,156,151.0,156.0,151,1722,ok
2012-07-16,162,156.0,162.0,150,12898,ok
2012-07-17,171,162.0,175.0,161,12061,ok
2012-07-18,186,171.0,186.0,170,8985,ok
2012-07-19,198,186.0,198.0,176,21519,ok
2012-07-22,192,198.0,200.0,187,19689,ok
2012-07-23,190,192.0,198.0,189,13375,ok
2012-07-24,190,190.0,190.0,181,7364,ok
2012-07-25,184,190.0,187.0,181,10548,ok
2012-07-26,177,184.0,181.0,175,4910,ok
2012-07-29,166,177.0,174.0,161,4932,ok
2012-07-30,171,166.0,172.0,163,7450,ok
2012-07-31,176,171.0,182.0,168,4757,ok
2012-08-01,180,176.0,182.0,174,6479,ok
2012-08-05,181,180.0,184.0,178,4178,ok
2012-08-06,181,181.0,183.0,180,5741,ok
2012-08-07,176,181.0,184.0,174,4255,ok
2012-08-08,179,176.0,179.0,170,6744,ok
2012-08-12,171,179.0,179.0,167,3111,ok
2012-08-13,168,171.0,168.0,160,3464,ok
2012-08-14,166,168.0,168.0,165,1990,ok
2012-08-15,163,166.0,166.0,161,4533,ok
2012-08-16,170,163.0,176.0,166,5649,ok
2012-08-19,173,170.0,175.0,170,5601,ok
2012-08-21,166,173.0,175.0,164,5218,ok
2012-08-22,165,166.0,167.0,161,4219,ok
2012-08-23,165,165.0,167.0,162,3162,ok
2012-08-26,173,165.0,174.0,165,10162,ok
2012-08-27,175,173.0,177.0,174,3340,ok
2012-08-28,177,175.0,180.0,173,7405,ok
2012-08-29,176,177.0,176.0,173,6758,ok
2012-08-30,171,176.0,173.0,170,1905,ok
2012-09-02,171,171.0,172.0,170,2866,ok
2012-09-03,171,171.0,175.0,171,4178,ok
2012-09-04,170,171.0,170.0,168,5642,ok
2012-09-05,170,170.0,172.0,170,2370,ok
2012-09-06,170,170.0,171.0,170,7102,ok
2012-09-09,171,170.0,172.0,170,5013,ok
2012-09-10,172,171.0,172.0,166,5097,ok
2012-09-11,172,172.0,172.0,170,1662,ok
2012-09-12,171,172.0,172.0,171,3222,ok
2012-09-13,173,171.0,173.0,171,2968,ok
2012-09-16,175,173.0,175.0,172,3274,ok
2012-09-17,177,175.0,177.0,173,3239,ok
2012-09-18,180,177.0,183.0,175,2338,ok
2012-09-19,182,180.0,182.0,177,10568,ok
2012-09-20,180,182.0,181.0,179,8013,ok
2012-09-23,180,180.0,182.0,177,7991,ok
2012-09-24,177,180.0,180.0,177,160,ok
2012-09-25,175,177.0,176.0,172,4295,ok
2012-09-26,177,175.0,177.0,172,6587,ok
2012-09-27,174,177.0,174.0,173,1695,ok
2012-09-30,175,174.0,175.0,173,5747,ok
2012-10-01,175,175.0,176.0,173,4962,ok
2012-10-02,175,175.0,176.0,175,2888,ok
2012-10-03,176,175.0,176.0,172,2684,ok
2012-10-04,175,176.0,177.0,175,2620,ok
2012-10-07,175,175.0,178.0,175,3211,ok
2012-10-08,175,175.0,176.0,175,3157,ok
2012-10-09,175,175.0,176.0,175,5229,ok
2012-10-10,176,175.0,181.0,175,3367,ok
2012-10-11,175,176.0,177.0,175,7164,ok
2012-10-14,177,175.0,178.0,175,3698,ok
2012-10-15,176,177.0,177.0,175,2449,ok
2012-10-17,178,176.0,178.0,178,517,ok
2012-10-18,178,178.0,179.0,176,1405,ok
2012-10-30,183,178.0,183.0,176,1294,ok
2012-10-31,182,183.0,189.0,180,2858,ok
2012-11-01,182,182.0,182.0,180,2402,ok
2012-11-04,186,182.0,190.0,179,3923,ok
2012-11-05,188,186.0,191.0,180,2610,ok
2012-11-06,188,188.0,190.0,187,3708,ok
2012-11-07,195,188.0,199.0,184,4246,ok
2012-11-08,194,195.0,201.0,194,3508,ok
2012-11-11,194,194.0,200.0,191,2797,ok
2012-11-12,196,194.0,196.0,192,3161,ok
2012-11-18,202,196.0,209.0,195,4897,ok
2012-11-20,204,202.0,210.0,199,3585,ok
