,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200
0,115,110,115,115,20,,,,,,,,0.0,,,,,115.0,115.0,,,,,115.0,,
1,120,115,120,120,30,,,,,,,,0.0,,,,,117.5,117.5,,,,,117.5,,
2,126,120,126,126,30,,,,,,,,0.0,,,,,120.33333333333333,120.33333333333333,,,,,120.5,,
3,132,126,132,132,20,,,,,,,,0.0,,,,,123.25,123.25,,,,,123.5,,
4,138,132,138,138,20,,,,,,,,0.0,,,,,126.2,126.2,,,,,126.5,,
5,144,138,144,144,20,,,,,,,,0.0,,,,,129.16666666666666,129.16666666666666,,,,,129.5,,
6,151,144,151,151,20,,,,,,,,0.0,,,,,132.28571428571428,132.28571428571428,,,,,133.0,,
7,156,151,156,156,20,,,,,,,,0.0,,,,,135.25,135.25,,,,,135.5,,
8,156,156,156,156,940,,,,,,,,0.0,,,,,137.55555555555554,137.55555555555554,,,,135.5,135.5,,
9,159,159,159,159,160,,,,,,,,4.4,,,,,139.7,139.7,0.0,,,139.5,137.0,,
10,166,166,166,166,90,,,,,,,,4.66,,,,,144.8,144.8,0.0,,,146.0,140.5,,
11,175,169,175,169,158,,,,,,,,5.093999999999999,,,,,150.7,149.5,0.7994670219853355,,,153.5,145.0,,
12,178,178,178,178,40,,,,,,,,4.8846,,,,,155.9,154.7,0.772698003863501,,,158.0,146.5,,
13,181,181,181,181,60,100.0,100.0,,,,,,4.69614,,,,,160.8,159.6,0.7490636704119957,-0.0,,162.5,148.0,,
14,187,184,187,184,273,100.0,100.0,,,,,,4.826525999999999,,,,,165.9,164.1,1.0909090909090977,-0.0,,169.0,151.0,,
15,205,190,205,190,546,100.0,100.0,,,,,,6.1438733999999995,,,,,173.0,168.2,2.813599062133653,-0.0,,180.5,160.0,,
16,217,209,217,209,273,100.0,100.0,,,,20.098970904769857,,6.729486059999999,,,,,180.13333333333333,173.73333333333332,3.6171816126601386,-0.0,,186.5,166.0,,
17,225,221,225,221,156,100.0,100.0,,,,22.129221580273224,,6.856537454,,,,,187.3,180.1,3.9194338595536298,-0.0,,192.0,170.0,,
18,198,198,198,198,49,71.01120412968359,66.66666666666667,,,,19.98645114407128,,8.8708837086,,,,,191.5,184.3,3.831825439063325,-33.333333333333336,,195.5,170.0,,
19,198,198,198,198,294,71.01120412968359,63.513513513513516,,,,18.01153698709041,,7.98379533774,166.35,103.49373539574596,229.20626460425405,75.57110262008301,195.4,188.2,3.7539103232533977,-36.486486486486484,,197.0,170.0,,
20,138,134,138,134,643,40.64485393094053,4.395604395604396,,,,9.534768261595218,,13.585415803966,167.5,107.6752559554159,227.3247440445841,71.43253020248846,192.86666666666667,184.86666666666667,4.235792446170137,-95.6043956043956,,179.5,170.0,,
