date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2012-01-01,262.23,262.23,262.23,262.23,,ok,,,,,,,,,
2012-01-02,263.87,263.87,263.87,263.87,,ok,,,,,,,,,
2012-01-03,263.38,263.38,263.38,263.38,,ok,,,,,,,,,
2012-01-04,261.69,261.69,261.69,261.69,,ok,,,,,,,,,
2012-01-05,261.05,261.05,261.05,261.05,,ok,,,,,,,,,
2012-01-08,260.9,260.9,260.9,260.9,,ok,,,,,,,,,
2012-01-09,260.44,260.44,260.44,260.44,,ok,,,,,,,,,
2012-01-10,258.23,258.23,258.23,258.23,,ok,,,,,,,,,
2012-01-11,256.48,256.48,256.48,256.48,,ok,,,,,,,,,
2012-01-12,255.64,255.64,255.64,255.64,,ok,,,,,,,,,
2012-01-17,256.2,256.2,256.2,256.2,,ok,,,,,,,,,
2012-01-18,256.04,256.04,256.04,256.04,,ok,,,,,,,,,
2012-01-19,255.78,255.78,255.78,255.78,,ok,,,,,,,,,
2012-01-22,255.8,255.8,255.8,255.8,,ok,,1.9441069258812231,,,,,,,
2012-01-23,255.26,255.26,255.26,255.26,,ok,16.179830929312345,0.0,,,,,,,
2012-01-25,254.91,254.91,254.91,254.91,,ok,15.300159294164871,0.0,0.6480356419604077,,,,,,
2012-01-26,254.92,254.92,254.92,254.92,,ok,15.441614823731939,0.1474926253685974,0.04916420845619913,,,,-1.65642233625519,,
2012-01-29,254.62,254.62,254.62,254.62,,ok,14.65109397636212,0.0,0.04916420845619913,,,,-1.6201796707766505,,
2012-01-31,253.49,253.49,253.49,253.49,,ok,12.131757353773082,0.0,0.04916420845619913,,,,-1.6806741324019185,,
2012-02-01,253.89,253.89,253.89,253.89,,ok,17.53730735254331,5.75539568345292,1.91846522781764,,,,-1.6365548927255418,,
2012-02-02,253.54,253.54,253.54,253.54,,ok,16.576380370488422,1.0548523206747438,2.2700826680425545,,,,-1.6045328284375273,,
2012-02-05,252.18,252.18,252.18,252.18,,ok,13.484527869247785,0.0,2.2700826680425545,,,,-1.6938871339066282,,
2012-02-06,251.92,251.92,251.92,251.92,,ok,12.985851687921809,0.0,0.3516174402249146,,,,-1.7427274652455935,,
2012-02-07,252.21,252.21,252.21,252.21,,ok,16.68674296089631,6.775700934579915,2.258566978193305,,,,-1.7012410902393071,,
2012-02-08,250.81,250.81,250.81,250.81,,ok,13.665095206006356,0.0,2.258566978193305,,,,-1.7861087546735064,-0.0874961385645523,-1.698612616108954
2012-02-09,249.64,249.64,249.64,249.64,,ok,11.750143069565368,0.0,2.258566978193305,,,,-1.9306812447842105,-0.18565490294020504,-1.7450263418440055
2012-02-12,249.03,249.03,249.03,249.03,,ok,10.893058357656685,0.0,0.0,0.0,,,-2.050739231903094,-0.24457031204727064,-1.8061689198558235
2012-02-13,248.32,248.32,248.32,248.32,,ok,9.980528024842371,0.0,0.0,0.0,,,-2.1619956370247166,-0.28466137373511424,-1.8773342632896024
2012-02-14,247.58,247.58,247.58,247.58,,ok,9.12273846157791,0.0,0.0,0.0,0.0,,-2.2677532594044862,-0.3123351968919068,-1.9554180625125794
