date,close,open,high,low,volume,s
2011-03-20,317.67,317.67,317.67,317.67,0,ok
2011-03-25,314.79,314.79,314.79,314.79,0,ok
2011-03-27,314.85,314.85,314.85,314.85,0,ok
2011-03-27,314.85,314.85,314.85,314.85,0,ok
2011-03-27,314.85,314.85,314.85,314.85,0,ok
2011-03-28,315.13,315.13,315.13,315.13,0,ok
2011-03-29,313.82,313.82,313.82,313.82,0,ok
2011-03-30,313.02,313.02,313.02,313.02,0,ok
2011-03-31,313.33,313.33,313.33,313.33,0,ok
2011-04-04,313.74,313.74,313.74,313.74,0,ok
2011-04-05,313.74,313.74,313.74,313.74,0,ok
2011-04-06,314.85,314.85,314.85,314.85,0,ok
2011-04-07,314.52,314.52,314.52,314.52,0,ok
2011-04-10,312.48,312.48,312.48,312.48,0,ok
2011-04-11,311.33,311.33,311.33,311.33,0,ok
2011-04-13,309.46,309.46,309.46,309.46,0,ok
2011-04-17,309.83,309.83,309.83,309.83,0,ok
2011-04-18,309.91,309.91,309.91,309.91,0,ok
2011-04-19,310.95,310.95,310.95,310.95,0,ok
2011-04-20,310.29,310.29,310.29,310.29,0,ok
2011-04-21,309.62,309.62,309.62,309.62,0,ok
2011-04-25,308.19,308.19,308.19,308.19,0,ok
2011-04-26,308.55,308.55,308.55,308.55,0,ok
2011-04-27,308.0,308.0,308.0,308.0,0,ok
2011-04-28,307.4,307.4,307.4,307.4,0,ok
2011-05-02,307.63,307.63,307.63,307.63,0,ok
2011-05-03,307.05,307.05,307.05,307.05,0,ok
2011-05-04,306.01,306.01,306.01,306.01,0,ok
2011-05-05,305.68,305.68,305.68,305.68,0,ok
2011-05-08,304.99,304.99,304.99,304.99,0,ok
2011-05-09,305.07,305.07,305.07,305.07,0,ok
2011-05-10,304.53,304.53,304.53,304.53,0,ok
2011-05-11,302.84,302.84,302.84,302.84,0,ok
2011-05-12,301.9,301.9,301.9,301.9,0,ok
2011-05-15,301.91,301.91,301.91,301.91,0,ok
2011-05-16,302.27,302.27,302.27,302.27,0,ok
2011-05-18,302.9,302.9,302.9,302.9,0,ok
2011-05-19,302.36,302.36,302.36,302.36,0,ok
2011-05-22,302.23,302.23,302.23,302.23,0,ok
2011-05-23,301.74,301.74,301.74,301.74,0,ok
2011-05-24,301.72,301.72,301.72,301.72,0,ok
2011-05-25,301.65,301.65,301.65,301.65,0,ok
2011-05-26,301.25,301.25,301.25,301.25,0,ok
2011-05-30,302.2,302.2,302.2,302.2,0,ok
2011-05-31,301.69,301.69,301.69,301.69,0,ok
2011-06-01,302.14,302.14,302.14,302.14,0,ok
2011-06-02,302.71,302.71,302.71,302.71,0,ok
2011-06-05,300.77,300.77,300.77,300.77,0,ok
2011-06-06,299.87,299.87,299.87,299.87,0,ok
2011-06-07,298.82,298.82,298.82,298.82,0,ok
2011-06-08,297.27,297.27,297.27,297.27,0,ok
2011-06-09,297.1,297.1,297.1,297.1,0,ok
2011-06-12,296.72,296.72,296.72,296.72,0,ok
2011-06-13,295.85,295.85,295.85,295.85,0,ok
2011-06-14,294.41,294.41,294.41,294.41,0,ok
2011-06-15,293.81,293.81,293.81,293.81,0,ok
2011-06-16,293.58,293.58,293.58,293.58,0,ok
2011-06-20,296.15,296.15,296.15,296.15,0,ok
2011-06-20,296.15,296.15,296.15,296.15,0,ok
2011-06-20,296.15,296.15,296.15,296.15,0,ok
2011-06-21,298.99,298.99,298.99,298.99,0,ok
2011-06-23,300.9,300.9,300.9,300.9,0,ok
2011-06-26,302.22,302.22,302.22,302.22,0,ok
2011-06-27,302.19,302.19,302.19,302.19,0,ok
2011-06-29,300.51,300.51,300.51,300.51,0,ok
2011-06-30,299.86,299.86,299.86,299.86,0,ok
2011-07-03,300.01,300.01,300.01,300.01,0,ok
2011-07-04,299.5,299.5,299.5,299.5,0,ok
2011-07-05,298.44,298.44,298.44,298.44,0,ok
2011-07-06,298.27,298.27,298.27,298.27,0,ok
2011-07-07,297.52,297.52,297.52,297.52,0,ok
2011-07-10,297.31,297.31,297.31,297.31,0,ok
2011-07-11,298.69,298.69,298.69,298.69,0,ok
2011-07-12,300.28,300.28,300.28,300.28,0,ok
2011-07-13,301.13,301.13,301.13,301.13,0,ok
2011-07-14,302.29,302.29,302.29,302.29,0,ok
2011-07-17,304.14,304.14,304.14,304.14,0,ok
2011-07-18,304.08,304.08,304.08,304.08,0,ok
2011-07-19,302.07,302.07,302.07,302.07,0,ok
2011-07-20,301.73,301.73,301.73,301.73,0,ok
2011-07-21,301.06,301.06,301.06,301.06,0,ok
2011-07-24,300.83,300.83,300.83,300.83,0,ok
2011-07-25,300.88,300.88,300.88,300.88,0,ok
2011-07-26,299.83,299.83,299.83,299.83,0,ok
2011-07-27,297.72,297.72,297.72,297.72,0,ok
2011-07-28,298.12,298.12,298.12,298.12,0,ok
2011-07-31,296.99,296.99,296.99,296.99,0,ok
2011-08-01,295.41,295.41,295.41,295.41,0,ok
2011-08-02,295.34,295.34,295.34,295.34,0,ok
2011-08-03,294.56,294.56,294.56,294.56,0,ok
2011-08-04,293.84,293.84,293.84,293.84,0,ok
2011-08-07,293.16,293.16,293.16,293.16,0,ok
2011-08-07,293.16,293.16,293.16,293.16,0,ok
2011-08-08,292.76,292.76,292.76,292.76,0,ok
2011-08-09,291.64,291.64,291.64,291.64,0,ok
2011-08-10,291.83,291.83,291.83,291.83,0,ok
2011-08-11,291.4,291.4,291.4,291.4,0,ok
2011-08-15,291.64,291.64,291.64,291.64,0,ok
2011-08-16,292.03,292.03,292.03,292.03,0,ok
2011-08-17,291.24,291.24,291.24,291.24,0,ok
2011-08-18,291.08,291.08,291.08,291.08,0,ok
2011-08-22,290.54,290.54,290.54,290.54,0,ok
2011-08-23,289.39,289.39,289.39,289.39,0,ok
2011-08-24,288.19,288.19,288.19,288.19,0,ok
2011-08-25,287.11,287.11,287.11,287.11,0,ok
2011-08-28,285.74,285.74,285.74,285.74,0,ok
2011-08-29,285.52,285.52,285.52,285.52,0,ok
2011-08-30,285.11,285.11,285.11,285.11,0,ok
2011-09-01,284.19,284.19,284.19,284.19,0,ok
2011-09-04,283.56,283.56,283.56,283.56,0,ok
2011-09-05,283.51,283.51,283.51,283.51,0,ok
2011-09-06,282.97,282.97,282.97,282.97,0,ok
2011-09-07,282.43,282.43,282.43,282.43,0,ok
2011-09-08,280.77,280.77,280.77,280.77,0,ok
2011-09-12,279.92,279.92,279.92,279.92,0,ok
2011-09-13,278.78,278.78,278.78,278.78,0,ok
2011-09-14,277.62,277.62,277.62,277.62,0,ok
2011-09-15,277.3,277.3,277.3,277.3,0,ok
2011-09-18,276.49,276.49,276.49,276.49,0,ok
2011-09-19,275.77,275.77,275.77,275.77,0,ok
2011-09-20,276.24,276.24,276.24,276.24,0,ok
2011-09-21,276.05,276.05,276.05,276.05,0,ok
2011-09-22,275.82,275.82,275.82,275.82,0,ok
2011-09-25,275.86,275.86,275.86,275.86,0,ok
2011-09-26,275.34,275.34,275.34,275.34,0,ok
2011-09-27,275.13,275.13,275.13,275.13,0,ok
2011-09-29,275.87,275.87,275.87,275.87,0,ok
2011-10-02,276.1,276.1,276.1,276.1,0,ok
2011-10-09,276.4,276.4,276.4,276.4,0,ok
2011-10-10,276.78,276.78,276.78,276.78,0,ok
2011-10-12,276.49,276.49,276.49,276.49,0,ok
2011-10-13,274.62,274.62,274.62,274.62,0,ok
2011-10-16,273.57,273.57,273.57,273.57,0,ok
2011-10-17,273.09,273.09,273.09,273.09,0,ok
2011-10-18,272.93,272.93,272.93,272.93,0,ok
2011-10-19,272.24,272.24,272.24,272.24,0,ok
2011-10-20,272.7,272.7,272.7,272.7,0,ok
2011-10-23,273.16,273.16,273.16,273.16,0,ok
2011-10-24,273.25,273.25,273.25,273.25,0,ok
2011-10-25,272.88,272.88,272.88,272.88,0,ok
2011-10-30,272.92,272.92,272.92,272.92,0,ok
2011-10-31,273.29,273.29,273.29,273.29,0,ok
2011-11-02,275.34,275.34,275.34,275.34,0,ok
2011-11-03,274.26,274.26,274.26,274.26,0,ok
2011-11-06,273.94,273.94,273.94,273.94,0,ok
2011-11-08,273.48,273.48,273.48,273.48,0,ok
2011-11-09,273.52,273.52,273.52,273.52,0,ok
2011-11-10,272.79,272.79,272.79,272.79,0,ok
2011-11-13,272.22,272.22,272.22,272.22,0,ok
2011-11-14,271.33,271.33,271.33,271.33,0,ok
2011-11-15,271.28,271.28,271.28,271.28,0,ok
2011-11-16,270.77,270.77,270.77,270.77,0,ok
2011-11-17,270.81,270.81,270.81,270.81,0,ok
2011-11-20,270.24,270.24,270.24,270.24,0,ok
2011-11-21,270.69,270.69,270.69,270.69,0,ok
2011-11-22,270.67,270.67,270.67,270.67,0,ok
2011-11-23,270.4,270.4,270.4,270.4,0,ok
2011-11-24,270.57,270.57,270.57,270.57,0,ok
2011-11-27,270.57,270.57,270.57,270.57,0,ok
2011-11-28,270.68,270.68,270.68,270.68,0,ok
2011-12-01,269.51,269.51,269.51,269.51,0,ok
2011-12-04,269.7,269.7,269.7,269.7,0,ok
2011-12-05,270.6,270.6,270.6,270.6,0,ok
2011-12-06,270.09,270.09,270.09,270.09,0,ok
2011-12-07,269.09,269.09,269.09,269.09,0,ok
2011-12-08,267.85,267.85,267.85,267.85,0,ok
2011-12-11,267.14,267.14,267.14,267.14,0,ok
2011-12-12,266.86,266.86,266.86,266.86,0,ok
2011-12-13,267.01,267.01,267.01,267.01,0,ok
2011-12-14,267.73,267.73,267.73,267.73,0,ok
2011-12-15,267.39,267.39,267.39,267.39,0,ok
2011-12-18,267.23,267.23,267.23,267.23,0,ok
2011-12-19,266.96,266.96,266.96,266.96,0,ok
2011-12-20,266.05,266.05,266.05,266.05,0,ok
2011-12-21,265.35,265.35,265.35,265.35,0,ok
2011-12-22,264.79,264.79,264.79,264.79,0,ok
2011-12-26,265.52,265.52,265.52,265.52,0,ok
2011-12-27,266.71,266.71,266.71,266.71,0,ok
2011-12-28,266.95,266.95,266.95,266.95,0,ok
2011-12-29,266.75,266.75,266.75,266.75,0,ok
2012-01-01,266.76,266.76,266.76,266.76,0,ok
2012-01-02,266.52,266.52,266.52,266.52,0,ok
2012-01-03,266.2,266.2,266.2,266.2,0,ok
2012-01-04,265.76,265.76,265.76,265.76,0,ok
2012-01-05,265.81,265.81,265.81,265.81,0,ok
2012-01-08,266.02,266.02,266.02,266.02,0,ok
2012-01-09,265.94,265.94,265.94,265.94,0,ok
2012-01-10,266.69,266.69,266.69,266.69,0,ok
2012-01-11,266.64,266.64,266.64,266.64,0,ok
2012-01-12,266.81,266.81,266.81,266.81,0,ok
2012-01-17,266.71,266.71,266.71,266.71,0,ok
2012-01-18,266.45,266.45,266.45,266.45,0,ok
2012-01-19,266.1,266.1,266.1,266.1,0,ok
2012-01-22,266.43,266.43,266.43,266.43,0,ok
2012-01-23,266.32,266.32,266.32,266.32,0,ok
2012-01-25,265.94,265.94,265.94,265.94,0,ok
2012-01-26,265.63,265.63,265.63,265.63,0,ok
2012-01-29,264.64,264.64,264.64,264.64,0,ok
2012-01-31,263.9,263.9,263.9,263.9,0,ok
2012-02-01,263.55,263.55,263.55,263.55,0,ok
2012-02-02,263.13,263.13,263.13,263.13,0,ok
2012-02-05,263.29,263.29,263.29,263.29,0,ok
2012-02-06,262.92,262.92,262.92,262.92,0,ok
2012-02-07,262.21,262.21,262.21,262.21,0,ok
2012-02-08,261.96,261.96,261.96,261.96,0,ok
2012-02-09,261.38,261.38,261.38,261.38,0,ok
2012-02-12,260.6,260.6,260.6,260.6,0,ok
2012-02-13,259.93,259.93,259.93,259.93,0,ok
2012-02-14,259.78,259.78,259.78,259.78,0,ok
2012-02-15,260.09,260.09,260.09,260.09,0,ok
2012-02-16,259.56,259.56,259.56,259.56,0,ok
2012-02-21,259.71,259.71,259.71,259.71,0,ok
2012-02-23,259.33,259.33,259.33,259.33,0,ok
2012-02-26,259.07,259.07,259.07,259.07,0,ok
2012-02-27,258.18,258.18,258.18,258.18,0,ok
2012-02-28,258.71,258.71,258.71,258.71,0,ok
2012-02-29,258.91,258.91,258.91,258.91,0,ok
2012-03-01,258.98,258.98,258.98,258.98,0,ok
2012-03-04,258.59,258.59,258.59,258.59,0,ok
2012-03-05,258.91,258.91,258.91,258.91,0,ok
2012-03-06,258.97,258.97,258.97,258.97,0,ok
2012-03-11,258.27,258.27,258.27,258.27,0,ok
2012-03-12,257.81,257.81,257.81,257.81,0,ok
2012-03-13,257.55,257.55,257.55,257.55,0,ok
2012-03-14,256.9,256.9,256.9,256.9,0,ok
2012-03-15,257.17,257.17,257.17,257.17,0,ok
2012-03-18,257.04,257.04,257.04,257.04,0,ok
2012-03-19,256.79,256.79,256.79,256.79,0,ok
2012-03-20,256.55,256.55,256.55,256.55,0,ok
2012-03-21,256.6,256.6,256.6,256.6,0,ok
2012-03-25,256.3,256.3,256.3,256.3,0,ok
2012-03-26,256.33,256.33,256.33,256.33,0,ok
2012-03-27,255.86,255.86,255.86,255.86,0,ok
2012-03-28,255.71,255.71,255.71,255.71,0,ok
2012-03-29,254.64,254.64,254.64,254.64,0,ok
2012-03-29,254.64,254.64,254.64,254.64,0,ok
2012-03-29,254.64,254.64,254.64,254.64,0,ok
2012-03-29,254.64,254.64,254.64,254.64,0,ok
