date,close,open,high,low,volume,s
2012-09-09,175,514.0,175.0,163,50,ok
2012-09-10,192,175.0,192.0,178,254,ok
2012-09-11,211,192.0,211.0,195,376,ok
2012-09-12,232,211.0,232.0,215,1131,ok
2012-09-13,255,232.0,255.0,236,27430,ok
2012-09-16,260,255.0,260.0,243,9406,ok
2012-09-17,270,260.0,270.0,253,6296,ok
2012-09-18,275,270.0,277.0,260,8686,ok
2012-09-19,270,275.0,271.0,261,4336,ok
2012-09-20,260,270.0,267.0,260,11416,ok
2012-09-23,247,260.0,255.0,245,5384,ok
2012-09-24,248,247.0,250.0,245,9768,ok
2012-09-25,248,248.0,249.0,244,4830,ok
2012-09-26,247,248.0,249.0,244,7227,ok
2012-09-27,245,247.0,249.0,240,4600,ok
2012-09-30,244,245.0,247.0,238,7236,ok
2012-10-01,243,244.0,245.0,240,5064,ok
2012-10-02,248,243.0,248.0,242,2854,ok
2012-10-03,248,248.0,251.0,244,3424,ok
2012-10-04,250,248.0,250.0,244,3162,ok
2012-10-07,252,250.0,255.0,248,6485,ok
2012-10-08,252,252.0,253.0,245,7223,ok
2012-10-09,256,252.0,256.0,250,3945,ok
2012-10-10,253,256.0,256.0,251,1964,ok
2012-10-11,251,253.0,252.0,250,3846,ok
2012-10-14,254,251.0,254.0,251,1029,ok
2012-10-15,252,254.0,254.0,249,1589,ok
2012-10-17,260,252.0,260.0,247,2975,ok
2012-10-18,266,260.0,266.0,260,3263,ok
2012-10-30,270,266.0,275.0,263,2478,ok
2012-10-31,278,270.0,285.0,275,4291,ok
2012-11-01,287,278.0,287.0,269,2017,ok
2012-11-04,296,287.0,301.0,275,16234,ok
2012-11-05,297,296.0,307.0,283,12136,ok
2012-11-06,304,297.0,304.0,288,4876,ok
2012-11-07,310,304.0,310.0,300,8988,ok
2012-11-08,308,310.0,330.0,306,9282,ok
2012-11-11,293,308.0,324.0,289,9640,ok
2012-11-12,313,293.0,315.0,293,3044,ok
2012-11-18,318,313.0,326.0,310,2200,ok
2012-11-20,333,318.0,335.0,316,7312,ok
2012-11-21,343,333.0,344.0,321,10747,ok
2012-11-22,342,343.0,344.0,330,9816,ok
2012-11-25,352,342.0,370.0,343,13675,ok
2012-11-26,359,352.0,359.0,334,130815,ok
2012-11-27,366,359.0,369.0,345,15772,ok
2012-11-28,380,366.0,385.0,368,17520,ok
2012-11-29,380,380.0,395.0,373,12950,ok
2012-12-02,370,380.0,380.0,366,9600,ok
2012-12-03,364,370.0,370.0,355,5403,ok
2012-12-04,380,364.0,382.0,368,11242,ok
2012-12-05,400,380.0,400.0,379,14715,ok
2012-12-06,404,400.0,404.0,385,29266,ok
2012-12-09,387,404.0,398.0,383,12055,ok
2012-12-10,389,387.0,393.0,384,9827,ok
2012-12-11,390,389.0,392.0,388,12681,ok
2012-12-13,395,390.0,397.0,393,8951,ok
2012-12-16,429,395.0,430.0,396,27653,ok
2012-12-17,438,429.0,447.0,430,36008,ok
2012-12-18,436,438.0,436.0,415,13364,ok
2012-12-19,438,436.0,440.0,431,6949,ok
2012-12-20,425,438.0,438.0,425,8162,ok
2012-12-23,424,425.0,433.0,420,13684,ok
2012-12-24,439,424.0,443.0,424,15165,ok
2012-12-26,449,439.0,450.0,420,55877,ok
2012-12-27,433,449.0,445.0,430,38430,ok
2012-12-31,426,433.0,426.0,411,5621,ok
2013-01-01,411,426.0,418.0,410,1508,ok
2013-01-02,411,411.0,418.0,396,6761,ok
2013-01-03,415,411.0,420.0,412,8071,ok
2013-01-06,410,415.0,414.0,405,6373,ok
2013-01-07,404,410.0,407.0,402,4396,ok
2013-01-08,402,404.0,407.0,397,2702,ok
2013-01-09,399,402.0,401.0,397,2169,ok
2013-01-10,410,399.0,410.0,395,5251,ok
2013-01-13,400,410.0,404.0,394,7622,ok
2013-01-15,426,400.0,427.0,397,7416,ok
2013-01-16,413,426.0,425.0,410,3443,ok
2013-01-17,406,413.0,419.0,400,6009,ok
2013-01-20,396,406.0,400.0,382,8069,ok
2013-01-21,402,396.0,411.0,392,6102,ok
2013-01-22,407,402.0,414.0,401,17050,ok
2013-01-23,406,407.0,413.0,400,19911,ok
2013-01-24,400,406.0,405.0,400,8814,ok
2013-01-27,408,400.0,420.0,404,15069,ok
2013-01-28,410,408.0,410.0,402,8533,ok
2013-01-30,405,410.0,407.0,400,10470,ok
2013-01-31,405,405.0,405.0,400,4602,ok
2013-02-03,414,405.0,418.0,408,7579,ok
2013-02-04,424,414.0,424.0,409,6088,ok
2013-02-05,416,424.0,421.0,413,2858,ok
2013-02-06,417,416.0,417.0,410,2049,ok
2013-02-07,416,417.0,416.0,410,5440,ok
2013-02-10,415,416.0,415.0,409,8687,ok
2013-02-12,438,415.0,438.0,415,19909,ok
2013-02-13,438,438.0,438.0,418,9073,ok
2013-02-14,441,438.0,448.0,430,18055,ok
2013-02-17,484,441.0,485.0,449,1848,ok
2013-02-19,470,484.0,532.0,469,28140,ok
2013-02-20,465,470.0,468.0,444,18130,ok
2013-02-21,468,465.0,485.0,450,13474,ok
2013-02-24,460,468.0,467.0,457,12103,ok
2013-02-25,484,460.0,485.0,466,21953,ok
2013-02-26,486,484.0,493.0,480,16756,ok
2013-02-27,484,486.0,490.0,475,27729,ok
2013-02-28,488,484.0,490.0,479,22055,ok
2013-03-03,499,488.0,500.0,488,16091,ok
2013-03-04,482,499.0,501.0,482,27727,ok
2013-03-05,491,482.0,500.0,490,12422,ok
2013-03-06,499,491.0,501.0,484,12909,ok
2013-03-07,495,499.0,500.0,475,7774,ok
2013-03-11,500,495.0,508.0,496,8775,ok
2013-03-13,517,500.0,517.0,503,11206,ok
2013-03-14,530,517.0,557.0,515,19147,ok
2013-03-17,524,530.0,536.0,512,16582,ok
2013-03-18,526,524.0,534.0,511,16018,ok
2013-03-19,521,526.0,533.0,511,13086,ok
2013-03-20,514,521.0,526.0,510,16270,ok
2013-03-21,506,514.0,514.0,500,13949,ok
2013-03-24,500,506.0,505.0,497,8985,ok
2013-03-25,504,500.0,508.0,492,10422,ok
2013-03-27,499,504.0,501.0,497,5051,ok
2013-03-28,498,499.0,500.0,491,6050,ok
2013-03-31,482,498.0,492.0,480,12315,ok
2013-04-01,502,482.0,502.0,473,16704,ok
2013-04-02,507,502.0,510.0,490,8638,ok
2013-04-03,500,507.0,506.0,497,5659,ok
2013-04-04,497,500.0,501.0,483,4475,ok
2013-04-07,499,497.0,501.0,493,4584,ok
2013-04-08,502,499.0,503.0,496,9152,ok
2013-04-09,516,502.0,516.0,495,9482,ok
2013-04-11,513,516.0,525.0,510,10235,ok
2013-04-15,515,513.0,526.0,515,10538,ok
2013-04-16,520,515.0,520.0,507,4194,ok
2013-04-17,517,520.0,519.0,510,9228,ok
2013-04-18,508,517.0,513.0,506,8169,ok
2013-04-21,495,508.0,518.0,490,15641,ok
2013-04-22,493,495.0,493.0,475,10553,ok
2013-04-23,496,493.0,505.0,493,9788,ok
2013-04-25,488,496.0,504.0,486,2497,ok
2013-04-28,480,488.0,493.0,479,9870,ok
2013-04-29,486,480.0,490.0,479,5471,ok
2013-04-30,481,486.0,483.0,479,6953,ok
2013-05-02,485,481.0,489.0,467,3369,ok
2013-05-05,465,485.0,478.0,436,5675,ok
2013-05-06,435,465.0,456.0,419,9322,ok
2013-05-07,455,435.0,462.0,431,17062,ok
2013-05-08,444,455.0,464.0,443,4781,ok
2013-05-09,446,444.0,452.0,440,2146,ok
2013-05-12,448,446.0,448.0,435,1421,ok
2013-05-13,447,448.0,447.0,425,9340,ok
2013-05-14,432,447.0,442.0,426,36011,ok
2013-08-05,475,432.0,475.0,440,288,ok
2013-08-06,505,475.0,514.0,475,51758,ok
2013-08-07,489,505.0,508.0,486,21531,ok
2013-08-08,475,489.0,490.0,471,9980,ok
2013-08-11,459,475.0,475.0,451,7270,ok
2013-08-12,451,459.0,464.0,450,8484,ok
2013-08-13,449,451.0,455.0,447,7911,ok
2013-08-14,444,449.0,449.0,441,7899,ok
2013-08-15,430,444.0,451.0,425,7007,ok
2013-08-18,441,430.0,447.0,422,23584,ok
2013-08-19,443,441.0,451.0,432,11651,ok
2013-08-20,448,443.0,448.0,437,15091,ok
2013-08-25,435,448.0,445.0,432,3871,ok
2013-08-26,428,435.0,435.0,427,4468,ok
2013-08-27,425,428.0,445.0,421,37090,ok
2013-08-29,429,425.0,435.0,422,5418,ok
2013-09-01,433,429.0,435.0,428,3549,ok
2013-09-02,430,433.0,433.0,423,6230,ok
2013-09-03,431,430.0,434.0,428,5877,ok
2013-09-04,430,431.0,430.0,424,6439,ok
2013-09-05,422,430.0,427.0,421,6760,ok
2013-09-08,423,422.0,427.0,423,4047,ok
