date,close,open,high,low,volume,s
2011-03-20,455.55,455.55,455.55,455.55,0,ok
2011-03-25,452.72,452.72,452.72,452.72,0,ok
2011-03-28,449.52,449.52,449.52,449.52,0,ok
2011-03-31,437.09,437.09,437.09,437.09,0,ok
2011-04-11,435.96,435.96,435.96,435.96,0,ok
2011-04-17,434.83,434.83,434.83,434.83,0,ok
2011-05-10,429.75,429.75,429.75,429.75,0,ok
2011-05-12,425.23,425.23,425.23,425.23,0,ok
2011-05-16,416.19,416.19,416.19,416.19,0,ok
2011-05-18,415.05,415.05,415.05,415.05,0,ok
2011-05-24,400.36,400.36,400.36,400.36,0,ok
2011-05-25,402.06,402.06,402.06,402.06,0,ok
2011-06-06,398.66,398.66,398.66,398.66,0,ok
2011-06-08,402.06,402.06,402.06,402.06,0,ok
2011-06-09,405.45,405.45,405.45,405.45,0,ok
2011-06-12,404.32,404.32,404.32,404.32,0,ok
2011-06-13,402.06,402.06,402.06,402.06,0,ok
2011-06-14,402.62,402.62,402.62,402.62,0,ok
2011-06-16,400.35,400.35,400.35,400.35,0,ok
2011-06-27,402.42,402.42,402.42,402.42,0,ok
2011-06-30,402.42,402.42,402.42,402.42,0,ok
2011-07-03,405.81,405.81,405.81,405.81,0,ok
2011-07-06,409.2,409.2,409.2,409.2,0,ok
2011-07-07,405.81,405.81,405.81,405.81,0,ok
2011-07-10,409.2,409.2,409.2,409.2,0,ok
2011-07-11,412.59,412.59,412.59,412.59,0,ok
2011-07-13,412.59,412.59,412.59,412.59,0,ok
2011-07-14,412.59,412.59,412.59,412.59,0,ok
2011-07-24,408.07,408.07,408.07,408.07,0,ok
2011-07-26,407.69,407.69,407.69,407.69,0,ok
2011-07-28,407.31,407.31,407.31,407.31,0,ok
2011-07-31,409.57,409.57,409.57,409.57,0,ok
2011-08-01,405.05,405.05,405.05,405.05,0,ok
2011-08-02,405.05,405.05,405.05,405.05,0,ok
2011-08-03,405.05,405.05,405.05,405.05,0,ok
2011-08-07,403.54,403.54,403.54,403.54,0,ok
2011-08-09,404.66,404.66,404.66,404.66,0,ok
2011-08-17,404.29,404.29,404.29,404.29,0,ok
2011-08-18,387.89,387.89,387.89,387.89,0,ok
2011-08-22,387.14,387.14,387.14,387.14,0,ok
2011-08-23,387.7,387.7,387.7,387.7,0,ok
2011-08-24,388.07,388.07,388.07,388.07,0,ok
2011-08-25,388.27,388.27,388.27,388.27,0,ok
2011-08-28,387.32,387.32,387.32,387.32,0,ok
2011-08-29,387.89,387.89,387.89,387.89,0,ok
2011-08-30,387.32,387.32,387.32,387.32,0,ok
2011-09-04,386.76,386.76,386.76,386.76,0,ok
2011-09-08,385.82,385.82,385.82,385.82,0,ok
2011-09-14,385.44,385.44,385.44,385.44,0,ok
2011-09-15,385.82,385.82,385.82,385.82,0,ok
2011-09-18,381.09,381.09,381.09,381.09,0,ok
2011-09-20,381.09,381.09,381.09,381.09,0,ok
2011-09-21,383.73,383.73,383.73,383.73,0,ok
2011-09-22,383.73,383.73,383.73,383.73,0,ok
2011-09-25,382.6,382.6,382.6,382.6,0,ok
2011-09-26,382.22,382.22,382.22,382.22,0,ok
2011-09-29,381.66,381.66,381.66,381.66,0,ok
2011-10-09,382.04,382.04,382.04,382.04,0,ok
2011-10-10,381.66,381.66,381.66,381.66,0,ok
2011-10-17,380.52,380.52,380.52,380.52,0,ok
2011-10-19,378.63,378.63,378.63,378.63,0,ok
2011-10-20,379.01,379.01,379.01,379.01,0,ok
2011-10-23,378.25,378.25,378.25,378.25,0,ok
2011-10-24,379.01,379.01,379.01,379.01,0,ok
2011-10-30,379.01,379.01,379.01,379.01,0,ok
2011-11-08,382.4,382.4,382.4,382.4,0,ok
