date,close,open,high,low,volume,s
2011-03-20,526.13,526.13,526.13,526.13,0,ok
2011-03-28,518.88,518.88,518.88,518.88,0,ok
2011-03-29,512.81,512.81,512.81,512.81,0,ok
2011-04-04,506.84,506.84,506.84,506.84,0,ok
2011-04-18,499.16,499.16,499.16,499.16,0,ok
2011-04-19,500.59,500.59,500.59,500.59,0,ok
2011-04-26,507.83,507.83,507.83,507.83,0,ok
2011-04-27,509.88,509.88,509.88,509.88,0,ok
2011-05-31,498.46,498.46,498.46,498.46,0,ok
2011-06-08,490.54,490.54,490.54,490.54,0,ok
2011-06-09,486.84,486.84,486.84,486.84,0,ok
2011-06-12,486.65,486.65,486.65,486.65,0,ok
2011-06-13,488.41,488.41,488.41,488.41,0,ok
2011-06-14,485.03,485.03,485.03,485.03,0,ok
2011-06-15,496.13,496.13,496.13,496.13,0,ok
2011-06-16,501.79,501.79,501.79,501.79,0,ok
2011-06-20,516.14,516.14,516.14,516.14,0,ok
2011-06-20,516.14,516.14,516.14,516.14,0,ok
2011-06-20,516.14,516.14,516.14,516.14,0,ok
2011-06-21,518.23,518.23,518.23,518.23,0,ok
2011-06-23,526.03,526.03,526.03,526.03,0,ok
2011-06-26,536.9,536.9,536.9,536.9,0,ok
2011-06-27,544.7,544.7,544.7,544.7,0,ok
2011-06-29,557.23,557.23,557.23,557.23,0,ok
2011-07-03,577.98,577.98,577.98,577.98,0,ok
2011-07-04,580.17,580.17,580.17,580.17,0,ok
2011-07-05,574.7,574.7,574.7,574.7,0,ok
2011-07-06,574.45,574.45,574.45,574.45,0,ok
2011-07-07,569.52,569.52,569.52,569.52,0,ok
2011-07-10,572.82,572.82,572.82,572.82,0,ok
2011-07-11,607.23,607.23,607.23,607.23,0,ok
2011-07-13,603.16,603.16,603.16,603.16,0,ok
2011-07-14,591.52,591.52,591.52,591.52,0,ok
2011-07-17,587.34,587.34,587.34,587.34,0,ok
2011-08-04,587.23,587.23,587.23,587.23,0,ok
2011-08-16,587.23,587.23,587.23,587.23,0,ok
2011-08-30,587.23,587.23,587.23,587.23,0,ok
2011-09-07,592.16,592.16,592.16,592.16,0,ok
2011-09-08,607.58,607.58,607.58,607.58,0,ok
2011-09-19,607.47,607.47,607.47,607.47,0,ok
2011-10-24,607.47,607.47,607.47,607.47,0,ok
2011-10-25,607.47,607.47,607.47,607.47,0,ok
2011-10-30,607.02,607.02,607.02,607.02,0,ok
2011-10-31,607.25,607.25,607.25,607.25,0,ok
2011-11-03,607.48,607.48,607.48,607.48,0,ok
2011-11-08,607.02,607.02,607.02,607.02,0,ok
2011-11-10,607.48,607.48,607.48,607.48,0,ok
2011-11-13,634.31,634.31,634.31,634.31,0,ok
2011-11-16,634.31,634.31,634.31,634.31,0,ok
2011-11-17,634.31,634.31,634.31,634.31,0,ok
2011-11-20,640.18,640.18,640.18,640.18,0,ok
2011-11-21,640.18,640.18,640.18,640.18,0,ok
2011-11-22,646.19,646.19,646.19,646.19,0,ok
2011-12-07,646.94,646.94,646.94,646.94,0,ok
2011-12-11,646.94,646.94,646.94,646.94,0,ok
2011-12-13,653.07,653.07,653.07,653.07,0,ok
2011-12-14,653.07,653.07,653.07,653.07,0,ok
2011-12-18,653.07,653.07,653.07,653.07,0,ok
2011-12-27,659.04,659.04,659.04,659.04,0,ok
2012-01-03,659.04,659.04,659.04,659.04,0,ok
2012-01-04,665.42,665.42,665.42,665.42,0,ok
2012-01-05,658.93,658.93,658.93,658.93,0,ok
2012-01-08,658.87,658.87,658.87,658.87,0,ok
2012-01-12,665.15,665.15,665.15,665.15,0,ok
2012-02-07,664.92,664.92,664.92,664.92,0,ok
2012-02-08,633.79,633.79,633.79,633.79,0,ok
2012-02-12,636.02,636.02,636.02,636.02,0,ok
2012-02-14,618.74,618.74,618.74,618.74,0,ok
2012-02-26,646.6,646.6,646.6,646.6,0,ok
2012-02-28,657.14,657.14,657.14,657.14,0,ok
2012-02-29,657.14,657.14,657.14,657.14,0,ok
2012-03-11,656.15,656.15,656.15,656.15,0,ok
2012-03-12,656.15,656.15,656.15,656.15,0,ok
2012-03-18,656.15,656.15,656.15,656.15,0,ok
2012-03-19,666.53,666.53,666.53,666.53,0,ok
2012-03-20,666.53,666.53,666.53,666.53,0,ok
2012-03-26,652.62,652.62,652.62,652.62,0,ok
2012-04-03,658.75,658.75,658.75,658.75,0,ok
2012-04-05,653.56,653.56,653.56,653.56,0,ok
2012-04-08,656.15,656.15,656.15,656.15,0,ok
2012-04-12,656.15,656.15,656.15,656.15,0,ok
2012-04-19,662.48,662.48,662.48,662.48,0,ok
2012-04-29,667.05,667.05,667.05,667.05,0,ok
2012-04-30,667.28,667.28,667.28,667.28,0,ok
2012-05-16,667.28,667.28,667.28,667.28,0,ok
2012-05-17,673.82,673.82,673.82,673.82,0,ok
2012-05-23,667.18,667.18,667.18,667.18,0,ok
2012-05-27,673.72,673.72,673.72,673.72,0,ok
2012-05-29,667.07,667.07,667.07,667.07,0,ok
2012-06-05,666.76,666.76,666.76,666.76,0,ok
2012-06-12,666.76,666.76,666.76,666.76,0,ok
2012-06-13,666.76,666.76,666.76,666.76,0,ok
2012-07-03,666.76,666.76,666.76,666.76,0,ok
2012-07-08,666.76,666.76,666.76,666.76,0,ok
2012-07-16,673.3,673.3,673.3,673.3,0,ok
2012-07-17,686.74,686.74,686.74,686.74,0,ok
2012-07-24,682.33,682.33,682.33,682.33,0,ok
2012-08-06,689.0,689.0,689.0,689.0,0,ok
2012-08-07,692.99,692.99,692.99,692.99,0,ok
2012-08-13,707.21,707.21,707.21,707.21,0,ok
2012-08-16,722.0,722.0,722.0,722.0,0,ok
2012-08-19,728.8,728.8,728.8,728.8,0,ok
2012-08-27,747.17,747.17,747.17,747.17,0,ok
2012-09-03,754.49,754.49,754.49,754.49,0,ok
2012-09-04,765.12,765.12,765.12,765.12,0,ok
2012-09-09,769.27,769.27,769.27,769.27,0,ok
2012-09-10,762.53,762.53,762.53,762.53,0,ok
2012-09-11,762.66,762.66,762.66,762.66,0,ok
2012-09-16,745.9,745.9,745.9,745.9,0,ok
2012-09-18,738.04,738.04,738.04,738.04,0,ok
2012-09-20,730.1,730.1,730.1,730.1,0,ok
2012-10-02,729.12,729.12,729.12,729.12,0,ok
2012-10-10,721.33,721.33,721.33,721.33,0,ok
2012-11-25,728.96,728.96,728.96,728.96,0,ok
2012-12-02,728.96,728.96,728.96,728.96,0,ok
2012-12-03,738.06,738.06,738.06,738.06,0,ok
2012-12-04,736.69,736.69,736.69,736.69,0,ok
2012-12-06,763.6,763.6,763.6,763.6,0,ok
2012-12-12,763.6,763.6,763.6,763.6,0,ok
2012-12-13,765.03,765.03,765.03,765.03,0,ok
2012-12-18,808.55,808.55,808.55,808.55,0,ok
2012-12-19,854.84,854.84,854.84,854.84,0,ok
2012-12-20,868.59,868.59,868.59,868.59,0,ok
2012-12-23,847.94,847.94,847.94,847.94,0,ok
2012-12-27,851.09,851.09,851.09,851.09,0,ok
2013-01-07,866.92,866.92,866.92,866.92,0,ok
2013-01-15,874.13,874.13,874.13,874.13,0,ok
2013-01-20,870.51,870.51,870.51,870.51,0,ok
2013-01-24,870.3,870.3,870.3,870.3,0,ok
2013-01-30,860.13,860.13,860.13,860.13,0,ok
2013-02-03,865.32,865.32,865.32,865.32,0,ok
2013-02-04,855.04,855.04,855.04,855.04,0,ok
2013-02-05,854.58,854.58,854.58,854.58,0,ok
2013-02-06,857.07,857.07,857.07,857.07,0,ok
2013-02-07,857.14,857.14,857.14,857.14,0,ok
2013-02-10,867.25,867.25,867.25,867.25,0,ok
2013-02-12,888.01,888.01,888.01,888.01,0,ok
2013-02-13,890.87,890.87,890.87,890.87,0,ok
2013-02-20,875.3,875.3,875.3,875.3,0,ok
2013-02-24,864.92,864.92,864.92,864.92,0,ok
2013-03-03,857.14,857.14,857.14,857.14,0,ok
2013-03-20,836.99,836.99,836.99,836.99,0,ok
