date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2017-11-01,1832.52,1845.45,1846.12,1827.97,40494600.0,ok,,,,,,,,,
2017-11-02,1818.26,1832.52,1832.71,1813.99,44623800.0,ok,,,,,,,,,
2017-11-05,1787.67,1818.26,1822.12,1781.66,73344496.0,ok,,,,,,,,,
2017-11-06,1776.45,1787.67,1805.88,1775.88,59516100.0,ok,,,,,,,,,
2017-11-07,1758.78,1776.45,1790.65,1758.34,51459200.0,ok,,,,,,,,,
2017-11-08,1737.2,1758.78,1759.61,1727.16,55760000.0,ok,,,,,,,,,
2017-11-09,1738.5,1737.2,1758.57,1718.27,79774304.0,ok,,,,,,,,,
2017-11-12,1739.78,1738.5,1743.17,1716.67,40810600.0,ok,,,,,,,,,
2017-11-13,1750.77,1739.78,1750.87,1728.51,51062200.0,ok,,,,,,,,,
2017-11-14,1809.62,1750.77,1817.77,1750.14,72696704.0,ok,,,,,,,,,
2017-11-15,1791.48,1809.62,1821.54,1789.14,85170704.0,ok,,,,,,,,,
2017-11-16,1777.7,1791.48,1791.25,1771.25,45789700.0,ok,,,,,,,,,
2017-11-19,1752.83,1777.7,1777.7,1745.25,34177500.0,ok,,,,,,,,,
2017-11-20,1742.07,1752.83,1754.09,1740.61,32349900.0,ok,,19.62147547315558,,,,,,,
2017-11-21,1745.36,1742.07,1753.76,1736.49,32723400.0,ok,34.75977729828654,24.724233023095344,,,,,,,
2017-11-22,1751.96,1742.07,1758.8,1743.73,,ok,37.694977354166475,33.46609767662402,25.937268724291645,,,,,,
2017-11-23,1776.35,1751.96,1777.97,1751.78,65635300.0,ok,47.15659907314881,56.908553447124916,38.36629471561476,,,,-10.700069533759915,,
2017-11-26,1804.87,1776.35,1806.13,1776.35,66891500.0,ok,55.639778171066915,84.10412892152179,58.15959334842358,,,,-4.841517689917282,,
2017-11-27,1802.08,1804.87,1816.72,1798.92,88553504.0,ok,54.71442172513595,81.44369219033084,74.15212485299251,,,,-0.9816172129415008,,
2017-11-28,1815.95,1802.08,1815.95,1798.23,114906000.0,ok,58.41693874733212,94.66959092209409,86.7391373446489,,,,3.2523045294849453,,
2017-11-29,1857.57,1815.95,1875.75,1814.25,136644000.0,ok,67.10744464165487,88.57178777973341,88.2283569640528,,,,10.723600930927887,,
2017-11-30,1863.64,1857.57,1864.76,1840.57,94417504.0,ok,68.15281679063973,91.77533279000278,91.67223716394342,,,,16.29860582745846,,
2017-12-04,1843.58,1863.64,1877.13,1842.18,75419696.0,ok,61.22739807806631,76.1447667804322,85.49729578338948,,,,17.521606599690358,,
2017-12-05,1850.19,1843.58,1853.3,1835.26,35471100.0,ok,62.57685109246617,80.84470989761088,82.9216031560153,,,,18.668950180500588,,
2017-12-06,1874.77,1850.19,1874.77,1849.52,77257696.0,ok,67.15478976066413,98.32195676905565,85.10381114903292,,,,21.732324750430962,11.445171232558494,10.287153517872468
2017-12-10,1854.43,1874.77,1901.53,1853.58,73264704.0,ok,60.55358429194753,71.46146388754246,83.54271018473634,,,,21.053612730866007,8.61316737039483,12.440445360471177
2017-12-11,1848.96,1854.43,1856.72,1845.42,41989000.0,ok,58.877421858834126,68.1471158507029,79.31017883576702,0.7338282181404954,,,19.456759662256673,5.6130514414283965,13.843708220828276
2017-12-12,1828.33,1848.96,1849.36,1826.15,51899600.0,ok,52.926971000509724,55.647115850702825,65.08523186298274,0.5440413325173161,,,15.580126437977015,1.3891345737189909,14.190991864258024
2017-12-13,1842.89,1828.33,1842.91,1820.31,31193700.0,ok,56.284956622253844,62.83903675538663,62.211089485597455,0.610351213744527,0.6294069214674461,,14.133068247414258,-0.04633889347501352,14.179407140889271
