date,close,open,high,low,volume,s
2001-09-11,274.34,274.34,274.34,274.34,0,ok
2001-09-12,269.17,269.17,269.17,269.17,0,ok
2001-09-13,261.37,261.37,261.37,261.37,0,ok
2001-09-14,265.22,265.22,265.22,265.22,0,ok
2001-09-17,273.01,273.01,273.01,273.01,0,ok
2001-09-18,275.13,275.13,275.13,275.13,0,ok
2001-09-19,279.92,279.92,279.92,279.92,0,ok
2001-09-21,283.38,283.38,283.38,283.38,0,ok
2001-09-24,279.65,279.65,279.65,279.65,0,ok
2001-09-25,277.79,277.79,277.79,277.79,0,ok
2001-09-26,275.23,275.23,275.23,275.23,0,ok
2001-09-27,275.09,275.09,275.09,275.09,0,ok
2001-09-28,276.07,276.07,276.07,276.07,0,ok
2001-10-01,276.46,276.46,276.46,276.46,0,ok
2001-10-02,278.01,278.01,278.01,278.01,0,ok
2001-10-03,281.39,281.39,281.39,281.39,0,ok
2001-10-04,282.11,282.11,282.11,282.11,0,ok
2001-10-05,282.34,282.34,282.34,282.34,0,ok
2001-10-08,282.88,282.88,282.88,282.88,0,ok
2001-10-09,282.16,282.16,282.16,282.16,0,ok
2001-10-10,282.83,282.83,282.83,282.83,0,ok
2001-10-11,281.89,281.89,281.89,281.89,0,ok
2001-10-12,282.05,282.05,282.05,282.05,0,ok
2001-10-15,282.79,282.79,282.79,282.79,0,ok
2001-10-16,281.21,281.21,281.21,281.21,0,ok
2001-10-17,281.5,281.5,281.5,281.5,0,ok
2001-10-18,281.8,281.8,281.8,281.8,0,ok
2001-10-19,282.75,282.75,282.75,282.75,0,ok
2001-10-22,283.06,283.06,283.06,283.06,0,ok
2001-10-30,285.25,285.25,285.25,285.25,0,ok
2001-10-31,287.17,287.17,287.17,287.17,0,ok
2001-11-01,287.79,287.79,287.79,287.79,0,ok
2001-11-02,289.98,289.98,289.98,289.98,0,ok
2001-11-05,290.97,290.97,290.97,290.97,0,ok
2001-11-06,296.35,296.35,296.35,296.35,0,ok
2001-11-07,297.52,297.52,297.52,297.52,0,ok
2001-11-09,297.19,297.19,297.19,297.19,0,ok
2001-11-12,298.13,298.13,298.13,298.13,0,ok
2001-11-13,300.15,300.15,300.15,300.15,0,ok
2001-11-19,300.36,300.36,300.36,300.36,0,ok
2001-11-20,299.55,299.55,299.55,299.55,0,ok
2001-11-21,299.38,299.38,299.38,299.38,0,ok
2001-11-22,297.51,297.51,297.51,297.51,0,ok
2001-11-23,296.01,296.01,296.01,296.01,0,ok
2001-11-26,290.07,290.07,290.07,290.07,0,ok
2001-11-27,283.98,283.98,283.98,283.98,0,ok
2001-11-28,288.83,288.83,288.83,288.83,0,ok
2001-11-30,287.7,287.7,287.7,287.7,0,ok
2001-12-03,288.72,288.72,288.72,288.72,0,ok
2001-12-04,286.18,286.18,286.18,286.18,0,ok
2001-12-05,287.78,287.78,287.78,287.78,0,ok
2001-12-06,288.97,288.97,288.97,288.97,0,ok
2001-12-07,290.57,290.57,290.57,290.57,0,ok
2001-12-10,290.49,290.49,290.49,290.49,0,ok
2001-12-11,288.37,288.37,288.37,288.37,0,ok
2001-12-12,287.42,287.42,287.42,287.42,0,ok
2001-12-13,286.9,286.9,286.9,286.9,0,ok
2001-12-14,284.48,284.48,284.48,284.48,0,ok
2001-12-17,283.33,283.33,283.33,283.33,0,ok
2001-12-18,283.75,283.75,283.75,283.75,0,ok
2001-12-19,282.8,282.8,282.8,282.8,0,ok
2001-12-20,280.62,280.62,280.62,280.62,0,ok
2001-12-21,280.05,280.05,280.05,280.05,0,ok
2001-12-24,277.84,277.84,277.84,277.84,0,ok
2001-12-25,278.21,278.21,278.21,278.21,0,ok
2001-12-26,274.36,274.36,274.36,274.36,0,ok
2001-12-27,273.2,273.2,273.2,273.2,0,ok
2001-12-28,271.43,271.43,271.43,271.43,0,ok
2001-12-31,269.75,269.75,269.75,269.75,0,ok
2002-01-01,266.28,266.28,266.28,266.28,0,ok
2002-01-02,263.03,263.03,263.03,263.03,0,ok
2002-01-03,261.08,261.08,261.08,261.08,0,ok
2002-01-07,260.67,260.67,260.67,260.67,0,ok
2002-01-09,262.82,262.82,262.82,262.82,0,ok
2002-01-10,255.92,255.92,255.92,255.92,0,ok
2002-01-14,258.91,258.91,258.91,258.91,0,ok
2002-01-15,265.62,265.62,265.62,265.62,0,ok
2002-01-16,262.85,262.85,262.85,262.85,0,ok
2002-01-17,260.65,260.65,260.65,260.65,0,ok
2002-01-18,259.75,259.75,259.75,259.75,0,ok
2002-01-21,257.73,257.73,257.73,257.73,0,ok
2002-01-22,255.91,255.91,255.91,255.91,0,ok
2002-01-23,254.98,254.98,254.98,254.98,0,ok
2002-01-25,256.84,256.84,256.84,256.84,0,ok
2002-01-28,254.77,254.77,254.77,254.77,0,ok
2002-01-30,252.73,252.73,252.73,252.73,0,ok
2002-01-31,251.96,251.96,251.96,251.96,0,ok
2002-02-01,251.41,251.41,251.41,251.41,0,ok
2002-02-04,248.72,248.72,248.72,248.72,0,ok
2002-02-06,245.4,245.4,245.4,245.4,0,ok
2002-02-07,240.41,240.41,240.41,240.41,0,ok
2002-02-11,236.06,236.06,236.06,236.06,0,ok
2002-02-12,236.01,236.01,236.01,236.01,0,ok
2002-02-13,236.6,236.6,236.6,236.6,0,ok
2002-02-14,234.97,234.97,234.97,234.97,0,ok
2002-02-15,234.82,234.82,234.82,234.82,0,ok
2002-02-18,233.75,233.75,233.75,233.75,0,ok
2002-02-20,230.5,230.5,230.5,230.5,0,ok
