date,open,high,RSI,adjclose,volume
5/23/2010,980,961,961,961,12
6/3/2010,961,942,942,942,300
6/14/2010,942,924,871,871,142
7/12/2010,871,854,850,850,87
7/25/2010,850,833,770,770,117
7/26/2010,770,755,726,752,297
7/27/2010,752,770,754,765,436
7/28/2010,765,750,707,707,2095
7/29/2010,707,693,650,655,4111
8/1/2010,655,667,650,665,4136
8/2/2010,665,678,671,678,183
8/3/2010,678,690,680,690,45
8/4/2010,690,703,677,703,134
8/5/2010,703,700,700,700,290
8/10/2010,700,693,680,680,1049
8/11/2010,680,667,667,667,60
8/12/2010,667,655,655,655,132
8/16/2010,655,655,655,655,15
8/17/2010,655,643,642,642,306
8/18/2010,642,630,618,618,54
8/19/2010,618,615,615,615,154
8/23/2010,615,603,603,603,15
8/26/2010,603,591,591,591,30
8/29/2010,591,601,590,601,765
8/30/2010,601,613,613,613,10
8/31/2010,613,615,611,615,315
9/2/2010,615,604,603,603,200
9/5/2010,603,592,591,592,515
9/6/2010,592,605,595,598,723
9/9/2010,598,588,587,587,30
9/12/2010,587,592,581,592,145
9/13/2010,592,603,595,603,328
9/14/2010,603,595,595,595,60
9/15/2010,595,606,595,606,180
9/16/2010,606,601,600,601,215
9/20/2010,601,590,580,580,96
9/27/2010,580,570,570,570,15
9/28/2010,570,581,570,576,115
9/29/2010,576,587,587,587,30
9/30/2010,587,608,597,608,80
10/3/2010,608,630,596,630,2088
10/5/2010,618,629,605,629,1050
10/6/2010,629,617,610,610,435
10/10/2010,610,610,610,610,35
10/12/2010,610,622,622,622,60
10/28/2010,622,635,634,635,192
10/31/2010,635,647,635,635,265
11/2/2010,647,659,647,659,200
11/3/2010,659,710,660,710,635
11/4/2010,710,724,710,724,300
11/9/2010,724,725,710,725,417
11/11/2010,725,755,739,755,322
11/14/2010,755,760,760,760,24
11/15/2010,760,761,761,761,75
11/16/2010,761,761,760,760,335
11/18/2010,760,760,760,760,120
11/21/2010,760,760,760,760,60
11/22/2010,760,755,750,755,53
11/23/2010,755,755,750,751,121
11/24/2010,751,750,750,750,455
11/25/2010,750,750,750,750,90
11/28/2010,750,765,760,765,87
11/29/2010,765,765,765,765,20
11/30/2010,765,765,765,765,15
12/5/2010,765,750,750,750,12
12/7/2010,750,735,710,722,249
12/8/2010,722,730,730,730,100
12/9/2010,730,743,730,743,590
12/13/2010,743,729,729,729,15
12/14/2010,729,715,715,715,155
12/16/2010,715,715,715,715,20
12/20/2010,715,701,701,701,15
12/23/2010,701,701,701,701,45
12/29/2010,701,715,700,715,1755
1/2/2011,715,715,715,715,119
1/3/2011,715,720,716,720,210
1/4/2011,720,725,725,725,15
1/6/2011,725,725,725,725,140
1/9/2011,725,730,723,730,695
1/12/2011,730,730,730,730,159
1/13/2011,730,730,730,730,105
1/16/2011,730,735,735,735,75
1/18/2011,735,749,749,749,30
1/20/2011,749,793,759,793,83
1/23/2011,793,808,792,792,210
1/24/2011,792,777,777,777,2098
2/2/2011,777,792,791,792,150
2/3/2011,792,792,777,785,1136
2/6/2011,785,785,785,785,25
2/7/2011,785,785,785,785,30
2/9/2011,785,770,770,770,30
2/10/2011,770,785,770,770,195
2/14/2011,770,771,771,771,95
2/15/2011,771,781,773,781,40
2/17/2011,781,780,780,780,30
2/20/2011,780,780,780,780,15
2/21/2011,780,790,785,790,54
2/22/2011,790,780,780,780,135
2/23/2011,780,780,780,780,30
2/24/2011,780,785,780,780,184
2/27/2011,780,780,780,780,90
2/28/2011,780,780,780,780,60
3/9/2011,780,785,726,726,175
3/13/2011,726,720,720,720,60
3/14/2011,720,721,721,721,13
3/15/2011,721,725,721,725,118
3/17/2011,725,721,721,721,120
3/24/2011,721,725,725,725,13
3/29/2011,725,725,725,725,60
3/31/2011,725,715,715,715,20
4/18/2011,715,701,701,701,450
4/27/2011,701,701,701,701,30
5/2/2011,701,687,648,648,3083
5/3/2011,648,648,648,648,30
5/5/2011,648,660,660,660,100
5/12/2011,660,647,640,640,130
5/15/2011,640,660,647,647,235
5/19/2011,647,635,635,635,15
5/24/2011,635,630,630,630,30
5/30/2011,630,618,606,606,88
6/13/2011,606,594,594,594,100
6/14/2011,594,583,572,572,60
6/15/2011,572,561,561,561,24
6/16/2011,561,561,558,558,930
6/20/2011,558,590,569,590,51
6/23/2011,590,647,601,647,109
6/26/2011,647,659,659,659,59
6/29/2011,659,672,659,659,220
6/30/2011,659,646,640,640,250
7/3/2011,640,628,616,616,290
7/4/2011,616,605,605,605,143
7/6/2011,605,600,600,600,20
7/12/2011,600,599,577,599,95
7/13/2011,599,588,577,577,30
7/14/2011,577,566,566,566,30
7/18/2011,566,577,577,577,17
7/20/2011,577,600,588,600,641
7/21/2011,600,600,590,591,125
7/24/2011,591,585,585,585,23
7/25/2011,585,577,575,577,55
7/31/2011,577,577,577,577,453
8/2/2011,577,610,588,610,62
8/3/2011,610,601,601,601,125
8/8/2011,601,600,600,600,156
8/9/2011,600,600,595,600,306
8/16/2011,600,610,610,610,345
8/17/2011,610,610,610,610,30
8/23/2011,610,601,598,601,120
8/24/2011,601,600,600,600,100
8/28/2011,600,590,580,580,75
8/29/2011,580,570,570,570,2655
8/30/2011,570,559,559,559,12
9/1/2011,559,570,559,570,375
9/4/2011,570,570,570,570,30
9/6/2011,570,560,560,560,27
9/7/2011,560,550,550,550,60
9/13/2011,550,550,539,539,147
9/18/2011,539,529,529,529,45
9/19/2011,529,525,525,525,15
9/25/2011,525,545,535,545,40
9/26/2011,545,535,535,535,42
9/29/2011,535,545,545,545,15
10/9/2011,545,545,545,545,12
10/10/2011,545,545,545,545,15
10/24/2011,545,555,555,555,30
11/2/2011,555,565,565,565,20
11/3/2011,565,595,576,595,50
11/6/2011,595,606,596,606,34
11/8/2011,606,615,610,615,225
11/9/2011,615,615,603,615,133
11/10/2011,615,664,620,660,635
11/13/2011,660,673,670,670,414
11/14/2011,670,657,635,635,224
11/15/2011,635,623,600,600,4020
11/16/2011,600,610,600,600,788
11/17/2011,600,612,600,612,2015
11/20/2011,612,600,600,600,840
11/21/2011,600,610,601,610,27
11/24/2011,610,601,590,590,117
11/27/2011,590,601,601,601,24
11/28/2011,601,602,602,602,50
12/6/2011,602,606,595,606,503
12/7/2011,606,605,600,600,686
12/15/2011,600,589,589,589,24
12/20/2011,589,590,590,590,24
12/27/2011,590,579,579,579,24
12/28/2011,579,590,590,590,165
12/29/2011,590,600,599,600,330
1/4/2012,600,589,558,558,3045
1/5/2012,558,569,569,569,375
1/12/2012,569,615,580,615,250
1/16/2012,615,627,627,627,200
1/17/2012,627,627,615,627,80
1/22/2012,627,625,625,625,45
1/23/2012,625,627,621,621,525
1/26/2012,621,621,621,621,376
1/29/2012,621,622,620,622,150
1/31/2012,622,632,620,632,250
2/1/2012,632,635,631,631,560
2/2/2012,631,631,631,631,50
2/5/2012,631,635,632,635,45
2/6/2012,635,647,647,647,200
2/7/2012,647,640,635,640,1015
2/8/2012,640,640,640,640,15
2/14/2012,640,640,635,640,45
2/15/2012,640,650,645,645,43
2/23/2012,645,641,640,641,138
2/26/2012,641,642,642,642,172
2/29/2012,642,654,654,654,53
3/1/2012,654,650,650,650,30
3/4/2012,650,650,650,650,108
3/5/2012,650,660,647,650,135
3/6/2012,650,660,650,660,43
3/11/2012,660,660,660,660,500
3/12/2012,660,659,647,659,28
3/13/2012,659,659,659,659,20
3/14/2012,659,655,655,655,1250
3/19/2012,655,645,645,645,4395
3/20/2012,645,640,640,640,27
3/25/2012,640,640,630,630,160
3/28/2012,630,640,630,630,36107
4/1/2012,630,640,640,640,1000
4/3/2012,640,640,640,640,175
