date,close,open,high,low,volume,s
2018-07-17,6111.78,6199.45,6201.18,6111.78,13601200,ok
2018-07-18,6050.17,6111.78,6111.78,6045.31,11308000,ok
2018-07-19,5969.35,6050.17,6045.78,5959.83,58318800,ok
2018-07-22,5858.75,5969.35,5966.88,5858.15,22191500,ok
2018-07-23,5992.26,5858.75,5999.21,5835.4,26741000,ok
2018-07-24,6012.15,5992.26,6166.05,5988.61,33700500,ok
2018-07-25,5931.93,5992.26,6015.01,5925.16,16354200,ok
2018-07-26,5904.76,5931.93,5936.13,5891.43,17567000,ok
2018-07-29,5914.68,5904.76,5936.38,5901.31,9795970,ok
2018-07-30,5899.96,5914.68,5921.16,5892.2,23006500,ok
2018-07-31,5875.01,5899.96,5907.44,5869.4,13894000,ok
2018-08-01,5907.42,5875.01,5911.07,5865.23,11544900,ok
2018-08-02,5850.05,5907.42,5917.54,5848.36,17448100,ok
2018-08-05,5819.13,5850.05,5856.68,5819.13,15362100,ok
2018-08-06,5819.04,5819.13,5825.0,5806.67,13686700,ok
2018-08-07,5830.09,5819.04,5832.28,5794.42,10982400,ok
2018-08-08,5825.88,5830.09,5832.9,5803.88,13093000,ok
2018-08-09,5755.81,5825.88,5820.69,5750.63,21080800,ok
2018-08-12,5650.07,5755.81,5756.44,5641.64,30465500,ok
2018-08-13,5725.62,5650.07,5756.08,5641.01,27929200,ok
2018-08-14,5775.63,5725.62,5780.36,5701.53,18025400,ok
2018-08-15,5981.27,5775.63,6002.02,5775.36,30961700,ok
2018-08-16,5960.5,5981.27,6091.1,5933.08,56691600,ok
2018-08-19,5857.24,5960.5,5964.66,5856.77,23358100,ok
2018-08-20,5797.5,5857.24,5861.89,5797.5,16834600,ok
2018-08-21,5801.97,5857.24,5807.65,5778.94,31766200,ok
2018-08-22,5794.18,5801.97,5804.25,5769.56,13483800,ok
2018-08-23,5766.63,5794.18,5804.73,5722.75,46128400,ok
2018-08-26,5724.15,5766.63,5767.66,5721.49,15789200,ok
2018-08-28,5730.09,5724.15,5730.97,5708.91,19970900,ok
2018-08-29,5701.69,5730.09,5730.09,5690.76,17763600,ok
2018-08-30,5764.15,5701.69,5787.67,5695.11,21186800,ok
2018-09-02,5793.58,5764.15,5855.67,5758.11,14194600,ok
2018-09-03,5890.24,5793.58,5927.59,5783.12,26940300,ok
2018-09-04,5892.54,5890.24,5935.58,5853.95,25756200,ok
2018-09-05,6055.21,5892.54,6144.57,5886.88,52177100,ok
2018-09-06,5971.14,6055.21,6123.22,5955.31,70264896,ok
2018-09-09,5885.2,5971.14,5971.14,5879.27,16748300,ok
2018-09-10,5826.61,5885.2,5888.84,5819.78,13004200,ok
2018-09-11,5761.33,5826.61,5940.74,5761.19,21414400,ok
2018-09-12,5874.85,5761.33,5874.85,5702.58,25292700,ok
2018-09-13,5833.44,5874.85,5934.24,5811.25,26366400,ok
2018-09-16,5853.62,5833.44,5969.21,5836.88,47069500,ok
2018-09-17,6057.08,5853.62,6099.49,5834.06,89841296,ok
2018-09-18,6131.03,6057.08,6164.97,6051.81,112719000,ok
2018-09-20,6023.55,6131.03,6157.27,6003.09,51045200,ok
2018-09-23,5960.92,6023.55,6023.21,5954.22,22434800,ok
2018-09-25,6024.3,5960.92,6036.25,5963.26,39710700,ok
2018-09-26,6001.3,6025.57,6057.37,5972.65,35810600,ok
2018-09-27,5934.28,6001.3,6001.35,5913.34,26988000,ok
2018-09-30,5876.0,5934.28,5928.55,5868.4,18373400,ok
2018-10-01,5804.27,5876.0,5879.3,5793.5,23170000,ok
2018-10-02,5816.42,5804.27,5840.76,5795.48,37487100,ok
