date,close,open,high,low,volume,s,RSI
2015-01-01,184.32,184.32,184.32,184.32,0,ok,
2015-01-05,185.08,185.08,185.08,185.08,0,ok,
2015-01-13,183.05,183.05,183.05,183.05,0,ok,
2015-02-16,190.23,190.23,190.23,190.23,0,ok,
2015-02-18,191.08,191.08,191.08,191.08,0,ok,
2015-03-02,195.7,195.7,195.7,195.7,0,ok,
2015-03-04,196.93,196.93,196.93,196.93,0,ok,
2015-03-30,197.0,197.0,197.0,197.0,0,ok,
2015-04-02,193.63,193.63,193.63,193.63,0,ok,
2015-04-05,196.93,196.93,196.93,196.93,0,ok,
2015-04-06,200.3,200.3,200.3,200.3,0,ok,
2015-04-07,200.81,200.81,200.81,200.81,0,ok,
2015-04-08,204.27,204.27,204.27,204.27,0,ok,
2015-04-09,200.39,200.39,200.39,200.39,0,ok,
2015-04-12,207.23,207.23,207.23,207.23,0,ok,77.62237762237758
2015-04-23,206.74,206.74,206.74,206.74,0,ok,76.28640776699028
2015-05-25,207.96,207.96,207.96,207.96,0,ok,80.83684080217874
2015-06-02,216.91,216.91,216.91,216.91,0,ok,81.6413662239089
2015-06-04,229.83,229.83,229.83,229.83,0,ok,85.72745712705144
2015-06-07,226.45,226.45,226.45,226.45,0,ok,79.01490847329681
2015-06-10,222.48,222.48,222.48,222.48,0,ok,72.92302171182483
2015-06-11,220.54,220.54,220.54,220.54,0,ok,70.43402777777776
2015-06-16,218.85,218.85,218.85,218.85,0,ok,72.5500715307582
2015-06-17,220.54,220.54,220.54,220.54,0,ok,71.73632848462528
2015-06-30,216.74,216.74,216.74,216.74,0,ok,65.01644135915235
2015-07-05,213.11,213.11,213.11,213.11,0,ok,60.629104735568625
2015-07-08,213.11,213.11,213.11,213.11,0,ok,58.12500000000001
2015-07-12,209.48,209.48,209.48,209.48,0,ok,58.393351800554015
2015-07-15,205.93,205.93,205.93,205.93,0,ok,48.72198191112861
2015-07-16,202.39,202.39,202.39,202.39,0,ok,45.96549805230939
2015-07-22,202.88,202.88,202.88,202.88,0,ok,45.22376833396013
2015-07-30,206.34,206.34,206.34,206.34,0,ok,38.91801216187882
2015-08-02,212.0,212.0,212.0,212.0,0,ok,27.949542418995804
2015-08-17,206.51,206.51,206.51,206.51,0,ok,26.563234602726865
2015-09-03,206.99,206.99,206.99,206.99,0,ok,30.166453265044865
2015-09-29,207.97,207.97,207.97,207.97,0,ok,33.49960619585195
2015-12-15,207.97,207.97,207.97,207.97,0,ok,35.05494505494508
2015-12-27,207.97,207.97,207.97,207.97,0,ok,31.892826274848773
2016-01-03,211.52,211.52,211.52,211.52,0,ok,42.42600116076612
2016-01-05,211.43,211.43,211.43,211.43,0,ok,47.28331177231565
2016-01-06,209.91,209.91,209.91,209.91,0,ok,45.067817509247824
2016-01-07,198.85,198.85,198.85,198.85,0,ok,36.66917481815905
2016-01-14,201.38,201.38,201.38,201.38,0,ok,44.14414414414415
2016-06-06,201.38,201.38,201.38,201.38,0,ok,48.56981025205326
2016-06-07,201.38,201.38,201.38,201.38,0,ok,47.84606547960942
2016-06-08,201.38,201.38,201.38,201.38,0,ok,42.09183673469387
2016-06-12,201.38,201.38,201.38,201.38,0,ok,29.338521400778234
2016-06-13,201.38,201.38,201.38,201.38,0,ok,37.30826323602181
2016-06-19,201.38,201.38,201.38,201.38,0,ok,35.78307146477444
2016-06-20,201.38,201.38,201.38,201.38,0,ok,32.42666666666668
2016-06-22,201.38,201.38,201.38,201.38,0,ok,32.42666666666668
2016-06-26,201.38,201.38,201.38,201.38,0,ok,32.42666666666668
2016-06-27,201.38,201.38,201.38,201.38,0,ok,16.64473684210526
2016-06-28,202.79,201.38,202.79,202.79,0,ok,23.84987893462467
2016-06-29,202.79,202.79,202.79,202.79,0,ok,26.26666666666665
2016-06-30,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-03,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-04,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-05,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-06,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-11,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-12,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-13,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-14,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-17,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-18,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-19,202.79,202.79,202.79,202.79,0,ok,100.0
2016-07-20,202.79,202.79,202.79,202.79,0,ok,
2016-07-21,202.79,202.79,202.79,202.79,0,ok,
2016-07-21,202.79,202.79,202.79,202.79,0,ok,
2016-07-26,202.79,202.79,202.79,202.79,0,ok,
2016-07-27,202.79,202.79,202.79,202.79,0,ok,
2016-07-28,202.79,202.79,202.79,202.79,0,ok,
2016-07-31,202.79,202.79,202.79,202.79,0,ok,
2016-08-01,202.79,202.79,202.79,202.79,0,ok,
2016-08-02,202.79,202.79,202.79,202.79,0,ok,
2016-08-03,202.79,202.79,202.79,202.79,0,ok,
2016-08-07,202.79,202.79,202.79,202.79,0,ok,
2016-08-08,202.79,202.79,202.79,202.79,0,ok,
2016-08-08,202.79,202.79,202.79,202.79,0,ok,
2016-08-09,202.79,202.79,202.79,202.79,0,ok,
2016-08-10,202.79,202.79,202.79,202.79,0,ok,
2016-08-11,202.79,202.79,202.79,202.79,0,ok,
2016-08-14,202.79,202.79,202.79,202.79,0,ok,
2016-08-16,202.79,202.79,202.79,202.79,0,ok,
2016-08-17,202.79,202.79,202.79,202.79,0,ok,
