Date,No of Transactions,high,low,adjclose,volume,Total Amount,open,Difference Rs.,% Change,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2017-01-18,54,1512.0,1490,1504.0,5013,7523545,1505.0,-1.0,-0.07,1515.8671,1500.0,0.0,-11.8670654296875
2017-01-24,43,1500.0,1481,1487.0,2963,4416101,1500.0,-13.0,-0.87,1506.5569,1441.0,0.0,-19.556884765625
2017-02-14,102,1375.0,1346,1360.0,8847,12054626,1370.0,-10.0,-0.73,1366.6486,1412.0,6.6485595703125,0.0
2017-02-19,91,1500.0,1427,1496.0,7010,10368340,1456.0,40.0,2.75,1459.5293,1520.0,-36.470703125,0.0
2017-02-21,96,1550.0,1495,1515.0,7723,11784598,1520.0,-5.0,-0.33,1519.1404,1485.0,0.0,-4.140380859375
2017-02-23,37,1485.0,1465,1471.0,2710,3984496,1485.0,-14.0,-0.94,1491.9797,1405.0,0.0,-20.979736328125
2017-03-09,26,1463.0,1436,1436.0,3014,4353264,1435.0,1.0,0.07,1456.5986,1455.0,20.5986328125,0.0
2017-03-13,19,1460.0,1435,1455.0,2366,3423835,1436.0,19.0,1.32,1456.786,1449.0,0.0,-1.7860107421875
2017-03-19,48,1446.0,1430,1440.0,4640,6673702,1440.0,0.0,0.0,1451.5382,1460.0,11.5382080078125,0.0
2017-03-30,86,1570.0,1541,1550.0,9746,15116519,1570.0,-20.0,-1.27,1558.1248,1579.0,8.124755859375,0.0
2017-04-02,55,1591.0,1560,1579.0,8810,13863282,1550.0,29.0,1.87,1564.9797,1577.0,0.0,14.020263671875
2017-04-03,130,1716.0,1550,1577.0,15195,24944664,1579.0,-2.0,-0.13,1596.6897,1580.0,19.689697265625,0.0
2017-04-09,59,1585.0,1539,1568.0,4935,7720480,1570.0,-2.0,-0.13,1568.2644,1575.0,0.264404296875,0.0
2017-04-13,63,1600.0,1565,1590.0,4916,7804592,1615.0,-25.0,-1.55,1594.2911,1556.0,0.0,-4.2911376953125
2017-04-26,29,1579.0,1565,1574.0,2038,3204084,1590.0,-16.0,-1.01,1581.5497,1580.0,7.5496826171875,0.0
2017-04-27,34,1581.0,1557,1580.0,3571,5613711,1574.0,6.0,0.38,1576.886,1545.0,0.0,3.114013671875
2017-05-18,62,1565.0,1540,1554.0,5123,7941445,1560.0,-6.0,-0.38,1559.9637,1550.0,0.0,-5.9637451171875
2017-06-05,34,1509.0,1480,1500.0,3695,5530476,1480.0,20.0,1.35,1504.1907,1519.0,4.190673828125,0.0
2017-06-06,96,1530.0,1500,1519.0,8003,12067235,1500.0,19.0,1.27,1515.1864,1515.0,0.0,3.8135986328125
2017-06-07,69,1540.0,1514,1515.0,10804,16424306,1519.0,-4.0,-0.26,1525.9878,1512.0,0.0,-10.98779296875
2017-06-13,57,1479.0,1455,1460.0,5712,8357364,1460.0,0.0,0.0,1479.3088,1452.0,0.0,-19.308837890625
2017-06-20,49,1455.0,1436,1442.0,4585,6621680,1450.0,-8.0,-0.55,1462.6691,1460.0,20.6690673828125,0.0
2017-06-27,49,1499.0,1485,1491.0,3543,5280813,1489.0,2.0,0.13,1493.0981,1499.0,2.09814453125,0.0
2017-07-10,55,1505.0,1490,1493.0,6071,9080538,1500.0,-7.0,-0.47,1505.9395,1506.0,12.939453125,0.0
2017-07-11,29,1510.0,1500,1506.0,3583,5394980,1493.0,13.0,0.87,1508.0024,1519.0,2.00244140625,0.0
2017-07-12,36,1520.0,1510,1519.0,2244,3394055,1506.0,13.0,0.86,1515.3909,1523.0,-3.609130859375,0.0
2017-07-13,39,1525.0,1512,1523.0,2709,4113818,1519.0,4.0,0.26,1521.9119,1530.0,-1.088134765625,0.0
2017-07-23,64,1665.0,1630,1635.0,4811,7920541,1658.0,-23.0,-1.39,1638.8667,1610.0,0.0,-3.86669921875
2017-07-27,65,1640.0,1625,1627.0,4790,7802785,1620.0,7.0,0.43,1623.1646,1620.0,0.0,3.83544921875
2017-08-02,49,1640.0,1630,1638.0,4095,6688292,1635.0,3.0,0.18,1629.848,1667.0,-8.1519775390625,0.0
2017-08-13,91,1769.0,1745,1750.0,9970,17482991,1758.0,-8.0,-0.46,1732.2953,1720.0,0.0,17.7047119140625
2017-08-31,180,1750.0,1699,1700.0,13665,23374198,1737.0,-37.0,-2.13,1713.4862,1665.0,0.0,-13.4862060546875
2017-09-04,164,1701.0,1640,1665.0,13365,22238967,1700.0,-35.0,-2.06,1680.8015,1694.0,15.801513671875,0.0
2017-09-10,374,1688.0,1632,1634.0,29951,49273019,1675.0,-41.0,-2.45,1661.353,1630.0,0.0,-27.35302734375
2017-09-24,87,1260.0,1242,1254.0,8497,10628509,1254.0,0.0,0.0,1278.8489,1260.0,24.848876953125,0.0
2017-09-25,38,1265.0,1258,1260.0,2474,3118727,1254.0,6.0,0.48,1278.9594,1264.0,18.9593505859375,0.0
2017-10-09,80,1225.0,1200,1205.0,6902,8301697,1218.0,-13.0,-1.07,1239.4724,1205.0,0.0,0.0
2017-10-10,30,1211.0,1190,1205.0,2185,2631375,1205.0,0.0,0.0,1224.2268,1200.0,0.0,-19.226806640625
2017-10-12,63,1205.0,1195,1200.0,6344,7616025,1200.0,0.0,0.0,1215.7269,1219.0,15.7269287109375,0.0
2017-10-24,24,1270.0,1251,1257.0,2908,3659420,1265.0,-8.0,-0.63,1279.0846,1235.0,0.0,-22.0845947265625
2017-11-06,72,1200.0,1180,1190.0,5666,6764751,1203.0,-13.0,-1.08,1212.3923,1179.0,0.0,-22.392333984375
2017-11-14,81,1200.0,1163,1200.0,11066,13012931,1161.0,39.0,3.36,1177.4297,1200.0,0.0,0.0
2017-11-20,85,1157.0,1140,1140.0,11937,13682716,1168.0,-28.0,-2.4,1179.5651,1145.0,39.5650634765625,0.0
2017-11-28,43,1180.0,1165,1180.0,5031,5925569,1165.0,15.0,1.29,1183.6061,1180.0,0.0,0.0
2017-11-30,59,1190.0,1170,1179.0,8116,9533877,1180.0,-1.0,-0.08,1191.3698,1166.0,0.0,-12.3697509765625
2017-12-11,36,1167.0,1152,1167.0,2773,3216181,1164.0,3.0,0.26,1174.4679,1160.0,0.0,-7.4678955078125
2017-12-19,26,1161.0,1155,1155.0,2366,2738360,1160.0,-5.0,-0.43,1169.4462,1155.0,0.0,0.0
2017-12-20,33,1160.0,1145,1155.0,2665,3077286,1155.0,0.0,0.0,1166.5386,1149.0,0.0,-11.53857421875
2017-12-31,174,1090.0,1015,1020.0,19263,19872468,1090.0,-70.0,-6.42,1095.1163,1065.0,75.1163330078125,0.0
2018-01-25,77,1039.0,1020,1037.0,8156,8413375,1015.0,22.0,2.17,1032.8295,1048.0,-4.1705322265625,0.0
2018-01-28,115,1055.0,1044,1048.0,10059,10552455,1037.0,11.0,1.06,1043.6057,1052.0,-4.394287109375,0.0
2018-02-01,145,1098.0,1075,1090.0,12664,13798913,1070.0,20.0,1.87,1081.9637,1086.0,0.0,8.0362548828125
2018-02-15,159,1104.0,1075,1104.0,18692,20360424,1068.0,36.0,3.37,1086.8638,1112.0,-17.13623046875,0.0
2018-02-20,113,1130.0,1093,1100.0,9378,10334586,1112.0,-12.0,-1.08,1115.6675,1095.0,0.0,-15.66748046875
2018-02-21,41,1096.0,1085,1095.0,2594,2833586,1100.0,-5.0,-0.45,1107.6602,1090.0,0.0,-12.66015625
2018-02-28,113,1067.0,1055,1060.0,12588,13355553,1068.0,-8.0,-0.75,1069.7755,1034.0,0.0,-9.7755126953125
2018-03-19,122,1030.0,1012,1015.0,12030,12261050,1025.0,-10.0,-0.98,1028.665,1015.0,0.0,0.0
2018-03-22,215,990.0,969,975.0,20012,19557394,985.0,-10.0,-1.02,993.72516,925.0,0.0,-18.72515869140625
2018-03-28,214,968.0,931,968.0,23753,22625884,939.0,29.0,3.09,940.9206,970.0,-27.07940673828125,0.0
2018-04-09,356,1030.0,994,994.0,35267,35649958,999.0,-5.0,-0.5,1006.26685,985.9999999999999,0.0,-12.266845703125
2018-04-17,127,1005.0,997,1002.0,16009,16014884,996.0,6.0,0.6,1001.5628,1040.0,-0.43719482421875,0.0
2018-05-09,65,1014.0,1003,1003.0,7968,8034051,1010.0,-7.0,-0.69,1010.1432,1003.0,0.0,0.0
2018-05-14,80,1004.0,990,1000.0,8898,8893275,1003.0,-3.0,-0.3,1006.07526,1001.9999999999999,6.07525634765625,0.0
2018-05-15,31,1007.0,995,1002.0,2596,2600618,1000.0,2.0,0.2,1004.67395,1000.0,0.0,-2.6739501953125
2018-05-17,42,1005.0,1001,1002.0,3295,3305126,1000.0,2.0,0.2,1005.46985,1000.0,0.0,-3.4698486328125
2018-05-20,84,1022.0,1000,1000.0,9372,9407270,1002.0,-2.0,-0.2,1009.9725,999.0,0.0,-9.97247314453125
2018-05-22,50,1003.0,995,995.0,6365,6353640,999.0,-4.0,-0.4,1005.029,987.0,0.0,-10.02899169921875
2018-05-23,64,999.0,984,987.0,5655,5608070,995.0,-8.0,-0.8,998.9827,989.9999999999999,11.98272705078125,0.0
2018-06-20,35,945.0,940,940.0,3344,3150990,941.0,-1.0,-0.11,943.44324,942.0,3.4432373046875,0.0
2018-06-21,36,945.0,940,942.0,2308,2172544,940.0,2.0,0.21,942.7839,942.0,0.0,0.0
2018-06-24,53,943.0,936,942.0,4494,4227179,942.0,0.0,0.0,942.3703,932.0000000000001,0.0,-0.37030029296875
2018-07-02,37,928.0,917,920.0,2420,2230578,928.0,-8.0,-0.86,929.2286,919.9999999999999,0.0,-9.22857666015625
2018-07-11,81,928.0,917,918.0,9218,8488516,917.0,1.0,0.11,922.60364,911.9999999999999,0.0,-4.6036376953125
2018-07-12,77,922.0,911,912.0,5387,4937055,918.0,-6.0,-0.65,918.2137,919.9999999999999,6.21368408203125,0.0
2018-07-16,102,921.0,903,921.0,10813,9814734,920.0,1.0,0.11,916.1029,899.9999999999999,0.0,4.8970947265625
2018-07-18,150,905.0,897,900.0,28537,25684476,900.0,0.0,0.0,909.3528,899.9999999999999,0.0,-9.352783203125
2018-07-24,173,905.0,898,899.0,20936,18838973,900.0,-1.0,-0.11,899.46124,897.0,0.0,-0.46124267578125
2018-07-25,81,900.0,897,897.0,7248,6515265,899.0,-2.0,-0.22,900.0152,905.0,3.01519775390625,0.0
2018-07-30,46,913.0,907,909.0,5174,4704652,910.0,-1.0,-0.11,913.77167,905.0,0.0,-4.77166748046875
2018-08-02,53,909.0,904,906.0,5552,5025364,908.0,-2.0,-0.22,911.12994,905.0,0.0,-5.12994384765625
2018-08-07,42,919.0,904,904.0,2142,1939354,903.0,1.0,0.11,907.5812,903.9999999999999,0.0,-3.5811767578125
2018-08-14,51,907.0,900,907.0,6383,5763190,907.0,0.0,0.0,904.60254,935.0,-2.3974609375,0.0
2018-09-05,90,974.0,965,970.0,10041,9723088,966.0,4.0,0.41,969.82184,964.9999999999999,0.0,0.17816162109375
2018-09-10,52,967.0,960,964.0,7438,7154743,970.0,-6.0,-0.62,967.9058,966.0,3.90582275390625,0.0
2018-09-13,52,970.0,966,968.0,5373,5204961,965.0,3.0,0.31,967.75446,968.9999999999999,-0.24554443359375,0.0
2018-09-18,54,970.0,966,968.0,5243,5077774,968.0,0.0,0.0,970.67645,962.0,0.0,-2.67645263671875
2018-09-26,74,969.0,960,966.0,9356,9023400,965.0,1.0,0.1,965.83026,960.9999999999999,0.0,0.16973876953125
2018-10-04,61,958.0,916,944.0,5142,4793892,942.0,2.0,0.21,940.85785,927.0,0.0,3.14215087890625
2018-10-07,50,944.0,927,927.0,5803,5418389,944.0,-17.0,-1.8,938.36426,928.9999999999999,11.3642578125,0.0
2018-10-09,29,939.0,927,930.0,2484,2309884,929.0,1.0,0.11,932.6462,930.0,0.0,0.0
2018-10-23,21,960.0,950,960.0,2006,1914357,951.0,9.0,0.95,958.1228,962.0,-1.877197265625,0.0
2018-10-31,20,952.0,940,952.0,2427,2290367,940.0,12.0,1.28,943.2546,946.0,0.0,8.74542236328125
2018-11-10,4,951.0,940,946.0,130,122200,946.0,-6.0,-0.63,850.9104,911.0000000000001,0.0,95.089599609375
2018-11-12,49,911.0,897,0.0,4075,3671257,911.0,-7.0,-0.77,791.7325,919.0,791.7324829101562,0.0
2018-11-14,33,920.0,915,919.0,4373,4012461,919.0,0.0,0.0,831.23584,927.0,-87.76416015625,0.0
2018-11-15,55,940.0,919,927.0,7548,7014926,919.0,8.0,0.87,878.01355,917.0,0.0,48.9864501953125
