date,open,high,low,adjclose,volume,adjclose_2,true_adjclose_2,buy_profit,sell_profit
2017-01-09,613.0,616.0,610,616,14193,587.7462,619.0,-28.2537841796875,0.0
2017-01-15,614.0,616.0,610,612,10360,596.3428,610.0,0.0,15.6572265625
2017-02-05,570.0,565.0,553,558,8133,556.3438,548.0,0.0,1.65618896484375
2017-02-08,548.0,550.0,535,541,15736,537.5516,507.99999999999994,0.0,3.44842529296875
2017-02-12,526.0,525.0,500,508,25795,516.17865,519.0,8.17864990234375,0.0
2017-02-14,525.0,528.0,512,519,26751,514.50165,548.0,-4.49835205078125,0.0
2017-02-26,430.0,426.0,408,412,21747,459.5137,415.0,47.513702392578125,0.0
2017-02-28,412.0,412.0,401,409,13178,408.84473,417.0,-0.1552734375,0.0
2017-03-06,418.0,435.0,417,423,12979,422.01224,415.0,0.0,0.987762451171875
2017-03-20,415.0,438.0,417,434,24270,418.1327,440.0,-15.8673095703125,0.0
2017-03-21,434.0,445.0,427,445,27748,432.41428,450.00000000000006,-12.585723876953125,0.0
2017-03-22,445.0,462.0,435,440,32282,441.54462,464.99999999999994,1.54461669921875,0.0
2017-03-28,465.0,498.0,460,490,54876,469.74142,470.00000000000006,0.0,20.258575439453125
2017-04-03,510.0,560.0,495,505,72939,507.0927,500.0,0.0,-2.09271240234375
2017-04-16,529.0,530.0,510,513,43820,514.7225,525.0,1.72247314453125,0.0
2017-04-18,513.0,520.0,496,505,29882,504.61572,522.0,-0.38427734375,0.0
2017-05-07,503.0,500.0,490,498,25421,495.30563,497.0,0.0,2.694366455078125
2017-05-16,503.0,504.0,494,498,10804,496.095,492.0,0.0,1.904998779296875
2017-05-17,498.0,501.0,492,493,7338,490.84854,480.0,0.0,2.151458740234375
2017-05-18,493.0,493.0,485,492,12584,486.64658,498.0,-5.353424072265625,0.0
2017-06-04,470.0,479.0,460,465,25983,465.30875,490.00000000000006,0.308746337890625,0.0
2017-06-11,473.0,470.0,457,463,15500,463.48267,469.0,0.482666015625,0.0
2017-06-15,470.0,476.0,463,463,13300,464.61533,455.99999999999994,0.0,-1.615325927734375
2017-06-28,455.0,458.0,452,456,11217,450.98975,455.0,0.0,5.01025390625
2017-07-02,456.0,456.0,443,448,17371,447.64206,450.00000000000006,-0.357940673828125,0.0
2017-07-03,448.0,456.0,450,455,16608,446.26694,450.00000000000006,0.0,8.733062744140625
2017-07-04,455.0,455.0,448,450,9075,447.17133,463.0,-2.82867431640625,0.0
2017-07-12,462.0,468.0,462,462,9652,457.3847,461.99999999999994,0.0,4.61529541015625
2017-07-18,470.0,476.0,467,476,29290,466.90363,472.0,0.0,9.09637451171875
2017-07-24,464.0,465.0,460,461,14829,458.41446,458.0,0.0,2.585540771484375
2017-08-01,487.0,490.0,481,484,14489,478.91104,484.99999999999994,-5.088958740234375,0.0
2017-08-21,465.0,465.0,456,462,5894,459.44626,460.0,0.0,2.553741455078125
2017-08-22,462.0,469.0,457,467,9914,459.0483,461.99999999999994,0.0,7.951690673828125
2017-08-27,462.0,465.0,458,458,12806,457.11914,445.0,0.0,0.880859375
2017-09-11,420.0,430.0,415,420,11686,417.39114,418.99999999999994,0.0,2.608856201171875
2017-09-12,420.0,422.0,416,420,14092,415.284,432.99999999999994,-4.71600341796875,0.0
2017-09-20,443.0,451.0,425,438,11701,436.54135,438.99999999999994,-1.458648681640625,0.0
2017-09-24,438.0,445.0,433,435,15164,433.45303,434.0,0.0,1.546966552734375
2017-09-26,439.0,443.0,433,434,12120,432.16492,434.0,0.0,0.0
2017-10-12,424.0,426.0,420,424,8288,419.28403,445.0,-4.715972900390625,0.0
