date,open,high,low,adjclose,volume,adjclose_2,true_adjclose_2,buy_profit,sell_profit
2011-07-07,256.0,261.0,261,261.0,300,303.7792,308.0,42.779205322265625,0.0
2011-07-19,261.0,287.0,266,287.0,1004,308.52466,314.0,21.524658203125,0.0
2011-07-21,308.0,314.0,314,314.0,21,331.17273,309.0,0.0,-17.1727294921875
2011-07-24,314.0,309.0,303,303.0,187,319.39438,315.0,16.394378662109375,0.0
2011-08-03,309.0,309.0,309,309.0,922,334.61484,303.0,0.0,-25.614837646484375
2011-08-04,309.0,308.0,308,308.0,625,332.80072,309.0,24.80072021484375,0.0
2011-08-16,359.0,355.0,355,355.0,42,383.19348,380.0,28.1934814453125,0.0
2011-10-10,361.0,365.0,361,365.0,48,376.56427,375.0,11.56427001953125,0.0
2011-10-18,365.0,370.0,370,370.0,210,387.1773,361.0,0.0,-17.17730712890625
2011-11-06,370.0,375.0,375,375.0,51,396.52722,360.0,0.0,-21.5272216796875
2011-12-18,353.0,346.0,340,340.0,41,364.08072,340.0,0.0,0.0
2012-02-08,320.0,326.0,326,326.0,158,346.88953,297.0,0.0,-20.8895263671875
2012-02-23,314.0,309.0,297,297.0,50,318.75003,282.0,0.0,-21.750030517578125
2012-02-28,297.0,292.0,277,277.0,178,296.5873,253.99999999999997,0.0,-19.587310791015625
2012-07-18,345.0,379.0,351,379.0,443,397.92194,374.0,0.0,-18.92193603515625
2012-07-19,379.0,400.0,379,379.0,906,415.87372,395.0,36.87371826171875,0.0
2012-08-29,364.0,373.0,340,373.0,435,376.50818,381.99999999999994,3.5081787109375,0.0
2012-09-04,376.0,384.0,377,377.0,344,390.43237,377.0,0.0,0.0
2012-09-20,422.0,430.0,422,424.0,563,432.36707,402.0,0.0,-8.3670654296875
2012-09-23,424.0,416.0,416,416.0,261,438.0575,405.0,0.0,-22.0574951171875
2012-09-27,413.0,416.0,411,416.0,107,432.28342,428.0,16.283416748046875,0.0
2012-09-30,416.0,420.0,420,420.0,100,437.3572,417.00000000000006,0.0,-17.357208251953125
2012-10-08,428.0,425.0,417,417.0,377,440.6125,441.0,23.61248779296875,0.0
2012-10-10,425.0,441.0,432,441.0,304,456.1495,452.0,15.149505615234375,0.0
2012-12-11,493.0,391.0,391,391.0,100,422.51663,421.0,31.516632080078125,0.0
2013-02-17,400.0,408.0,408,408.0,52,427.39923,390.00000000000006,0.0,-19.39923095703125
2013-03-07,390.0,400.0,393,400.0,186,411.77417,392.0,0.0,-11.774169921875
2013-03-13,400.0,392.0,392,392.0,10,411.18405,378.0,0.0,-19.184051513671875
2013-04-16,401.0,393.0,386,386.0,20,411.83502,387.0,25.83502197265625,0.0
2013-04-28,402.0,402.0,398,402.0,4008,418.50497,399.99999999999994,0.0,-16.504974365234375
2013-05-06,400.0,407.0,407,407.0,200,428.18893,426.00000000000006,21.188934326171875,0.0
2013-05-13,420.0,412.0,412,412.0,556,426.31067,428.0,14.3106689453125,0.0
2013-05-22,428.0,433.0,433,433.0,20,448.1942,494.0,15.1942138671875,0.0
2013-05-23,433.0,476.0,435,476.0,447,472.48166,503.0,-3.518341064453125,0.0
2013-06-04,457.0,455.0,444,444.0,1169,448.71384,447.0,4.713836669921875,0.0
2013-06-26,437.0,435.0,435,435.0,42,444.647,430.0,0.0,-9.647003173828125
2013-06-27,435.0,430.0,430,430.0,525,450.15445,446.0,20.154449462890625,0.0
2013-07-07,461.0,498.0,470,498.0,2017,511.58737,527.0,13.587371826171875,0.0
2013-07-30,510.0,505.0,477,478.0,7251,513.26465,495.0,35.2646484375,0.0
