date,open,high,low,adjclose,volume,adjclose_2,true_adjclose_2,buy_profit,sell_profit
2011-08-24,270.0,275.0,275,275,10,255.84993,270.0,0.0,19.150070190429688
2011-08-25,275.0,280.0,280,280,63,263.43008,260.0,0.0,16.569915771484375
2011-09-04,270.0,265.0,260,260,273,243.0929,264.0,-16.9071044921875,0.0
2011-09-05,260.0,255.0,250,250,270,232.69775,270.0,-17.30224609375,0.0
2011-09-19,265.0,260.0,249,250,443,234.69551,277.0,-15.304489135742188,0.0
2011-10-20,290.0,295.0,295,295,114,282.99182,300.0,-12.0081787109375,0.0
2011-11-03,313.0,313.0,282,282,1119,283.64743,266.0,0.0,-1.647430419921875
2011-11-06,282.0,277.0,267,267,770,248.9631,287.0,-18.036895751953125,0.0
2011-11-08,267.0,266.0,266,266,73,241.09892,296.0,-24.901077270507812,0.0
2011-11-14,287.0,287.0,282,287,1335,268.64566,287.0,0.0,0.0
2011-12-27,261.0,270.0,260,265,11098,256.46368,244.0,0.0,8.53631591796875
2011-12-29,260.0,255.0,240,244,7100,219.3883,236.00000000000003,0.0,24.6116943359375
2012-01-01,244.0,240.0,240,240,89,212.71407,236.00000000000003,0.0,27.285934448242188
2012-04-09,229.0,231.0,230,231,220,212.01843,243.0,-18.9815673828125,0.0
2012-04-12,231.0,235.0,235,235,20,218.15025,247.0,-16.849746704101562,0.0
2012-05-10,300.0,299.0,294,299,600,288.49982,310.0,-10.50018310546875,0.0
2012-05-21,316.0,316.0,316,316,20,304.96344,293.0,0.0,11.03656005859375
2012-06-21,273.0,275.0,275,275,500,263.3064,280.0,-11.693603515625,0.0
2012-06-28,275.0,270.0,270,270,257,254.91365,290.0,-15.086349487304688,0.0
2012-07-12,295.0,290.0,289,289,300,275.61456,280.0,0.0,13.38543701171875
2012-07-15,289.0,284.0,280,280,1420,268.92032,285.0,-11.079681396484375,0.0
2012-07-18,280.0,285.0,285,285,110,272.4529,306.0,-12.547088623046875,0.0
2012-07-22,290.0,306.0,295,306,97,287.37234,299.0,0.0,18.627655029296875
2012-09-09,265.0,270.0,270,270,10,251.53908,270.0,0.0,0.0
2012-11-28,288.0,290.0,290,290,100,271.516,305.0,-18.4840087890625,0.0
2012-12-09,290.0,295.0,291,291,411,276.00906,300.0,-14.990936279296875,0.0
2012-12-11,295.0,300.0,300,300,229,283.04233,295.0,0.0,16.957672119140625
2012-12-26,340.0,334.0,322,322,196,314.1841,309.0,0.0,7.815887451171875
2013-01-13,324.0,336.0,314,334,10997,328.5468,322.0,0.0,5.45318603515625
2013-02-04,304.0,298.0,293,293,147,274.14197,290.0,0.0,18.8580322265625
2013-02-13,290.0,286.0,286,286,10,266.70288,292.0,-19.297119140625,0.0
