date,open,high,low,adjclose,volume,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2010-07-07,2125.0,2175.0,2135,2135.0,802,2177.065,2230.0,42.06494140625,0.0
2010-07-13,2125.0,2167.0,2150,2150.0,510,2129.2363,2200.0,-20.763671875,0.0
2010-07-14,2150.0,2230.0,2156,2230.0,470,2142.045,2176.0,0.0,87.955078125
2010-07-15,2230.0,2433.0,2250,2384.0,214,2234.5771,2174.0,0.0,149.4228515625
2010-07-20,2205.0,2210.0,2180,2207.0,2303,2238.3145,2140.0,0.0,-31.314453125
2010-07-27,2150.0,2140.0,2133,2140.0,460,2088.9612,2160.0,-51.038818359375,0.0
2010-08-05,2155.0,2165.0,2135,2135.0,1449,2148.5093,2120.0,0.0,-13.50927734375
2010-08-16,2126.0,2130.0,2110,2121.0,1397,2089.081,1872.0000000000002,0.0,31.9189453125
2010-08-18,2090.0,2090.0,1985,2005.0,861,2049.9421,1872.0000000000002,0.0,-44.942138671875
2010-09-07,1750.0,1871.0,1750,1871.0,620,1818.8339,1999.0,-52.1661376953125,0.0
2010-09-08,1871.0,2058.0,1908,2058.0,1692,1918.9642,1999.9999999999998,0.0,139.0357666015625
2010-09-09,2058.0,2140.0,1970,2018.0,8224,1981.8687,1965.0,0.0,36.13134765625
2010-09-15,1999.0,2010.0,1972,2000.0,1443,2007.9847,1949.9999999999998,0.0,-7.9847412109375
2010-09-16,2000.0,2000.0,1960,1965.0,1215,1954.1864,2033.9999999999998,-10.8135986328125,0.0
2010-09-29,1350.0,1404.0,1377,1390.0,243,1554.5897,1470.0,164.5897216796875,0.0
2010-10-03,1420.0,1420.0,1408,1408.0,424,1467.7905,1441.0000000000002,59.79052734375,0.0
2010-10-07,1430.0,1475.0,1455,1470.0,275,1499.548,1490.0,29.5479736328125,0.0
2010-10-10,1470.0,1528.0,1498,1500.0,571,1538.5295,1484.9999999999998,0.0,-38.529541015625
2010-10-20,1503.0,1490.0,1490,1490.0,20,1436.1426,1455.0,0.0,53.857421875
2010-11-15,1442.0,1445.0,1430,1430.0,477,1442.8469,1402.0000000000002,0.0,-12.846923828125
2010-11-16,1430.0,1421.0,1410,1421.0,278,1421.2557,1400.9999999999998,0.0,-0.2557373046875
2010-12-01,1360.0,1361.0,1334,1334.0,317,1345.0277,1264.0,0.0,-11.0277099609375
2010-12-02,1334.0,1331.0,1312,1313.0,406,1321.2325,1236.0,0.0,-8.2325439453125
2010-12-08,1239.0,1264.0,1220,1264.0,901,1246.0516,1162.0,0.0,17.9483642578125
2011-01-09,1314.0,1310.0,1310,1310.0,20,1319.5701,1321.0,9.570068359375,0.0
2011-01-13,1325.0,1350.0,1330,1330.0,24,1336.667,1325.0,0.0,-6.6669921875
2011-01-19,1320.0,1330.0,1320,1320.0,110,1324.5704,1330.0,4.5704345703125,0.0
2011-02-10,1331.0,1340.0,1325,1325.0,401,1330.3314,1320.0,0.0,-5.3314208984375
2011-02-17,1305.0,1320.0,1301,1320.0,678,1314.0094,1305.0,0.0,5.9906005859375
2011-02-27,1305.0,1280.0,1255,1260.0,224,1271.7509,1272.0,11.7508544921875,0.0
2011-03-24,1153.0,1174.0,1145,1174.0,702,1166.7194,1082.0,0.0,7.2806396484375
2011-03-30,1097.0,1076.0,1030,1040.0,1340,1057.3658,1111.0,17.3658447265625,0.0
2011-04-11,1115.0,1112.0,1070,1112.0,536,1107.1061,1063.0,0.0,4.8939208984375
2011-04-13,1112.0,1218.0,1100,1218.0,389,1185.5579,1075.0,0.0,32.442138671875
2011-04-21,1063.0,1075.0,1062,1075.0,451,1072.8599,1045.0,0.0,2.14013671875
2011-05-08,1030.0,1040.0,1030,1040.0,445,1044.7208,1155.0,4.7208251953125,0.0
2011-05-18,1193.0,1172.0,1150,1172.0,939,1181.3419,1150.0,0.0,-9.3419189453125
2011-05-26,1150.0,1149.0,1127,1149.0,127,1143.7543,1060.0,0.0,5.2457275390625
2011-06-13,965.0,955.0,903,933.0,2673,942.44434,1085.0,9.4443359375,0.0
2011-06-14,933.0,915.0,855,868.0,1716,897.03217,1193.0,29.03216552734375,0.0
2011-06-20,987.0,1085.0,1006,1085.0,1974,1093.5048,1123.0,8.5047607421875,0.0
2011-06-27,1228.0,1219.0,1106,1106.0,552,1192.7196,1140.0,86.7196044921875,0.0
2011-07-03,1140.0,1118.0,1059,1065.0,863,1095.0284,1140.0,30.0284423828125,0.0
2011-07-14,1190.0,1252.0,1213,1252.0,883,1250.7523,1370.0,-1.2476806640625,0.0
2011-07-20,1321.0,1373.0,1326,1356.0,814,1361.2413,1294.0,0.0,-5.2413330078125
2011-07-21,1356.0,1380.0,1345,1370.0,1285,1363.4952,1289.0,0.0,6.5047607421875
2011-07-27,1265.0,1294.0,1245,1294.0,2033,1273.3915,1240.0,0.0,20.6085205078125
2011-08-01,1250.0,1254.0,1241,1246.0,495,1252.9863,1234.0,0.0,-6.986328125
2011-08-17,1225.0,1231.0,1210,1231.0,645,1226.9165,1180.0,0.0,4.08349609375
2011-09-05,975.0,970.0,953,954.0,1249,937.9291,946.9999999999999,0.0,16.0709228515625
2011-09-07,917.0,920.0,900,903.0,824,897.0133,925.0000000000001,-5.9866943359375,0.0
2011-09-08,903.0,901.0,882,885.0,1387,891.75116,900.0,6.75115966796875,0.0
2011-09-19,900.0,918.0,900,918.0,830,946.6551,950.0000000000001,28.65509033203125,0.0
2011-09-29,940.0,959.0,955,955.0,434,956.26587,950.0000000000001,0.0,-1.265869140625
2011-10-02,955.0,980.0,974,980.0,272,976.195,931.0,0.0,3.80499267578125
2011-10-18,948.0,966.0,945,950.0,330,954.1361,915.0,0.0,-4.1361083984375
2011-10-23,939.0,935.0,915,915.0,302,925.98175,996.0,10.98175048828125,0.0
2011-10-25,901.0,915.0,850,915.0,1637,893.0345,901.0,0.0,21.96551513671875
2011-11-14,870.0,887.0,866,867.0,553,884.00824,870.0,17.00823974609375,0.0
2011-11-17,875.0,909.0,892,909.0,24,912.8975,859.9999999999999,0.0,-3.89752197265625
2011-11-21,885.0,880.0,870,870.0,120,885.34485,872.0,15.3448486328125,0.0
2011-12-01,865.0,887.0,870,870.0,264,887.85486,840.0,0.0,-17.8548583984375
2011-12-06,850.0,850.0,848,850.0,342,855.1173,790.0,0.0,-5.1173095703125
2011-12-19,809.0,805.0,800,801.0,439,811.60895,827.0000000000001,10.60894775390625,0.0
2012-01-04,892.0,875.0,842,865.0,490,871.8829,873.9999999999999,6.88287353515625,0.0
2012-01-09,830.0,846.0,830,846.0,195,836.8279,861.0,-9.172119140625,0.0
2012-01-17,879.0,865.0,820,861.0,2244,852.50635,830.0,0.0,8.49365234375
2012-01-23,836.0,843.0,826,835.0,1255,846.20245,831.9999999999999,0.0,-11.20245361328125
2012-01-25,835.0,840.0,825,840.0,442,843.9266,850.0,3.92657470703125,0.0
2012-01-29,830.0,830.0,823,830.0,496,837.19293,824.0000000000001,0.0,-7.19293212890625
2012-02-08,830.0,841.0,830,841.0,187,855.0463,843.0,14.04632568359375,0.0
2012-02-23,850.0,850.0,845,850.0,79,854.2514,887.0,4.25140380859375,0.0
2012-02-27,844.0,847.0,831,847.0,1055,842.73505,883.0000000000001,-4.26495361328125,0.0
2012-02-28,847.0,867.0,845,867.0,825,863.13055,882.0,-3.86944580078125,0.0
2012-03-12,885.0,882.0,880,880.0,256,893.71704,873.9999999999999,0.0,-13.717041015625
2012-03-19,867.0,882.0,853,882.0,281,879.3679,867.0,0.0,2.632080078125
2012-03-27,861.0,873.0,850,867.0,342,873.50806,875.0,6.508056640625,0.0
2012-03-28,867.0,867.0,850,867.0,317,873.38116,901.9999999999999,6.38116455078125,0.0
2012-03-29,867.0,867.0,850,867.0,64,873.88824,895.0,6.88824462890625,0.0
2012-04-02,852.0,880.0,852,880.0,270,882.9491,890.0,2.9490966796875,0.0
2012-04-08,902.0,895.0,879,895.0,318,906.8469,1075.0,11.846923828125,0.0
2012-04-11,890.0,925.0,885,910.0,1173,921.5118,1130.0,11.51177978515625,0.0
2012-04-17,1075.0,1182.0,994,1000.0,2664,1107.2705,1450.0,107.2705078125,0.0
2012-04-22,1130.0,1200.0,1130,1200.0,3423,1181.8009,1400.0,-18.1990966796875,0.0
2012-05-14,1302.0,1276.0,1200,1219.0,2577,1253.9164,1445.0,34.9163818359375,0.0
2012-06-13,1210.0,1220.0,1201,1220.0,197,1215.7975,1212.0,0.0,4.2025146484375
2012-06-17,1212.0,1205.0,1194,1205.0,306,1207.502,1264.0,2.501953125,0.0
2012-06-18,1205.0,1224.0,1200,1210.0,320,1219.408,1226.0,9.407958984375,0.0
2012-07-05,1302.0,1293.0,1276,1293.0,789,1291.1425,1319.0,-1.8575439453125,0.0
2012-07-08,1293.0,1281.0,1265,1281.0,1230,1281.4432,1355.0,0.4432373046875,0.0
2012-07-12,1310.0,1319.0,1301,1319.0,1100,1313.0946,1430.0000000000002,-5.9053955078125,0.0
2012-07-18,1371.0,1395.0,1368,1382.0,2406,1380.6384,1470.0,-1.361572265625,0.0
2012-07-19,1382.0,1443.0,1400,1430.0,1362,1418.4618,1450.0,-11.5382080078125,0.0
2012-07-23,1475.0,1502.0,1478,1483.0,3631,1481.0424,1450.0,0.0,1.9576416015625
2012-08-01,1450.0,1470.0,1450,1460.0,2222,1462.3438,1451.0,0.0,-2.34375
2012-08-06,1470.0,1481.0,1470,1478.0,897,1485.4795,1455.0,0.0,-7.4794921875
2012-08-14,1461.0,1473.0,1450,1455.0,1350,1453.3005,1462.0,-1.699462890625,0.0
2012-08-22,1465.0,1472.0,1451,1462.0,1036,1460.7638,1440.0,0.0,1.2362060546875
2012-09-04,1460.0,1459.0,1432,1455.0,683,1453.8373,1490.0,-1.1627197265625,0.0
2012-09-20,1482.0,1470.0,1445,1470.0,350,1464.5975,1419.0000000000002,0.0,5.4024658203125
2012-09-23,1470.0,1460.0,1442,1452.0,921,1455.495,1400.0,0.0,-3.4949951171875
2012-10-03,1385.0,1131.0,1120,1120.0,218,1147.5154,1152.0,27.515380859375,0.0
2012-10-07,1125.0,1145.0,1133,1145.0,1039,1141.8279,1157.0,-3.172119140625,0.0
2012-10-08,1145.0,1160.0,1145,1150.0,570,1147.2771,1160.0,-2.722900390625,0.0
2012-10-31,1224.0,1248.0,1224,1247.0,806,1255.9458,1447.0000000000002,8.94580078125,0.0
2012-11-12,1410.0,1455.0,1400,1455.0,1858,1455.7047,1501.0,0.7047119140625,0.0
2012-11-26,1501.0,1492.0,1470,1478.0,1592,1482.2563,1460.0,0.0,-4.25634765625
2012-11-29,1499.0,1470.0,1452,1460.0,513,1466.8949,1498.0,6.8948974609375,0.0
2012-12-03,1445.0,1460.0,1403,1460.0,1078,1445.4902,1450.0,0.0,14.509765625
2012-12-12,1450.0,1485.0,1450,1480.0,1125,1460.2502,1546.9999999999998,-19.749755859375,0.0
2012-12-16,1490.0,1534.0,1500,1528.0,4987,1512.9282,1574.9999999999998,-15.07177734375,0.0
2012-12-17,1528.0,1579.0,1535,1559.0,5971,1547.5436,1567.0,-11.4564208984375,0.0
2012-12-26,1567.0,1623.0,1560,1615.0,5465,1580.0034,1689.0,-34.99658203125,0.0
2013-01-08,1665.0,1665.0,1653,1654.0,619,1650.9285,1650.0,0.0,3.071533203125
2013-01-28,1605.0,1610.0,1591,1605.0,2032,1610.8508,1605.0,0.0,0.0
2013-02-03,1580.0,1625.0,1595,1620.0,4537,1597.1625,1655.0,-22.8375244140625,0.0
2013-02-04,1620.0,1624.0,1600,1622.0,1449,1596.12,1730.0,-25.8800048828125,0.0
2013-02-07,1608.0,1611.0,1600,1606.0,1056,1607.0273,1890.0,1.02734375,0.0
2013-02-20,1866.0,1870.0,1813,1840.0,3753,1856.2236,1870.0,16.2236328125,0.0
2013-02-27,1899.0,1875.0,1862,1870.0,1777,1868.6156,1925.0,-1.3843994140625,0.0
2013-02-28,1870.0,1889.0,1868,1888.0,1426,1894.5004,1900.0000000000002,6.5003662109375,0.0
2013-03-13,1900.0,1911.0,1872,1908.0,3412,1927.0854,1880.0,0.0,-19.08544921875
2013-03-17,1921.0,1916.0,1900,1904.0,2533,1946.8815,1852.0,0.0,-42.8814697265625
2013-04-29,1770.0,1795.0,1770,1770.0,1506,1805.2249,1704.0000000000002,0.0,-35.224853515625
2013-05-09,1690.0,1702.0,1685,1685.0,998,1701.3159,1750.0,16.31591796875,0.0
2013-05-12,1685.0,1718.0,1660,1681.0,3800,1698.6387,1725.9999999999998,17.638671875,0.0
2013-05-14,1718.0,1722.0,1690,1690.0,3704,1721.7115,1750.0,31.7115478515625,0.0
2013-05-19,1750.0,1765.0,1720,1726.0,10617,1730.4778,1741.0,4.477783203125,0.0
2013-05-21,1745.0,1753.0,1740,1750.0,3286,1736.5416,1761.0,-13.4583740234375,0.0
2013-05-27,1741.0,1804.0,1760,1804.0,1415,1789.2838,1750.0,0.0,14.7161865234375
2013-05-28,1804.0,1785.0,1760,1761.0,1016,1785.7487,1744.0,0.0,-24.7486572265625
2013-05-30,1761.0,1761.0,1745,1745.0,2567,1780.5892,1746.0,35.5892333984375,0.0
2013-06-02,1745.0,1754.0,1730,1730.0,1852,1766.5471,1740.0,36.547119140625,0.0
2013-06-13,1736.0,1735.0,1725,1728.0,1716,1750.5927,1711.0,0.0,-22.5926513671875
2013-06-16,1728.0,1740.0,1725,1738.0,1064,1747.827,1714.9999999999998,0.0,-9.8270263671875
2013-07-01,1750.0,1759.0,1745,1747.0,1948,1771.2975,1750.0,24.2974853515625,0.0
2013-07-02,1747.0,1748.0,1740,1748.0,869,1755.913,1779.0,7.9129638671875,0.0
2013-07-03,1748.0,1753.0,1725,1743.0,1706,1744.089,1805.0000000000002,1.0889892578125,0.0
2013-07-04,1743.0,1746.0,1735,1741.0,1636,1736.3666,1786.0,-4.6334228515625,0.0
2013-07-17,1800.0,1825.0,1801,1825.0,3409,1826.2843,1890.0,1.2843017578125,0.0
2013-07-24,1920.0,1900.0,1843,1890.0,2886,1922.5873,1925.0,32.5872802734375,0.0
2013-07-30,1900.0,1915.0,1900,1910.0,2927,1911.2977,1903.0,0.0,-1.2977294921875
2013-08-06,1895.0,1905.0,1885,1903.0,2029,1946.4637,1830.0,0.0,-43.4637451171875
2013-08-14,1830.0,1860.0,1819,1819.0,1105,1865.8978,1859.9999999999998,46.8978271484375,0.0
2013-08-19,1825.0,1850.0,1830,1838.0,1782,1874.9523,1834.0,0.0,-36.9522705078125
2013-08-20,1838.0,1855.0,1830,1855.0,807,1887.4375,1830.0,0.0,-32.4375
2013-09-16,1990.0,2002.0,1990,1996.0,4647,1980.5071,1980.0,0.0,15.492919921875
2013-09-26,1980.0,2000.0,1979,1980.0,837,2063.8552,1976.0,0.0,-83.855224609375
2013-09-29,1980.0,1990.0,1970,1975.0,2802,2064.3604,1980.0,89.3603515625,0.0
2013-10-01,1975.0,2012.0,1974,1980.0,2887,2054.187,2010.0,74.18701171875,0.0
2013-10-07,1980.0,1995.0,1980,1992.0,1594,2011.4628,2150.0,19.4627685546875,0.0
2013-10-10,2008.0,2035.0,2015,2030.0,1255,2073.9326,2140.0,43.9326171875,0.0
2013-10-17,2030.0,2065.0,2035,2065.0,3332,2102.263,2160.0,37.262939453125,0.0
2013-10-20,2065.0,2151.0,2050,2150.0,8573,2141.9177,2200.0,-8.082275390625,0.0
2013-10-21,2150.0,2240.0,2124,2200.0,6354,2194.3682,2198.0,0.0,5.6318359375
2013-10-22,2200.0,2200.0,2100,2150.0,7336,2192.7722,2201.0,42.772216796875,0.0
2013-11-06,2198.0,2200.0,2191,2194.0,1535,2247.476,2213.0,53.47607421875,0.0
2013-11-12,2201.0,2250.0,2200,2205.0,3891,2274.624,2447.0,69.6240234375,0.0
2013-11-26,2447.0,2440.0,2380,2390.0,5083,2539.147,2575.0,149.14697265625,0.0
