date,open,high,low,adjclose,volume,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2010-07-22,299.0,304,285,289.0,2856,302.32465,289.0,0.0,0.0
2010-07-25,289.0,286,281,286.0,551,292.1331,285.0,0.0,-6.133087158203125
2010-07-28,285.0,290,287,288.0,1950,282.06036,280.0,0.0,5.93963623046875
2010-08-04,285.0,281,280,280.0,115,287.08704,275.0,0.0,-7.0870361328125
2010-08-15,280.0,280,280,280.0,132,279.4612,280.0,0.0,0.0
2010-08-23,280.0,285,281,285.0,1790,282.9435,280.0,0.0,2.056488037109375
2010-08-26,285.0,291,288,291.0,787,287.53857,265.0,0.0,3.46142578125
2010-08-30,291.0,286,285,285.0,790,291.01727,270.0,0.0,-6.01727294921875
2010-09-15,276.0,276,276,276.0,155,279.63654,270.0,0.0,-3.63653564453125
2010-09-19,289.0,292,287,287.0,230,287.2836,245.99999999999997,0.0,-0.283599853515625
2010-09-20,287.0,287,282,285.0,1013,285.305,251.0,0.0,-0.30499267578125
2010-11-18,266.0,286,271,281.0,161,274.97687,271.0,0.0,6.02313232421875
2010-11-21,281.0,276,271,271.0,917,276.43228,268.0,0.0,-5.432281494140625
2010-11-24,278.0,282,273,275.0,1149,273.04755,260.0,0.0,1.95245361328125
2010-11-25,275.0,271,270,271.0,522,268.87927,250.00000000000003,0.0,2.1207275390625
2010-12-08,249.0,250,245,250.0,2038,256.99976,245.0,0.0,-6.999755859375
2010-12-26,245.0,260,249,260.0,1060,246.49434,254.99999999999997,0.0,13.505661010742188
2011-01-12,270.0,265,256,256.0,245,272.18124,273.0,16.181243896484375,0.0
2011-01-18,269.0,270,265,269.0,847,274.32993,286.0,5.329925537109375,0.0
2011-01-23,278.0,275,273,275.0,912,273.22427,295.0,-1.775726318359375,0.0
2011-02-28,265.0,270,258,258.0,537,269.80634,252.0,0.0,-11.80633544921875
2011-03-01,258.0,263,263,263.0,27,266.74237,244.0,0.0,-3.74237060546875
2011-03-10,260.0,256,251,252.0,550,252.87996,250.00000000000003,0.0,-0.8799591064453125
2011-04-07,225.0,229,225,229.0,753,231.51476,211.0,0.0,-2.5147552490234375
2011-04-20,215.0,215,211,211.0,1273,213.93031,196.0,0.0,-2.9303131103515625
2011-04-27,198.0,198,192,195.0,1039,194.28008,178.0,0.0,0.7199249267578125
2011-05-09,172.0,174,169,172.0,1475,176.60347,185.0,4.6034698486328125,0.0
2011-06-02,224.0,220,204,204.0,96,209.97351,160.0,0.0,-5.9735107421875
2011-06-06,190.0,193,178,181.0,3223,178.42009,145.0,0.0,2.5799102783203125
2011-06-23,185.0,203,188,203.0,2417,200.52931,176.0,0.0,2.4706878662109375
2011-06-30,182.0,185,169,173.0,4805,148.62645,178.0,-24.373550415039062,0.0
2011-07-03,173.0,176,169,176.0,4582,151.06023,183.0,-24.939773559570312,0.0
2011-07-07,184.0,181,178,178.0,231,205.1686,195.0,27.168594360351562,0.0
2011-07-18,198.0,209,197,197.0,5931,195.74736,200.0,-1.2526397705078125,0.0
2011-07-24,209.0,209,200,204.0,1027,195.93658,199.0,0.0,8.06341552734375
2011-08-01,199.0,196,193,196.0,719,205.37103,183.0,0.0,-9.37103271484375
2011-08-18,182.0,188,185,188.0,179,183.15756,178.0,0.0,4.842437744140625
2011-08-28,182.0,180,177,178.0,337,181.06467,174.0,0.0,-3.064666748046875
2011-09-05,182.0,182,180,180.0,1236,185.64592,169.0,0.0,-5.6459197998046875
2011-09-25,186.0,183,183,183.0,200,191.12607,175.0,0.0,-8.126068115234375
2011-10-16,172.0,170,164,170.0,6412,170.17761,162.0,0.0,-0.1776123046875
2011-10-18,170.0,167,163,166.0,4351,172.8935,158.0,0.0,-6.89349365234375
2011-11-02,167.0,183,170,183.0,2120,177.88814,174.0,0.0,5.1118621826171875
2011-11-09,169.0,172,169,170.0,640,169.18419,171.0,-0.8158111572265625,0.0
2011-11-23,167.0,170,167,167.0,1971,173.77283,163.0,0.0,-6.7728271484375
2011-11-24,167.0,170,166,170.0,2645,173.62578,163.0,0.0,-3.6257781982421875
2011-11-29,170.0,172,165,165.0,1260,169.53935,171.0,4.5393524169921875,0.0
2011-12-11,171.0,168,165,165.0,93,172.05377,158.0,0.0,-7.05377197265625
2011-12-22,161.0,163,154,163.0,51093,176.08171,155.0,0.0,-13.081710815429688
2012-01-01,155.0,155,155,155.0,100,158.2365,161.0,3.2364959716796875,0.0
2012-01-03,167.0,179,167,167.0,2686,166.91444,163.0,0.0,0.0855560302734375
2012-01-26,155.0,153,153,153.0,553,157.68112,153.0,0.0,0.0
2012-02-05,155.0,157,150,154.0,5961,154.18756,149.0,0.0,-0.18756103515625
2012-02-12,151.0,152,149,149.0,313,152.31514,149.0,0.0,0.0
2012-02-23,149.0,149,148,148.0,341,154.19862,156.0,6.1986236572265625,0.0
2012-02-26,148.0,150,148,150.0,331,154.39586,154.0,4.3958587646484375,0.0
2012-02-27,150.0,150,150,150.0,667,154.81294,158.0,4.8129425048828125,0.0
2012-03-13,153.0,155,154,154.0,2664,156.08633,151.0,0.0,-2.086334228515625
2012-03-29,149.0,149,147,147.0,696,149.41245,152.0,2.412445068359375,0.0
2012-04-03,153.0,152,150,152.0,2848,157.89966,152.0,0.0,0.0
2012-04-09,152.0,154,154,154.0,79,160.94078,186.0,6.9407806396484375,0.0
2012-04-10,154.0,154,151,154.0,770,158.32494,168.0,4.3249359130859375,0.0
2012-04-11,154.0,163,152,152.0,2767,158.98378,184.0,6.9837799072265625,0.0
2012-04-16,183.0,186,186,186.0,107,194.55719,227.0,8.55718994140625,0.0
2012-04-24,207.0,227,211,227.0,1660,219.3039,236.99999999999997,-7.69610595703125,0.0
2012-05-13,237.0,233,214,216.0,5013,231.84909,235.0,15.849090576171875,0.0
2012-05-20,243.0,239,227,235.0,8161,248.8314,238.0,13.831405639648438,0.0
2012-05-21,235.0,243,228,235.0,5557,250.23584,226.0,0.0,-15.23583984375
2012-05-24,208.0,228,206,227.0,4151,213.13826,194.0,0.0,13.861740112304688
2012-06-05,220.0,216,204,204.0,5794,208.67354,188.0,0.0,-4.6735382080078125
2012-06-13,192.0,193,188,188.0,3083,197.3492,185.0,0.0,-9.349197387695312
2012-06-20,182.0,185,182,185.0,2179,185.29225,195.0,0.2922515869140625,0.0
2012-06-21,185.0,186,186,186.0,79,184.07988,192.0,-1.9201202392578125,0.0
2012-06-25,186.0,198,186,192.0,3765,186.52876,180.0,0.0,5.4712371826171875
2012-06-26,192.0,190,188,188.0,648,185.08757,191.0,-2.9124298095703125,0.0
2012-07-03,180.0,191,180,191.0,1804,175.9652,189.0,0.0,15.034805297851562
2012-07-04,191.0,190,188,189.0,2743,181.0204,190.0,-7.9795989990234375,0.0
2012-07-05,189.0,189,186,189.0,1723,185.95847,181.0,0.0,3.041534423828125
2012-07-09,186.0,186,181,182.0,1823,189.18982,179.0,0.0,-7.1898193359375
2012-07-10,182.0,189,185,189.0,1520,191.69598,179.0,0.0,-2.69598388671875
2012-07-12,190.0,187,181,181.0,1326,192.42682,171.0,0.0,-11.42681884765625
2012-07-31,180.0,183,180,180.0,1613,180.4587,177.0,0.0,-0.4586944580078125
2012-08-15,164.0,161,151,153.0,5796,157.19525,154.0,4.19525146484375,0.0
2012-08-26,154.0,155,154,154.0,1220,161.81177,152.0,0.0,-7.811767578125
2012-09-02,156.0,153,150,152.0,1144,150.83818,159.0,-1.1618194580078125,0.0
2012-09-06,161.0,160,157,157.0,2031,164.45587,168.0,7.45587158203125,0.0
2012-09-18,170.0,176,172,176.0,4782,177.26003,158.0,0.0,-1.2600250244140625
2012-10-01,160.0,160,156,160.0,2794,169.03282,166.0,9.032821655273438,0.0
2012-10-08,166.0,168,166,166.0,3137,169.62083,175.0,3.6208343505859375,0.0
2012-10-09,166.0,169,163,169.0,4428,169.71935,184.0,0.7193450927734375,0.0
2012-10-10,169.0,170,167,168.0,1383,170.96188,182.0,2.961883544921875,0.0
2012-10-18,184.0,187,181,182.0,2680,188.8539,196.0,6.8538970947265625,0.0
2012-11-11,230.0,244,217,230.0,7494,242.18579,243.00000000000003,12.185791015625,0.0
2012-11-18,228.0,250,230,243.0,5281,247.28165,245.0,4.281646728515625,0.0
2012-11-21,246.0,248,234,238.0,10459,248.2629,242.0,10.262893676757812,0.0
2012-11-27,245.0,249,242,244.0,4822,239.46265,238.99999999999997,0.0,4.537353515625
2012-12-04,229.0,243,232,239.0,7714,234.73076,238.0,0.0,4.2692413330078125
2012-12-05,239.0,253,242,250.0,9172,246.74892,245.0,0.0,3.2510833740234375
2012-12-20,257.0,261,255,256.0,4420,258.26443,280.0,2.264434814453125,0.0
2012-12-26,270.0,293,275,281.0,12849,274.7422,276.0,0.0,6.2578125
2012-12-27,281.0,291,275,281.0,9184,284.3178,265.0,0.0,-3.31781005859375
2013-01-02,270.0,274,264,267.0,8346,269.077,264.0,0.0,-2.076995849609375
2013-01-03,267.0,279,266,276.0,9018,266.8928,269.0,0.0,9.107208251953125
2013-01-13,264.0,269,259,269.0,4613,260.27872,256.0,0.0,8.721282958984375
2013-01-24,262.0,260,250,260.0,2374,255.8766,254.0,0.0,4.1233978271484375
2013-01-31,261.0,257,253,254.0,2524,257.0353,264.0,3.035308837890625,0.0
2013-02-06,267.0,272,264,268.0,5477,273.4687,278.0,5.46868896484375,0.0
2013-02-12,267.0,290,270,290.0,7204,279.01962,283.0,0.0,10.980377197265625
2013-02-14,275.0,285,270,278.0,8880,282.98822,283.0,4.98822021484375,0.0
2013-02-19,305.0,311,290,292.0,9736,302.77893,286.0,0.0,-10.7789306640625
2013-02-21,283.0,296,275,287.0,2450,292.245,282.0,0.0,-5.2449951171875
2013-03-07,285.0,285,280,281.0,4969,283.23184,276.0,0.0,-2.231842041015625
2013-03-11,281.0,283,278,283.0,4052,286.0097,279.0,0.0,-3.00970458984375
2013-03-25,271.0,273,266,271.0,3002,262.88928,268.0,0.0,8.1107177734375
2013-04-01,265.0,272,261,268.0,1425,273.67957,270.0,5.6795654296875,0.0
2013-04-04,269.0,268,266,268.0,953,276.31644,267.0,0.0,-8.316436767578125
2013-04-11,273.0,276,270,270.0,5995,278.22272,265.0,0.0,-8.22271728515625
2013-05-19,253.0,250,250,250.0,96,254.28923,245.99999999999997,0.0,-4.2892303466796875
2013-05-22,250.0,252,248,250.0,792,249.74977,245.99999999999997,0.0,0.2502288818359375
2013-05-30,250.0,248,245,246.0,2655,253.72896,247.0,7.7289581298828125,0.0
2013-06-03,240.0,248,242,248.0,1920,252.81532,250.00000000000003,4.8153228759765625,0.0
2013-06-04,248.0,249,244,244.0,2617,253.49712,249.0,9.497116088867188,0.0
2013-06-12,250.0,250,247,249.0,845,248.85551,241.00000000000003,0.0,0.1444854736328125
2013-06-17,246.0,246,244,244.0,1132,243.44733,245.0,-0.55267333984375,0.0
2013-07-10,252.0,256,252,255.0,3384,256.7638,261.0,1.7637939453125,0.0
2013-07-16,252.0,252,248,252.0,560,252.498,273.0,0.4980010986328125,0.0
2013-07-21,264.0,279,265,275.0,9298,269.0656,264.0,0.0,5.93438720703125
2013-07-29,264.0,266,262,264.0,5994,265.19122,261.0,0.0,-1.19122314453125
2013-08-06,261.0,262,253,260.0,3233,264.20413,248.00000000000003,0.0,-4.204132080078125
2013-08-18,248.0,252,248,250.0,3589,249.1498,250.00000000000003,-0.8502044677734375,0.0
2013-08-19,250.0,256,251,256.0,2328,253.86775,248.00000000000003,0.0,2.1322479248046875
2013-09-05,241.0,243,235,242.0,37264,244.83876,245.0,2.8387603759765625,0.0
2013-10-08,247.0,252,245,248.0,2473,253.79753,254.99999999999997,5.7975311279296875,0.0
2013-10-10,255.0,260,254,260.0,3241,258.74628,252.99999999999997,0.0,1.25372314453125
2013-10-24,255.0,253,250,253.0,4242,247.38243,250.00000000000003,0.0,5.6175689697265625
2013-11-26,298.0,310,297,304.0,31218,313.26196,317.0,9.261962890625,0.0
2013-12-05,348.0,372,342,360.0,58150,357.5261,373.0,-2.473907470703125,0.0
2013-12-10,339.0,341,334,335.0,4929,358.21396,475.0,23.213958740234375,0.0
2013-12-18,432.0,475,440,475.0,27711,445.4089,405.0,0.0,29.591094970703125
2013-12-19,475.0,466,448,460.0,6038,454.02576,398.0,0.0,5.9742431640625
2013-12-22,460.0,455,422,430.0,4651,447.93573,395.0,0.0,-17.93572998046875
2013-12-23,430.0,424,387,388.0,2363,427.4897,378.0,0.0,-39.48968505859375
2013-12-26,395.0,423,402,405.0,13158,413.26187,390.0,0.0,-8.261871337890625
2014-01-01,395.0,388,372,378.0,3818,384.28427,407.0,6.284271240234375,0.0
