date,open,high,low,adjclose,volume,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
2018-11-01,952.0,949.0,940,946.0,1572,52.53601552,935.71387,946.0,0.0,0.0
2018-11-04,946.0,947.0,938,940.0,2099,52.42915888,934.8166,911.0000000000001,0.0,5.18341064453125
2018-11-05,940.0,940.0,935,938.0,2736,52.39598663,933.4363,0.0,0.0,4.563720703125
2018-11-06,946.0,951.0,940,946.0,130,52.53204766,932.6054,918.9999999999999,0.0,13.39459228515625
2018-11-07,940.0,951.0,940,0.0,12170,33.59861777,897.44794,918.9999999999999,897.4479370117188,0.0
2018-11-10,946.0,951.0,940,946.0,130,53.36308005,881.229,927.0,0.0,64.77099609375
2018-11-11,946.0,946.0,897,911.0,2235,52.40113014,875.4104,917.0,-35.589599609375,0.0
2018-11-12,911.0,911.0,897,0.0,4075,5.081984107,832.4837,917.0,832.4837036132812,0.0
2018-11-13,905.0,921.0,905,919.0,833,73.8884786,822.975,901.9999999999999,0.0,96.0250244140625
2018-11-14,919.0,920.0,915,919.0,4373,73.8884786,829.8533,906.0,0.0,89.146728515625
2018-11-15,919.0,940.0,919,927.0,7548,82.2468253,844.8214,900.3400000000001,0.0,82.1785888671875
2018-11-18,927.0,930.0,916,917.0,3113,79.56348449,858.3908,898.76,0.0,58.60919189453125
2018-11-19,917.0,918.0,908,917.0,2568,79.56348449,867.14813,888.5800000000002,0.0,49.85186767578125
2018-11-20,917.0,918.0,902,902.0,760,74.59760228,869.2079,889.0,0.0,32.7921142578125
2018-11-21,902.0,906.0,890,906.0,3991,79.37343128,867.4538,889.0,0.0,38.54620361328125
2018-11-22,906.0,915.0,900,900.34,4595,77.47897871,862.60406,882.14,0.0,37.73593505859378
2018-11-25,900.34,904.0,898,898.76,3792,76.92973473,855.379,865.0,0.0,43.38097167968749
2018-11-26,898.76,898.76,888,888.58,5967,72.98850385,845.84424,862.9999999999999,0.0,42.73576171875004
2018-11-27,888.58,899.0,885,889.0,4029,73.46934573,835.98254,859.9999999999999,0.0,53.0174560546875
2018-11-28,889.0,900.0,888,889.0,5451,73.46934573,827.1069,851.0,0.0,61.89312744140625
2018-11-29,889.0,890.0,882,882.14,3294,70.7561038,818.53754,850.0,0.0,63.602463378906236
2018-12-02,882.14,882.14,865,865.0,4594,61.65892132,808.18317,852.0000000000001,0.0,56.81683349609375
2018-12-03,865.0,875.0,862,863.0,3135,60.32152176,798.0684,853.0,0.0,64.93157958984375
2018-12-04,863.0,863.0,841,860.0,13920,58.2952929,789.56757,855.0000000000001,0.0,70.43243408203125
2018-12-05,860.0,860.0,849,851.0,7992,51.37861803,781.63635,851.0,0.0,0.0
2018-12-06,851.0,851.0,830,850.0,6099,50.53215482,775.7496,847.0,0.0,74.25042724609375
2018-12-09,850.0,856.0,850,852.0,4171,52.22052364,773.61035,853.0,-78.3896484375,0.0
2018-12-10,852.0,860.0,850,853.0,8181,53.04336457,775.2111,862.0,-77.78887939453125,0.0
2018-12-11,853.0,860.0,844,855.0,3869,54.64236836,779.7312,858.0,-75.268798828125,0.0
2018-12-12,855.0,860.0,845,851.0,3175,51.95247697,784.9575,850.0,0.0,66.04248046875
2018-12-13,851.0,855.0,847,847.0,4879,49.15239876,789.5622,851.0,-57.43780517578125,0.0
2018-12-16,847.0,859.0,847,853.0,9410,53.49466237,795.50214,870.0,-57.49786376953125,0.0
2018-12-17,853.0,869.0,850,862.0,2512,61.00074186,804.0975,868.0,-57.90252685546875,0.0
2018-12-18,862.0,862.0,856,858.0,5028,58.60357454,811.88446,862.0,-46.11553955078125,0.0
2018-12-19,858.0,860.0,850,850.0,7082,53.26910257,816.3568,864.0,-33.6431884765625,0.0
2018-12-20,850.0,860.0,845,851.0,3393,54.07796425,818.78845,865.0,-32.2115478515625,0.0
2018-12-23,851.0,870.0,851,870.0,8974,73.8666032,825.92145,866.0000000000001,0.0,44.07855224609375
2018-12-24,870.0,876.0,865,868.0,5253,72.89720691,833.04834,859.9999999999999,0.0,34.95166015625
2018-12-25,868.0,870.0,855,862.0,1588,69.77382371,836.5253,851.0,0.0,25.47467041015625
2018-12-26,862.0,870.0,860,864.0,7037,72.35472984,837.3652,850.0,0.0,26.63482666015625
2018-12-27,864.0,880.0,864,865.0,6193,73.61904453,836.3056,841.0000000000001,0.0,28.69439697265625
2018-12-30,865.0,877.0,865,866.0,4130,74.83326704,833.59766,837.0,0.0,32.40234375
2018-12-31,866.0,879.0,860,860.0,7285,72.28664963,828.7288,834.9999999999999,0.0,31.27117919921875
2019-01-01,860.0,863.0,851,851.0,5002,67.73980121,820.68945,837.0,0.0,30.310546875
2019-01-02,851.0,859.0,850,850.0,5122,67.18431182,811.3778,834.0,0.0,38.6221923828125
2019-01-03,850.0,855.0,841,841.0,9928,61.66830821,800.8451,834.9999999999999,0.0,40.1549072265625
2019-01-06,841.0,848.0,835,837.0,7310,58.81100011,790.1265,838.0000000000001,-46.87347412109375,0.0
2019-01-07,841.0,840.0,835,835.0,4589,57.33440224,780.6296,836.0,-54.37042236328125,0.0
2019-01-08,835.0,839.0,835,837.0,3971,59.30870969,774.0353,842.0,-62.9647216796875,0.0
2019-01-09,837.0,840.0,834,834.0,4380,57.25871049,769.6803,845.0,-64.3197021484375,0.0
