,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1280.0,178,177,178,176,970,ok,51.857806098896354,177.61064,188.0,-0.3893585205078125,0.0
1281.0,180,180,180,180,693,ok,55.63215668813306,178.37045,185.0,-1.629547119140625,0.0
1282.0,180,180,180,180,50,ok,55.63215668813306,179.18507,183.0,-0.8149261474609375,0.0
1283.0,180,180,180,180,100,ok,55.63215668813306,179.91298,182.0,-0.0870208740234375,0.0
1284.0,183,180,183,180,1300,ok,61.31429938552208,181.11446,186.0,-1.8855438232421875,0.0
1285.0,188,186,189,186,2179,ok,68.54481805999114,183.35103,186.0,0.0,4.6489715576171875
1286.0,185,188,188,185,373,ok,61.15874674351431,185.14171,179.0,0.0,-0.1417083740234375
1287.0,183,182,183,182,407,ok,56.76708495893839,185.87613,184.0,2.876129150390625,0.0
1288.0,182,182,182,182,35,ok,54.65385950665648,185.77164,189.0,3.771636962890625,0.0
1289.0,186,185,186,183,3452,ok,60.920601125077816,186.05083,191.99999999999997,0.0508270263671875,0.0
1290.0,186,185,188,185,1090,ok,60.920601125077816,186.551,189.0,0.550994873046875,0.0
1291.0,179,184,184,179,282,ok,47.57621108445136,185.74265,191.99999999999997,6.742645263671875,0.0
1292.0,184,181,187,181,1017,ok,55.13569488320737,185.24184,184.0,0.0,0.0
1293.0,189,187,190,187,2691,ok,61.16625549349188,185.7986,182.0,0.0,3.2014007568359375
1294.0,192,192,198,192,1699,ok,64.26960370264102,187.48866,191.0,0.0,4.5113372802734375
1295.0,189,190,190,189,260,ok,59.1767950086002,188.84879,190.0,-0.151214599609375,0.0
1296.0,192,187,192,187,1482,ok,62.38660250944344,190.26353,190.0,0.0,1.7364654541015625
1297.0,184,189,189,184,1328,ok,50.89457196395195,190.33063,190.0,6.33062744140625,0.0
1298.0,182,184,184,182,1250,ok,48.48976506860889,189.28697,187.0,7.2869720458984375,0.0
1299.0,191,185,191,185,1577,ok,58.08715393333983,189.08458,190.0,0.0,1.9154205322265625
1300.0,190,194,197,190,270,ok,56.820360738446745,189.52895,191.99999999999997,-0.4710540771484375,0.0
1301.0,190,187,190,187,41,ok,56.82036073844675,190.01675,190.0,0.0,0.0
1302.0,190,193,193,190,100,ok,56.820360738446745,190.64386,190.0,0.0,0.0
1303.0,187,193,193,187,1117,ok,52.52804038447215,190.85388,187.0,0.0,0.0
1304.0,190,190,190,189,985,ok,56.0994737435512,191.09933,195.0,1.099334716796875,0.0
1305.0,192,192,192,192,10,ok,58.34916307164824,191.64633,190.0,0.0,0.353668212890625
1306.0,190,192,196,190,981,ok,55.29745724652236,192.09256,190.0,0.0,0.0
1307.0,190,191,196,190,1046,ok,55.29745724652236,192.44516,190.0,0.0,0.0
1308.0,187,190,190,187,2200,ok,50.685819998954095,192.0799,186.0,0.0,-5.07989501953125
1309.0,195,184,195,184,6374,ok,60.21441982052143,192.45766,189.0,0.0,2.5423431396484375
1310.0,190,193,193,190,750,ok,53.28457543423309,192.49635,193.0,2.4963531494140625,0.0
1311.0,190,190,190,190,677,ok,53.28457543423309,192.25954,187.0,0.0,-2.2595367431640625
1312.0,190,187,190,184,1390,ok,53.28457543423309,191.87018,186.0,0.0,-1.87017822265625
1313.0,186,187,190,186,11100,ok,47.789206744202005,190.88936,189.0,4.8893585205078125,0.0
1314.0,189,189,189,189,122,ok,51.80390683026475,190.10912,190.0,1.1091156005859375,0.0
1315.0,193,192,195,190,5743,ok,56.59620607197464,190.25949,190.0,0.0,2.740509033203125
1316.0,187,191,191,187,1078,ok,48.76363867877771,189.92433,200.0,2.9243316650390625,0.0
1317.0,186,190,190,186,2740,ok,47.58171257806215,189.24454,200.0,3.244537353515625,0.0
1318.0,189,187,189,187,511,ok,51.3883419240001,188.80518,200.0,-0.19482421875,0.0
1319.0,190,191,193,190,300,ok,52.62339363225479,188.84009,198.0,-1.159912109375,0.0
1320.0,190,191,191,189,2950,ok,52.62339363225479,189.07098,197.0,-0.92901611328125,0.0
1321.0,200,193,207,193,24852,ok,63.406003943496245,191.01097,195.0,0.0,8.989028930664062
1322.0,200,200,202,197,14108,ok,63.406003943496245,193.44489,191.99999999999997,0.0,6.55511474609375
1323.0,200,199,201,197,16870,ok,63.40600394349625,195.74937,199.0,0.0,4.2506256103515625
1324.0,198,200,200,197,5370,ok,59.995172087628056,197.29808,197.0,0.0,0.7019195556640625
1325.0,197,199,199,197,4360,ok,58.30628737866051,198.08934,199.0,1.0893402099609375,0.0
1326.0,195,196,197,195,913,ok,54.97318047514422,198.00087,198.0,3.0008697509765625,0.0
1327.0,192,198,198,190,6205,ok,50.32587587232427,197.12247,198.0,5.122467041015625,0.0
1328.0,199,195,199,195,2720,ok,59.02921702519038,196.88753,194.0,0.0,2.1124725341796875
1329.0,197,202,202,195,3217,ok,56.009711927843135,196.9194,195.0,0.0,0.080596923828125
1330.0,199,199,199,194,1350,ok,58.30650429866758,197.25487,194.0,0.0,1.7451324462890625
1331.0,198,196,199,193,470,ok,56.7121111011412,197.53032,197.0,0.0,0.4696807861328125
