date,adjclose,open,high,low,volume,other,RSI,adjclose_5,true_adjclose_5,buy_profit,sell_profit
1602633600,756,777,777,755,21703,ok,52.743044096579744,767.9346,760.0,11.9345703125,0.0
1602720000,758,771,800,758,89177,ok,53.31894239396628,763.67194,764.0,5.67193603515625,0.0
1602979200,751,772,773,750,27709,ok,50.97735651477045,758.66425,770.0,7.66424560546875,0.0
1603065600,752,751,766,745,10947,ok,51.30635017993326,753.4314,750.0000000000001,0.0,-1.431396484375
1603152000,757,789,789,752,25685,ok,53.00459724561191,749.555,742.9999999999999,0.0,7.44500732421875
1603238400,760,755,763,755,14337,ok,54.04031523517179,746.5225,744.9999999999999,0.0,13.47747802734375
1603324800,764,760,765,759,29493,ok,55.45011096367673,744.75745,739.0,0.0,19.2425537109375
1603843200,770,770,778,756,53224,ok,57.55339558069824,744.744,734.0,0.0,25.2559814453125
1603929600,750,756,766,741,26199,ok,49.21286799970868,743.30206,728.0,0.0,6.69793701171875
1604188800,743,760,760,740,27209,ok,46.66394480821585,740.49713,768.0,-2.50286865234375,0.0
1604275200,745,748,750,740,13892,ok,47.500604820441886,736.99945,770.0,-8.00054931640625,0.0
1604361600,739,750,750,730,42630,ok,45.20940558302564,733.0583,781.0,-5.94171142578125,0.0
1604448000,734,740,741,733,15817,ok,43.333583026185394,728.26025,843.0,-5.73974609375,0.0
1604534400,728,732,740,728,31267,ok,41.12827440670305,722.8378,832.0000000000001,-5.16217041015625,0.0
1604793600,768,735,782,735,135628,ok,56.88235948600321,722.37274,909.0,-45.62725830078125,0.0
1604880000,770,780,790,761,58150,ok,57.49482677559633,724.48615,925.0,-45.51385498046875,0.0
1604966400,781,775,800,774,117262,ok,60.79345840862732,729.34686,900.0,-51.65313720703125,0.0
1605052800,843,795,844,788,181162,ok,73.34809160454365,739.5679,912.9999999999999,-103.43212890625,0.0
1605139200,832,870,870,828,161379,ok,69.11916951502057,751.52594,980.0,-80.47406005859375,0.0
1605657600,909,832,915,832,254631,ok,78.47476582122674,767.1189,1076.0,-141.881103515625,0.0
1605744000,925,935,951,905,172831,ok,79.84141335763493,784.1963,1114.0,-140.8037109375,0.0
1606003200,900,920,940,890,227401,ok,72.13488643989308,799.4255,1090.0,-100.57452392578125,0.0
1606089600,913,906,940,890,146216,ok,73.5638361521712,812.088,1131.0,-100.9119873046875,0.0
1606176000,980,930,994,915,156494,ok,79.42109612362647,825.1011,1209.0,-154.89892578125,0.0
1606262400,1076,1029,1078,990,128930,ok,84.66415639495825,840.79736,1329.0,-235.20263671875,0.0
1606348800,1114,1130,1184,1066,255508,ok,86.16657008626207,860.68005,1319.0,-253.3199462890625,0.0
1606608000,1090,1120,1140,1085,217422,ok,80.78365314385117,879.60535,1188.0,-210.3946533203125,0.0
1606694400,1131,1140,1144,1049,124890,ok,82.7645374626252,897.14655,1260.0,-233.85345458984375,0.0
1606780800,1209,1148,1225,1091,176124,ok,85.76987027714215,915.61365,1228.0,-293.3863525390625,0.0
1606867200,1329,1209,1329,1209,88071,ok,88.95943976885522,936.01654,1179.0,0.0,392.98345947265625
1606953600,1319,1395,1395,1261,180864,ok,87.20527888620315,958.9369,1212.0,0.0,360.0631103515625
1607212800,1188,1319,1319,1188,230711,ok,68.22587813337073,976.30237,1300.0,-211.6976318359375,0.0
1607299200,1260,1150,1280,1134,200247,ok,71.85193159315014,988.9476,1372.0,-271.05242919921875,0.0
1607385600,1228,1280,1300,1193,128159,ok,68.13054593104434,997.4218,1325.0,-230.57818603515625,0.0
1607472000,1179,1252,1252,1171,90439,ok,62.7695436888796,1000.9665,1326.0,-178.03350830078125,0.0
1607558400,1212,1185,1228,1158,91137,ok,64.77956813772117,1001.8023,1309.0,-210.19769287109375,0.0
1607817600,1300,1235,1300,1210,106869,ok,69.50729472535191,1004.0163,1233.0,0.0,295.98370361328125
1607904000,1372,1326,1388,1315,143723,ok,72.73236814094966,1010.0989,1298.0,0.0,361.901123046875
1607990400,1325,1410,1410,1322,126544,ok,67.69881388883883,1017.5267,1337.0,-307.47332763671875,0.0
1608076800,1326,1315,1351,1301,77309,ok,67.7499542964749,1024.1527,1320.0,0.0,301.8472900390625
1608163200,1309,1330,1350,1301,104251,ok,65.84151164776512,1029.8258,1315.0,-279.1741943359375,0.0
1608422400,1233,1300,1310,1232,223493,ok,57.97853958201287,1032.6095,1314.0,-200.3905029296875,0.0
