,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR,adjclose_3,true_adjclose_3,buy_profit,sell_profit
87.0,516,508.0,516.0,498,5070,ok,58.34297916833692,100.0,0.9990071615898348,0.5928221141927585,0.35293229954922,7.385840381755656,-0.8646409514837785,17.72632277083969,503.0,470.55928484142095,535.4407151585791,12.898892707188503,513.5666666666666,489.3666666666667,4.825844190374887,-0.0,485.55362,517.0,-30.446380615234375,0.0
88.0,508,516.0,509.0,504,3389,ok,55.4089042126462,78.94736842105263,0.5587411581771201,0.6787378555873093,0.5104598989254049,6.7064234791899935,-1.2352462832395537,17.15369049375572,504.65,474.8219930266861,534.4780069733139,11.821265024596812,515.3666666666666,490.1666666666667,5.012265464430128,-21.05263157894737,495.243,522.0,-12.756988525390625,0.0
90.0,517,516.0,517.0,517,18,ok,57.99036124683961,100.0,0.9469693930810764,0.8029951339294351,0.7673580154274774,7.07457365044354,-0.536609941550382,14.714489299942136,508.05,482.7322196865511,533.367780313449,9.966649075267773,518.2,497.4,4.096100827097296,-0.0,530.54913,522.0,13.54913330078125,0.0
91.0,522,517.0,522.0,522,20,ok,59.48864557045899,100.0,1.0,0.9500814145370616,0.8578058684107281,7.534658863299683,-0.0612197829553915,13.743040369947924,507.65,483.5064708462068,531.7935291537932,9.511879899061649,519.4,498.6,4.086444007858537,-0.0,547.9033,512.0,0.0,-25.9033203125
95.0,512,512.0,512.0,512,1186,ok,54.26833910410833,75.60975609756098,0.3303002005472321,0.508600289246992,0.6108507607309323,4.8403475106104,-1.702110530320768,11.455808786722832,508.35,490.4695637637092,526.2304362362909,7.0346950865706095,517.9,507.9,1.9496977968414893,-24.390243902439025,575.9069,499.99999999999994,0.0,-63.90692138671875
96.0,515,512.0,515.0,515,22,ok,55.37611562601306,82.92682926829268,0.4724140245803842,0.3776714752249495,0.4788770425675719,4.434574430891701,-1.6863068880315746,10.610227908050549,508.9,490.9122263745603,526.8877736254396,7.069276331475603,516.8,512.2,0.89407191448006,-17.073170731707318,583.4069,499.99999999999994,0.0,-68.40692138671875
103.0,485,480.0,485.0,474,5086,ok,44.44429385500337,22.916666666666668,0.2552310424647881,0.127926832676413,0.0569255503992988,-6.676282560884829,-4.793917926063901,9.314525116714062,504.3,475.8739556040581,532.726044395942,11.27346595119651,499.8,493.6,1.2482383732635371,-77.08333333333333,504.10904,480.00000000000006,0.0,-19.109039306640625
110.0,485,494.0,490.0,485,443,ok,46.78846812640733,37.5,0.6286241313592098,0.6182444464323305,0.4148157496607612,-4.017154773664515,0.9184411088118668,8.494618988296475,494.9,462.7571936508326,527.0428063491673,12.989616629285658,485.4666666666667,477.6666666666667,1.6197134353152929,-62.5,458.60797,487.00000000000006,-26.39202880859375,0.0
111.0,494,485.0,494.0,485,532,ok,51.32317528718962,77.77777777777777,1.0,0.790076558190642,0.6058878191164073,-2.6153580362895354,1.8561902769494771,8.545157089466828,493.5,463.8588124394438,523.1411875605562,12.012639335585089,487.9666666666667,478.3666666666667,1.986892031735086,-22.22222222222222,474.3523,525.0,-19.647705078125,0.0
112.0,495,494.0,495.0,495,341,ok,51.81453742815561,81.48148148148148,1.0,0.8762080437864032,0.7615096828031253,-1.4705267601711969,2.400817242454253,7.790641380520145,492.65,464.2297607328848,521.0702392671151,11.53769989530707,489.4666666666667,479.8666666666667,1.9807427785419585,-18.51851851851852,489.04086,505.0,-5.959136962890625,0.0
