,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,adjclose_3,true_adjclose_3,buy_profit,sell_profit
229.0,433,430,437,423,97827,65.89966335208699,55.0,0.2380385555355254,0.2023191271519372,0.2708053051763352,11.892959260600035,-3.3436318376041854,18.083469365583944,419.7,390.1900016943389,449.2099983056611,14.06242473464908,446.7333333333334,411.1333333333333,8.299658066521623,-45.0,387.0,430.0,370.5,408.5,348.5933183864253,432.8977,425.0,0.0,0.102294921875
232.0,425,435,436,424,56402,60.246572844843975,41.66666666666666,0.0,0.0173720601676278,0.0824570456273871,7.4553614308515535,-4.531276543536533,17.352849167510694,423.65,403.6872847538187,443.61271524618127,9.42415448893251,447.6,415.4,7.462340672074171,-58.333333333333336,397.5,438.5,370.5,418.0,350.8711981148619,430.07587,420.0,0.0,-5.07586669921875
236.0,421,420,422,415,61773,56.84259581167324,27.77777777777778,0.1482009998504873,0.0888071074203645,0.0427379605190777,2.7557145122957536,-4.445558578759789,14.75010433880377,425.75,410.6387459157052,440.8612540842948,7.098651360796141,438.5333333333334,413.3333333333333,5.916418844889678,-72.22222222222223,417.5,427.0,380.0,422.25,353.5913614081773,422.3268,423.0,1.326812744140625,0.0
239.0,423,423,425,418,35079,56.86450222615764,27.027027027027028,0.1960181433946493,0.2649950447434068,0.2308785038911745,2.3631197423399044,-2.5889416156227,13.74982606298795,425.65,411.2378523460202,440.06214765397976,6.77183021448598,435.5666666666667,411.9666666666666,5.569102493510612,-72.97297297297297,425.0,424.5,380.0,424.75,355.7016249316917,421.84796,415.0,0.0,1.15203857421875
246.0,413,416,417,411,32594,49.03699070075928,26.666666666666668,0.1696951537175096,0.2656205304697814,0.1823035160071132,-1.5985861807490664,-1.9718897903429025,10.88441008146634,421.7,409.3048396541183,434.09516034588165,5.878662720361235,427.3333333333333,409.33333333333337,4.3027888446215,-73.33333333333333,430.0,420.0,381.5,425.0,359.7277047229317,414.31415,415.0,1.31414794921875,0.0
248.0,410,413,418,408,53308,46.56176740823155,16.666666666666668,0.0,0.1342253513517894,0.2236307246943416,-2.1192417886069848,-1.6674284391007697,10.536372165987736,419.85,407.6799548069813,432.0200451930188,5.797330090755641,424.2,407.4,4.040404040404042,-83.33333333333333,432.5,416.0,381.5,424.25,360.76257604348456,412.49002,413.00000000000006,2.490020751953125,0.0
253.0,415,428,430,415,32051,50.747408661346576,40.0,0.4903106720521364,0.511140726570839,0.3502527930990031,-0.8845090835949918,0.2194041829416444,9.970902400294095,416.8,407.3005263303632,426.2994736696368,4.558288709038778,422.7,406.7,3.858210754762479,-60.0,423.0,419.0,384.0,421.0,363.3892568288,412.82584,406.0,0.0,2.174163818359375
255.0,407,416,416,404,34482,44.31205038189457,11.538461538461538,0.0,0.2937340833097049,0.4582681907825645,-1.6465986632873069,-0.4686624395633316,9.816430944238215,416.05,405.7257566863172,426.3742433136828,4.962982003933572,422.2333333333334,405.8333333333333,3.961033733193807,-88.46153846153847,422.5,417.0,387.0,419.75,364.3217732154479,412.42783,406.0,0.0,-5.427825927734375
268.0,393,399,400,388,25315,35.26114000576642,17.857142857142858,0.0502380811301835,0.2994165530045645,0.3602377087305393,-3.867177553507077,-0.210685444699799,8.847350503454049,405.1,390.3094624844081,419.890537515592,7.302166139517132,407.6,390.4,4.3107769423559015,-82.14285714285714,409.0,396.5,424.0,402.75,368.7313327005177,396.5945,400.00000000000006,3.594512939453125,0.0
270.0,390,397,397,390,26703,34.008865632650924,7.6923076923076925,0.0,0.126511822895441,0.2288968075504455,-4.305572287848918,-0.4876352678280593,8.676353907797779,403.1,387.46798157626046,418.7320184237396,7.755900979280359,405.0333333333333,389.03333333333336,4.029888338510607,-92.3076923076923,409.0,396.5,424.0,402.75,369.2017402112127,394.56378,410.0,4.56378173828125,0.0
