,adjclose,open,high,low,volume,rsi,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,williamr,ichibaseline,ichiconversionline,ichilinea,ichilineb,ema200,ichiconversionline_3,true_ichiconversionline_3,buy_profit,sell_profit
962.0,223,223,227,223,16768,39.50297064995335,3.0303030303030303,0.0943802142350512,0.0314600714116836,0.0260276965984352,-3.9856397270304456,-1.5454135324904898,7.522603466101794,235.4,218.59047888842247,252.2095211115775,14.281666195053086,234.6333333333333,224.83333333333331,4.265815438189185,-96.96969696969695,249.0,231.5,235.5,240.25,243.916896551592,232.14728,229.0,0.0,-0.64727783203125
963.0,225,225,226,223,17089,41.870961450092985,13.636363636363637,0.2860095623930581,0.1267965922093697,0.0605227242709547,-3.792718416836294,-1.0819937778370703,7.070343119491615,234.45,217.54467539499535,251.3553246050046,14.421262192369042,233.7,224.3,4.104803493449772,-86.36363636363636,249.0,231.5,235.5,240.25,243.728668725208,230.78264,231.0,0.0,0.7173614501953125
964.0,230,228,231,227,45391,47.41276342159234,42.10526315789474,0.7344791676620294,0.3716229814300462,0.1766265483503663,-3.0101377970270846,-0.2395305264222882,6.963308807542454,233.4,218.21579768309903,248.58420231690096,13.011313039332434,232.7333333333333,223.53333333333336,4.032729398012829,-57.89473684210526,249.0,229.0,235.5,239.0,243.59206505630047,229.75468,233.00000000000003,0.7546844482421875,0.0
965.0,229,233,233,229,28209,46.4587810426596,36.8421052631579,0.6572782674649827,0.5592556658400234,0.3525584131598129,-2.5058811266151224,0.2117809151917393,6.666977926788209,232.35,219.12464556238336,245.57535443761665,11.383993490524322,231.8,223.2,3.78021978021979,-63.1578947368421,249.0,229.0,235.5,239.0,243.44687037912337,228.85547,233.00000000000003,-0.14453125,0.0
966.0,240,233,240,230,135251,56.76420574286989,94.73684210526316,1.0,0.7972524783756706,0.57604370854858,-0.8731634007348816,1.4755989128575844,7.100280134109388,232.0,220.03337975865412,243.96662024134585,10.316051932194698,232.5,223.1,4.126426690079018,-5.2631578947368425,242.0,231.0,235.5,236.5,243.41257316142065,228.73984,233.00000000000003,-2.260162353515625,0.0
967.0,237,244,244,235,78057,53.72693862824951,68.18181818181819,0.8351775148698806,0.8308185941116211,0.7291089127757715,-0.056144642083467,1.8340941372071995,7.290252120698449,231.85,220.21771733490849,243.48228266509156,10.03431758903734,233.4,223.4,4.378283712784588,-31.818181818181817,242.0,233.0,235.5,237.5,243.34876646329707,228.94443,233.5,-4.055572509765625,0.0
968.0,232,234,237,230,49378,49.01924221411959,45.45454545454545,0.5797063320819205,0.8049612823172669,0.8110107849348527,-0.0454614350631175,1.4758218753820391,7.261226908628605,231.3,220.84820589560852,241.75179410439148,9.03743545559141,234.33333333333331,223.9333333333333,4.538842013383767,-54.54545454545455,242.0,233.0,235.5,237.5,243.23584341391103,229.23813,233.5,-3.761871337890625,0.0
969.0,234,232,236,231,71613,50.87352773508517,54.54545454545455,0.6803323014723485,0.6984053828080498,0.7780617530789792,0.1852692126315105,1.365242018461334,7.035104217765745,231.25,220.86010105917327,241.63989894082675,8.98585854341771,235.23333333333332,224.63333333333333,4.610031893302404,-45.45454545454545,242.0,233.0,235.5,237.5,243.14394447446915,229.75365,236.0,-3.2463531494140625,0.0
970.0,237,238,239,233,89402,53.59978156119853,68.18181818181819,0.8282771195466269,0.696105251033632,0.7331573053863161,0.6735454823306952,1.482814630528415,6.93159379598917,231.2,220.9316018775764,241.4683981224236,8.882697337736683,236.5,225.5,4.761904761904762,-31.818181818181817,242.0,233.5,235.5,237.75,243.0828106986038,230.46161,236.0,-3.03839111328125,0.0
971.0,237,240,241,234,41695,53.59978156119853,68.18181818181819,0.8282771195466269,0.7789621801885341,0.7244909380100718,0.9944884470034764,1.443006076160957,6.938434416390254,231.5,220.926448089663,242.073551910337,9.13481806508595,238.3333333333333,226.53333333333336,5.076724508819714,-31.818181818181817,238.5,233.5,235.5,236.0,243.0222852190157,231.27719,236.0,-2.222808837890625,0.0
