date,open,high,low,adjclose,volume
2016-09-28,464.0,510.0,473,510,4437
2016-09-29,510.0,561.0,520,561,50
2016-10-02,561.0,617.0,572,617,469
2016-10-03,617.0,678.0,629,678,420
2016-10-04,678.0,745.0,691,745,3322
2016-10-05,745.0,819.0,755,787,381177
2016-10-06,787.0,794.0,775,780,178136
2016-10-16,780.0,780.0,755,764,58598
2016-10-17,764.0,770.0,736,752,75678
2016-10-18,752.0,753.0,715,740,51936
2016-10-19,740.0,751.0,735,738,34634
2016-10-20,738.0,744.0,739,741,40919
2016-10-23,741.0,750.0,723,730,48414
2016-10-24,730.0,728.0,713,719,35840
2016-10-25,719.0,730.0,706,720,39244
2016-10-26,720.0,720.0,707,718,36563
2016-10-27,718.0,729.0,714,719,45651
2016-11-03,719.0,720.0,710,713,22970
2016-11-07,713.0,714.0,705,706,49484
2016-11-08,706.0,707.0,691,700,53317
2016-11-09,700.0,700.0,666,688,42648
2016-11-10,688.0,693.0,670,688,63495
2016-11-13,688.0,688.0,666,676,42870
2016-11-14,676.0,705.0,666,698,60427
2016-11-15,698.0,710.0,692,698,66240
2016-11-16,698.0,700.0,690,691,19983
2016-11-17,691.0,690.0,660,675,53578
2016-11-20,675.0,688.0,638,655,77691
2016-11-21,655.0,669.0,631,658,67806
2016-11-22,658.0,659.0,615,644,58544
2016-11-23,644.0,650.0,620,630,77629
2016-11-24,630.0,654.0,620,629,63443
2016-11-27,629.0,635.0,611,617,73178
2016-11-28,617.0,650.0,595,646,109608
2016-11-29,646.0,658.0,609,651,96962
2016-11-30,651.0,675.0,652,669,90494
2016-12-01,669.0,682.0,654,669,66851
2016-12-04,669.0,681.0,649,660,40874
2016-12-05,660.0,660.0,646,653,45679
2016-12-06,653.0,670.0,647,660,38914
2016-12-07,660.0,673.0,633,658,31067
2016-12-08,658.0,658.0,650,656,20692
2016-12-11,656.0,658.0,640,641,34307
2016-12-12,641.0,648.0,620,637,26635
2016-12-14,637.0,645.0,635,639,25739
2016-12-15,639.0,651.0,635,650,27803
2016-12-18,650.0,650.0,638,646,41502
2016-12-19,646.0,650.0,636,643,34377
2016-12-20,643.0,640.0,625,625,25930
2016-12-21,625.0,627.0,620,621,29990
2016-12-22,621.0,626.0,615,620,19840
2016-12-26,620.0,615.0,600,603,55924
2016-12-27,603.0,609.0,578,595,43724
