date,open,high,low,adjclose,volume
2010-04-15,1449.0,1430.0,1402,1410.0,330
2010-04-15,1449.0,1430.0,1402,1410.0,330
2010-04-15,1449.0,1430.0,1402,1410.0,330
2010-04-19,1440.0,1449.0,1350,1400.0,1804
2010-04-20,1400.0,1380.0,1353,1380.0,179
2010-04-21,1380.0,1353.0,1242,1242.0,2870
2010-04-22,1242.0,1295.0,1180,1295.0,1333
2010-04-25,1295.0,1275.0,1200,1220.0,607
2010-04-26,1220.0,1196.0,1140,1190.0,1973
2010-04-27,1190.0,1167.0,1071,1100.0,1694
2010-04-28,1100.0,1122.0,1078,1100.0,428
2010-04-29,1100.0,1210.0,1120,1210.0,655
2010-05-09,1210.0,1186.0,1105,1159.0,652
2010-05-10,1159.0,1232.0,1118,1232.0,496
2010-05-11,1232.0,1304.0,1210,1304.0,503
2010-05-12,1304.0,1365.0,1280,1355.0,964
2010-05-13,1355.0,1395.0,1328,1342.0,1317
2010-05-16,1342.0,1404.0,1248,1404.0,781
2010-05-17,1404.0,1376.0,1349,1349.0,20
2010-05-18,1349.0,1402.0,1275,1402.0,1544
2010-05-19,1402.0,1457.0,1300,1457.0,879
2010-05-20,1457.0,1480.0,1423,1470.0,198
2010-05-23,1470.0,1445.0,1394,1445.0,691
2010-05-24,1445.0,1442.0,1389,1442.0,554
2010-05-25,1442.0,1523.0,1440,1523.0,985
2010-05-26,1523.0,1611.0,1488,1505.0,533
2010-05-30,1505.0,1654.0,1500,1630.0,388
2010-05-31,1630.0,1660.0,1477,1566.0,1114
2010-06-01,1566.0,1590.0,1410,1590.0,936
2010-06-02,1590.0,1575.0,1519,1548.0,242
2010-06-03,1548.0,1578.0,1470,1560.0,667
2010-06-06,1560.0,1591.0,1470,1591.0,1432
2010-06-07,1591.0,1615.0,1610,1615.0,30
2010-06-09,1615.0,1600.0,1475,1600.0,664
2010-06-10,1600.0,1599.0,1568,1595.0,77
2010-06-13,1595.0,1588.0,1510,1588.0,1107
2010-06-15,1588.0,1557.0,1525,1530.0,187
2010-06-16,1530.0,1529.0,1470,1514.0,1431
2010-06-17,1514.0,1515.0,1490,1515.0,205
2010-06-20,1515.0,1520.0,1466,1520.0,380
2010-06-21,1520.0,1494.0,1490,1490.0,118
2010-06-22,1490.0,1489.0,1446,1446.0,795
2010-06-23,1446.0,1475.0,1443,1475.0,477
2010-06-24,1475.0,1480.0,1430,1480.0,1093
2010-06-28,1480.0,1525.0,1500,1525.0,52
2010-06-29,1525.0,1555.0,1430,1495.0,245
2010-06-30,1495.0,1530.0,1465,1530.0,524
2010-07-01,1530.0,1600.0,1560,1600.0,60
2010-07-04,1600.0,1568.0,1470,1499.0,285
2010-07-05,1499.0,1528.0,1498,1498.0,60
2010-07-06,1498.0,1600.0,1520,1600.0,351
2010-07-08,1600.0,1568.0,1471,1500.0,463
2010-07-11,1500.0,1500.0,1470,1497.0,582
2010-07-12,1497.0,1528.0,1470,1528.0,961
2010-07-13,1528.0,1557.0,1540,1557.0,103
2010-07-14,1557.0,1609.0,1526,1609.0,657
2010-07-15,1609.0,1630.0,1599,1630.0,160
2010-07-18,1630.0,1598.0,1475,1491.0,633
2010-07-19,1491.0,1504.0,1480,1504.0,1481
2010-07-20,1504.0,1489.0,1474,1489.0,562
2010-07-21,1489.0,1560.0,1501,1560.0,850
2010-07-22,1560.0,1529.0,1480,1480.0,1145
2010-07-25,1480.0,1490.0,1490,1490.0,41
2010-07-26,1490.0,1545.0,1519,1545.0,45
2010-07-28,1545.0,1515.0,1510,1510.0,196
2010-07-29,1510.0,1535.0,1480,1535.0,288
2010-08-01,1535.0,1510.0,1481,1510.0,477
2010-08-02,1510.0,1575.0,1500,1575.0,740
2010-08-05,1575.0,1544.0,1485,1500.0,532
2010-08-08,1500.0,1591.0,1530,1560.0,1240
2010-08-09,1560.0,1550.0,1501,1518.0,2311
2010-08-10,1518.0,1546.0,1516,1530.0,1848
2010-08-11,1530.0,1540.0,1500,1540.0,20522
2010-08-12,1540.0,1580.0,1515,1570.0,2231
