,adjclose,open,high,low,volume,other,RSI
0,226,230,226,226,50,ok,
1,213,226,222,213,648,ok,
2,200,213,209,200,239,ok,
3,196,200,196,196,500,ok,
4,196,196,199,196,180,ok,
5,191,196,194,191,246,ok,
6,191,191,191,191,123,ok,
7,194,191,194,194,500,ok,
8,188,194,191,188,925,ok,
9,191,188,191,191,49,ok,
10,204,191,204,194,90,ok,
11,208,204,208,208,20,ok,
12,204,208,212,204,130,ok,
13,205,204,207,205,401,ok,
14,205,205,205,205,10,ok,44.59220749570036
15,202,205,204,202,359,ok,41.227621510759
16,199,202,199,199,200,ok,38.129368006244405
17,200,199,202,200,207,ok,39.75460228481602
18,204,200,204,204,1000,ok,45.87872792420831
19,199,204,200,199,1750,ok,40.35634252700864
20,200,199,200,200,60,ok,41.86356858278222
21,202,200,202,202,130,ok,44.864526553591766
22,206,202,206,206,40,ok,50.38114515012137
23,210,206,210,136,2502,ok,55.2076262769297
24,214,210,214,214,50,ok,59.45487064370415
25,224,214,224,224,10,ok,67.70049778049565
26,228,224,228,228,40,ok,70.3021799913407
27,232,228,232,232,2844,ok,72.67268091737446
28,240,232,240,236,1060,ok,76.68161335129389
29,257,240,257,244,120,ok,82.54243993990708
30,262,257,267,262,1025,ok,83.82974920347473
31,287,262,287,267,1479,ok,88.42549852649684
32,297,287,297,292,41,ok,89.68798772770451
33,295,297,302,292,3189,ok,87.62930498628378
34,280,295,290,280,150,ok,73.92405738912214
35,280,280,280,275,78,ok,73.92405738912214
36,285,280,285,285,20,ok,75.41078141014407
37,257,285,280,257,2159,ok,56.11567283420244
38,251,257,252,247,490,ok,52.98699409310434
39,256,251,256,256,20,ok,55.22723218235252
40,252,256,255,251,595,ok,53.04936679906784
41,250,252,250,249,467,ok,51.94633668990423
42,255,250,260,255,45,ok,54.49376938445913
43,260,255,260,259,59,ok,56.951417795566535
44,270,260,270,265,470,ok,61.437143977210575
45,270,270,270,265,2669,ok,61.437143977210575
46,290,270,290,271,140,ok,68.9434529618696
47,275,290,285,270,365,ok,59.57687573924078
48,270,275,271,270,2196,ok,56.80643508454612
49,275,270,275,270,2957,ok,58.86636705788996
50,265,275,270,265,118,ok,53.38295229881032
51,265,265,265,261,221,ok,53.38295229881032
52,270,265,270,270,1218,ok,55.77197762752675
53,270,270,270,270,67,ok,55.77197762752675
54,271,270,271,271,48,ok,56.29154374150606
55,276,271,276,276,10,ok,58.8918579800891
56,280,276,280,280,450,ok,60.8961217173891
57,275,280,275,275,146,ok,57.14549602862628
58,280,275,280,280,18,ok,59.81115333101239
59,280,280,280,275,503,ok,59.81115333101239
60,285,280,285,285,25,ok,62.51530584110542
61,295,285,295,285,2339,ok,67.26010276403288
62,300,295,300,299,1517,ok,69.34920677832548
63,305,300,305,300,519,ok,71.32002344790206
64,329,305,329,311,665,ok,78.47457187305996
65,334,329,335,334,100,ok,79.61547178364356
