date,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
2012-01-01,879,873.0,879.0,851,799,ok,,,,,,,,,
2012-01-02,900,879.0,913.0,882,1002,ok,,,,,,,,,
2012-01-03,892,900.0,916.0,892,2653,ok,,,,,,,,,
2012-01-04,865,892.0,875.0,842,490,ok,,,,,,,,,
2012-01-05,858,865.0,875.0,858,121,ok,,,,,,,,,
2012-01-08,830,858.0,845.0,814,4835,ok,,,,,,,,,
2012-01-09,846,830.0,846.0,830,195,ok,,,,,,,,,
2012-01-10,845,846.0,862.0,845,658,ok,,,,,,,,,
2012-01-11,874,845.0,874.0,845,969,ok,,,,,,,,,
2012-01-12,904,874.0,904.0,860,773,ok,,,,,,,,,
2012-01-16,879,904.0,886.0,867,235,ok,,,,,,,,,
2012-01-17,861,879.0,865.0,820,2244,ok,,,,,,,,,
2012-01-18,882,861.0,882.0,830,1617,ok,,,,,,,,,
2012-01-22,836,882.0,870.0,836,1273,ok,,21.56862745,,,,,,,
2012-01-23,835,836.0,843.0,826,1255,ok,40.24854709,20.58823529,,,,,,,
2012-01-25,840,835.0,840.0,825,442,ok,41.94277809,25.49019608,22.54901961,,,,,,
2012-01-26,830,840.0,830.0,826,408,ok,39.52869973,17.77777778,21.28540305,,,,-9.777552757,,
2012-01-29,830,830.0,830.0,823,496,ok,39.52869973,17.77777778,20.34858388,,,,-10.76354156,,
2012-01-31,842,830.0,845.0,842,143,ok,44.01335655,31.11111111,22.22222222,,,,-9.846113041,,
2012-02-01,832,842.0,840.0,832,250,ok,41.26682613,14.28571429,21.05820106,,,,-10.07983868,,
2012-02-02,850,832.0,850.0,833,382,ok,47.60477617,35.71428571,27.03703704,,,,-7.992541872,,
2012-02-05,829,850.0,840.0,824,1035,ok,41.92109817,10.71428571,20.23809524,,,,-8.685459093,,
2012-02-06,824,829.0,829.0,824,545,ok,40.67586376,4.761904762,17.06349206,,,,-9.50561275,,
2012-02-07,830,824.0,833.0,820,816,ok,42.86895432,15.15151515,10.20923521,,,,-9.171259408,,
2012-02-08,841,830.0,841.0,830,187,ok,46.75518506,33.87096774,17.92812922,,,,-7.49142847,1.503786201,-8.995214672
2012-02-09,840,841.0,840.0,830,437,ok,46.44587393,32.25806452,27.0935158,,,,-6.25620144,2.191210586,-8.447412025
2012-02-12,843,840.0,843.0,828,1780,ok,47.56655011,46.0,37.37634409,0.995266753,,,-4.914409877,2.826401719,-7.740811596
2012-02-13,876,843.0,876.0,832,885,ok,57.98242114,100.0,59.41935484,1.0,,,-0.198741392,6.033656163,-6.232397555
2012-02-14,860,876.0,870.0,860,447,ok,52.53345793,71.42857143,72.47619048,0.704722799,0.899996517,,1.288603274,6.016800663,-4.728197389
2012-02-15,843,860.0,860.0,843,182,ok,47.4329727,41.07142857,70.83333333,0.428329484,0.711017428,,0.39618469,4.099505664,-3.703320973
2012-02-16,850,843.0,850.0,833,1286,ok,49.60275472,53.57142857,55.35714286,0.54590913,0.559653804,0.723555916,0.547199381,3.400416283,-2.853216902
2012-02-21,850,850.0,850.0,836,170,ok,49.60275472,53.57142857,49.4047619,0.515809746,0.496682786,0.589118006,0.638093503,2.793048325,-2.154954821
2012-02-23,850,850.0,850.0,845,79,ok,49.60275472,53.57142857,53.57142857,0.515809746,0.525842874,0.527393155,0.685178489,2.272106648,-1.586928159
2012-02-26,844,850.0,856.0,833,1025,ok,47.50363693,42.85714286,50.0,0.394519431,0.475379641,0.499301767,0.034146418,1.296859662,-1.262713244
2012-02-27,847,844.0,847.0,831,1055,ok,48.67321644,48.21428571,48.21428571,0.462099567,0.457476248,0.486232921,-0.083459617,0.943402901,-1.026862518
2012-02-28,867,847.0,867.0,845,825,ok,55.75100199,83.92857143,58.33333333,0.871065106,0.575894701,0.502916863,2.05951546,2.469102383,-0.409586923
2012-02-29,861,867.0,869.0,860,602,ok,53.37316413,73.21428571,68.45238095,0.695023182,0.676062619,0.569811189,2.823559577,2.5865172,0.237042377
2012-03-01,887,861.0,887.0,865,497,ok,61.11313423,100.0,85.71428571,1.0,0.855362763,0.702440028,6.170958976,4.747133279,1.423825697
2012-03-04,874,887.0,876.0,870,590,ok,56.09881782,77.96610169,83.7267958,0.658128627,0.784383937,0.771936439,6.888396611,4.371656731,2.51673988
2012-03-05,883,874.0,887.0,866,571,ok,58.62957787,93.22033898,90.39548023,0.818455626,0.825528084,0.821758261,8.21431901,4.558063304,3.656255706
2012-03-06,882,883.0,885.0,875,301,ok,58.22792742,91.07142857,87.41928975,0.78909556,0.755226604,0.788379542,8.817072298,4.128653274,4.688419024
2012-03-11,885,882.0,885.0,868,361,ok,59.13244311,96.42857143,93.57344633,0.855214347,0.820921844,0.800558844,9.349418465,3.728799553,5.620618913
2012-03-12,880,885.0,882.0,880,256,ok,56.9202143,87.5,91.66666667,0.693503625,0.779271177,0.785139875,8.931054866,2.648348762,6.282706103
2012-03-13,880,880.0,880.0,863,501,ok,56.9202143,87.5,90.47619048,0.691912212,0.746876728,0.782356583,8.42129596,1.710871886,6.710424075
2012-03-14,860,880.0,875.0,860,389,ok,48.50244184,51.78571429,75.5952381,0.073390287,0.486268708,0.670805538,5.638714595,-0.857367584,6.496082179
2012-03-15,852,860.0,852.0,836,446,ok,45.59763255,37.5,58.92857143,0.0,0.255100833,0.49608209,2.686838229,-3.04739516,5.734233389
2012-03-18,867,852.0,869.0,850,168,ok,51.46682898,64.28571429,51.19047619,0.378279514,0.1505566,0.297308714,2.246359797,-2.790298873,5.03665867
2012-03-19,882,867.0,882.0,853,281,ok,56.51865617,91.07142857,64.28571429,0.703878215,0.360719243,0.255458892,3.553032491,-1.186900943,4.739933435
2012-03-20,874,882.0,874.0,847,307,ok,53.33029705,74.50980392,76.62231559,0.498383144,0.526846957,0.346040934,3.479793058,-1.008112301,4.487905359
2012-03-21,878,874.0,878.0,850,900,ok,54.70614173,82.35294118,82.64472456,0.587058632,0.596439997,0.494668732,3.787682016,-0.560178674,4.347860691
2012-03-25,878,878.0,878.0,845,521,ok,54.70614173,82.35294118,79.73856209,0.587058632,0.557500136,0.560262363,3.907020505,-0.352672148,4.259692654
2012-03-26,861,878.0,861.0,861,50,ok,47.76539715,49.01960784,71.24183007,0.160162168,0.44475981,0.532899981,2.004167597,-1.804420046,3.808587642
2012-03-27,867,861.0,873.0,850,342,ok,50.16843977,60.78431373,64.05228758,0.337707514,0.361642771,0.454634239,1.305796015,-2.002233302,3.308029317
2012-03-28,867,867.0,867.0,850,317,ok,50.16843977,63.26530612,57.68974256,0.337707514,0.278525732,0.361642771,0.790729341,-2.01383998,2.804569322
2012-03-29,867,867.0,867.0,850,64,ok,50.16843977,63.26530612,62.43830866,0.337707514,0.337707514,0.325958672,0.415109682,-1.911567712,2.326677394
2012-04-01,852,867.0,852.0,835,981,ok,43.8670586,36.17021277,54.23360834,0.0,0.225138342,0.280457196,-1.521494272,-3.078537333,1.557043061
2012-04-02,880,852.0,880.0,852,270,ok,55.18318107,95.74468085,65.06006658,0.866926185,0.401544566,0.321463474,0.288297914,-1.014996117,1.303294031
