Date,No of Transactions,high,low,adjclose,volume,Total Amount,open,Difference Rs.,% Change
2016-10-16,35,1800.0,1760,1770.0,2605,4642309,1780.0,-10.0,-0.56
2016-10-17,26,1780.0,1743,1774.0,4532,8004906,1770.0,4.0,0.23
2016-10-18,36,1800.0,1746,1789.0,4476,7905350,1774.0,15.0,0.85
2016-10-19,37,1795.0,1781,1790.0,3025,5418074,1789.0,1.0,0.06
2016-10-20,32,1790.0,1775,1785.0,4051,7223760,1790.0,-5.0,-0.28
2016-10-23,52,1785.0,1762,1765.0,8690,15381286,1785.0,-20.0,-1.12
2016-10-24,63,1770.0,1740,1740.0,10127,17718410,1765.0,-25.0,-1.42
2016-10-25,30,1741.0,1702,1729.0,2830,4889092,1740.0,-11.0,-0.63
2016-10-26,48,1744.0,1705,1740.0,6550,11272100,1729.0,11.0,0.64
2016-10-27,33,1755.0,1730,1755.0,3259,5680460,1740.0,15.0,0.86
2016-11-03,36,1795.0,1760,1760.0,5932,10583365,1755.0,5.0,0.28
2016-11-07,34,1760.0,1735,1739.0,4023,7029454,1760.0,-21.0,-1.19
2016-11-08,39,1758.0,1712,1725.0,3671,6313451,1739.0,-14.0,-0.81
2016-11-09,59,1716.0,1675,1708.0,5692,9680421,1725.0,-17.0,-0.99
2016-11-10,93,1710.0,1697,1700.0,8482,14451732,1708.0,-8.0,-0.47
2016-11-13,61,1720.0,1690,1703.0,9265,15814689,1700.0,3.0,0.18
2016-11-14,38,1730.0,1703,1722.0,4633,7970265,1703.0,19.0,1.12
2016-11-15,48,1725.0,1710,1716.0,4705,8079617,1722.0,-6.0,-0.35
2016-11-16,51,1721.0,1695,1695.0,6094,10400900,1716.0,-21.0,-1.22
2016-11-17,77,1705.0,1660,1670.0,8823,14794812,1695.0,-25.0,-1.47
2016-11-20,68,1650.0,1596,1630.0,8592,13882593,1670.0,-40.0,-2.4
2016-11-21,45,1680.0,1605,1635.0,5441,8855012,1630.0,5.0,0.31
2016-11-22,67,1655.0,1605,1630.0,7277,11888214,1635.0,-5.0,-0.31
2016-11-23,68,1626.0,1596,1600.0,8590,13764315,1630.0,-30.0,-1.84
2016-11-24,61,1610.0,1589,1595.0,6007,9588915,1600.0,-5.0,-0.31
2016-11-27,56,1588.0,1540,1555.0,4670,7327037,1595.0,-40.0,-2.51
2016-11-28,98,1640.0,1450,1640.0,10412,15581669,1555.0,85.0,5.47
2016-11-29,72,1655.0,1600,1655.0,7847,12789990,1640.0,15.0,0.91
2016-11-30,70,1700.0,1640,1691.0,7451,12521920,1655.0,36.0,2.18
2016-12-01,79,1734.0,1652,1674.0,7265,12248557,1691.0,-17.0,-1.01
2016-12-04,47,1670.0,1600,1670.0,4200,6890404,1674.0,-4.0,-0.24
