date,open,high,low,adjclose,volume
2010-04-15,2040.0,2040.0,2000,2000.0,3464
2010-04-15,2040.0,2040.0,2000,2000.0,3464
2010-04-15,2040.0,2040.0,2000,2000.0,3464
2010-04-19,2080.0,2039.0,2000,2001.0,1774
2010-04-20,2001.0,1975.0,1945,1945.0,1212
2010-04-21,1945.0,1908.0,1800,1810.0,1916
2010-04-22,1810.0,1831.0,1775,1831.0,1197
2010-04-25,1831.0,1804.0,1770,1786.0,1365
2010-04-26,1786.0,1785.0,1750,1760.0,920
2010-04-27,1760.0,1730.0,1695,1696.0,1418
2010-04-28,1696.0,1729.0,1665,1671.0,293
2010-04-29,1671.0,1838.0,1704,1838.0,622
2010-05-09,1838.0,1840.0,1840,1840.0,60
2010-05-10,1840.0,1930.0,1876,1927.0,208
2010-05-11,1927.0,2005.0,1900,2005.0,826
2010-05-12,2005.0,2150.0,2010,2100.0,953
2010-05-13,2100.0,2310.0,2142,2200.0,1750
2010-05-16,2200.0,2194.0,2039,2075.0,1664
2010-05-17,2075.0,2040.0,2000,2040.0,1032
2010-05-18,2040.0,2140.0,2000,2100.0,840
2010-05-19,2100.0,2172.0,2100,2172.0,1278
2010-05-20,2172.0,2200.0,2120,2150.0,964
2010-05-23,2150.0,2180.0,2145,2180.0,805
2010-05-24,2180.0,2185.0,2150,2180.0,1274
2010-05-25,2180.0,2315.0,2223,2300.0,2243
2010-05-26,2300.0,2392.0,2299,2320.0,1420
2010-05-30,2320.0,2542.0,2366,2540.0,1443
2010-05-31,2540.0,2600.0,2343,2356.0,2755
2010-06-01,2356.0,2345.0,2200,2305.0,2319
2010-06-02,2305.0,2295.0,2252,2285.0,625
2010-06-03,2285.0,2350.0,2250,2330.0,928
2010-06-06,2330.0,2300.0,2290,2290.0,653
2010-06-07,2290.0,2296.0,2200,2270.0,1757
2010-06-08,2270.0,2315.0,2300,2300.0,318
2010-06-09,2300.0,2345.0,2300,2335.0,782
2010-06-10,2335.0,2335.0,2300,2335.0,683
2010-06-13,2335.0,2315.0,2290,2300.0,1279
2010-06-14,2300.0,2300.0,2265,2300.0,340
2010-06-15,2300.0,2275.0,2251,2263.0,759
2010-06-16,2263.0,2300.0,2290,2292.0,415
2010-06-17,2292.0,2295.0,2261,2295.0,379
2010-06-20,2295.0,2290.0,2260,2280.0,386
2010-06-21,2280.0,2260.0,2240,2240.0,820
2010-06-22,2240.0,2249.0,2200,2249.0,283
2010-06-23,2249.0,2260.0,2220,2230.0,357
2010-06-24,2230.0,2202.0,2170,2170.0,446
2010-06-28,2170.0,2130.0,2127,2127.0,171
2010-06-29,2127.0,2105.0,2098,2100.0,631
2010-06-30,2100.0,2100.0,2090,2090.0,140
2010-07-01,2090.0,2285.0,2131,2205.0,875
2010-07-04,2205.0,2205.0,2175,2200.0,518
2010-07-05,2200.0,2175.0,2160,2160.0,472
2010-07-06,2160.0,2170.0,2125,2125.0,490
2010-07-07,2125.0,2175.0,2135,2135.0,802
2010-07-08,2135.0,2160.0,2101,2160.0,1492
2010-07-11,2160.0,2215.0,2120,2215.0,720
2010-07-12,2215.0,2171.0,2105,2125.0,1838
2010-07-13,2125.0,2167.0,2150,2150.0,510
2010-07-14,2150.0,2230.0,2156,2230.0,470
2010-07-15,2230.0,2433.0,2250,2384.0,214
2010-07-19,2384.0,2337.0,2205,2205.0,295
2010-07-20,2205.0,2210.0,2180,2207.0,2303
2010-07-21,2207.0,2240.0,2153,2200.0,1030
2010-07-22,2200.0,2200.0,2156,2176.0,1719
2010-07-25,2176.0,2180.0,2174,2174.0,60
2010-07-26,2174.0,2161.0,2150,2150.0,473
2010-07-27,2150.0,2140.0,2133,2140.0,460
2010-07-28,2140.0,2140.0,2121,2135.0,749
2010-07-29,2135.0,2177.0,2175,2175.0,160
2010-08-01,2175.0,2175.0,2150,2150.0,748
2010-08-02,2150.0,2170.0,2150,2150.0,366
2010-08-03,2150.0,2200.0,2140,2160.0,714
2010-08-04,2160.0,2160.0,2150,2155.0,338
2010-08-05,2155.0,2165.0,2135,2135.0,1449
2010-08-08,2135.0,2140.0,2135,2135.0,365
2010-08-09,2135.0,2135.0,2120,2120.0,248
2010-08-10,2120.0,2150.0,2125,2134.0,335
2010-08-11,2134.0,2140.0,2130,2140.0,105
2010-08-12,2140.0,2126.0,2110,2120.0,550
2010-08-15,2120.0,2130.0,2113,2126.0,1056
2010-08-16,2126.0,2130.0,2110,2121.0,1397
2010-08-17,2121.0,2110.0,2070,2090.0,643
2010-08-18,2090.0,2090.0,1985,2005.0,861
2010-08-19,2005.0,2020.0,1980,2015.0,1416
2010-08-22,2015.0,1975.0,1835,1835.0,1531
2010-08-23,1835.0,1872.0,1760,1872.0,1595
2010-08-26,1872.0,1880.0,1855,1866.0,975
2010-08-29,1866.0,1872.0,1860,1872.0,544
2010-08-30,1872.0,1890.0,1870,1870.0,174
2010-08-31,1870.0,1870.0,1850,1870.0,420
2010-09-02,1870.0,1870.0,1823,1869.0,1189
2010-09-05,1869.0,1832.0,1674,1674.0,884
2010-09-06,1674.0,1750.0,1630,1750.0,1231
2010-09-07,1750.0,1871.0,1750,1871.0,620
2010-09-08,1871.0,2058.0,1908,2058.0,1692
2010-09-09,2058.0,2140.0,1970,2018.0,8224
2010-09-12,2018.0,2015.0,1990,2015.0,1611
2010-09-13,2015.0,2020.0,2000,2014.0,2457
2010-09-14,2014.0,2019.0,1995,1999.0,2906
2010-09-15,1999.0,2010.0,1972,2000.0,1443
2010-09-16,2000.0,2000.0,1960,1965.0,1215
2010-09-19,1965.0,1985.0,1900,1926.0,3044
2010-09-20,1926.0,1925.0,1900,1900.0,2511
2010-09-21,1900.0,1910.0,1887,1900.0,3238
2010-09-23,1900.0,1950.0,1900,1950.0,4539
2010-09-26,1950.0,2034.0,1890,2034.0,6085
2010-09-28,2034.0,1482.0,1330,1350.0,506
2010-09-29,1350.0,1404.0,1377,1390.0,243
2010-09-30,1390.0,1425.0,1401,1420.0,981
2010-10-03,1420.0,1420.0,1408,1408.0,424
2010-10-05,1400.0,1420.0,1415,1419.0,159
2010-10-06,1419.0,1450.0,1419,1430.0,768
2010-10-07,1430.0,1475.0,1455,1470.0,275
2010-10-10,1470.0,1528.0,1498,1500.0,571
2010-10-11,1500.0,1500.0,1441,1441.0,308
2010-10-12,1441.0,1498.0,1469,1471.0,216
