date,open,high,low,adjclose,volume,RSI
2010-04-15,2040.0,2040.0,2000,2000.0,3464,50.3242061
2010-04-15,2040.0,2040.0,2000,2000.0,3464,50.3242061
2010-04-15,2040.0,2040.0,2000,2000.0,3464,50.3242061
2010-04-19,2080.0,2039.0,2000,2001.0,1774,50.3857796
2010-04-20,2001.0,1975.0,1945,1945.0,1212,47.01464446
2010-04-21,1945.0,1908.0,1800,1810.0,1916,37.50985293
2010-04-22,1810.0,1831.0,1775,1831.0,1197,38.50763202
2010-04-25,1831.0,1804.0,1770,1786.0,1365,35.0709728
2010-04-26,1786.0,1785.0,1750,1760.0,920,33.06395392
2010-04-27,1760.0,1730.0,1695,1696.0,1418,27.9751355
2010-04-28,1696.0,1729.0,1665,1671.0,293,25.93264964
2010-04-29,1671.0,1838.0,1704,1838.0,622,31.4678827
2010-05-09,1838.0,1840.0,1840,1840.0,60,31.54275436
2010-05-10,1840.0,1930.0,1876,1927.0,208,34.89655361
2010-05-11,1927.0,2005.0,1900,2005.0,826,38.28548065
2010-05-12,2005.0,2150.0,2010,2100.0,953,43.00921561
2010-05-13,2100.0,2310.0,2142,2200.0,1750,48.90739012
2010-05-16,2200.0,2194.0,2039,2075.0,1664,39.23497026
2010-05-17,2075.0,2040.0,2000,2040.0,1032,36.08921788
2010-05-18,2040.0,2140.0,2000,2100.0,840,39.3303534
2010-05-19,2100.0,2172.0,2100,2172.0,1278,43.70393041
2010-05-20,2172.0,2200.0,2120,2150.0,964,41.86986089
2010-05-23,2150.0,2180.0,2145,2180.0,805,43.67142176
2010-05-24,2180.0,2185.0,2150,2180.0,1274,43.67142176
2010-05-25,2180.0,2315.0,2223,2300.0,2243,51.28169844
2010-05-26,2300.0,2392.0,2299,2320.0,1420,52.70305477
2010-05-30,2320.0,2542.0,2366,2540.0,1443,73.51579273
2010-05-31,2540.0,2600.0,2343,2356.0,2755,61.80017238
2010-06-01,2356.0,2345.0,2200,2305.0,2319,56.89220344
2010-06-02,2305.0,2295.0,2252,2285.0,625,54.77637265
2010-06-03,2285.0,2350.0,2250,2330.0,928,61.03536609
2010-06-06,2330.0,2300.0,2290,2290.0,653,56.97778934
2010-06-07,2290.0,2296.0,2200,2270.0,1757,54.79206105
