,adjclose,open,high,low,volume,other,RSI,stoch,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,macd,macddiff,volatility_atr,volatility_bbm,volatility_bbl,volatility_bbh,volatility_bbw,volatility_kch,volatility_kcl,volatility_kcw,WilliamR
0,373,347.0,373.0,353,130,ok,,,,,,,,0.0,,,,,386.3333333333333,346.3333333333333,,
1,380,373.0,380.0,380,20,ok,,,,,,,,0.0,,,,,383.1666666666666,363.1666666666666,,
2,373,380.0,373.0,373,50,ok,,,,,,,,0.0,,,,,379.77777777777777,366.4444444444444,,
3,336,373.0,366.0,336,444,ok,,,,,,,,0.0,,,,,378.8333333333333,353.8333333333333,,
4,330,336.0,330.0,324,412,ok,,,,,,,,0.0,,,,,369.8666666666667,347.46666666666664,,
5,325,330.0,330.0,325,198,ok,,,,,,,,0.0,,,,,363.5,343.1666666666667,,
6,325,325.0,325.0,325,66,ok,,,,,,,,0.0,,,,,358.0,340.57142857142856,,
7,330,325.0,330.0,330,571,ok,,,,,,,,0.0,,,,,354.5,339.25,,
8,330,330.0,330.0,327,298,ok,,,,,,,,0.0,,,,,352.0,337.77777777777777,,
9,330,330.0,330.0,330,269,ok,,,,,,,,9.6,,,,,349.8,337.0,3.727431566686084,
10,345,330.0,345.0,336,1261,ok,,,,,,,,10.14,,,,,346.26666666666665,335.66666666666663,3.1088082901554475,
11,340,345.0,340.0,340,100,ok,,,,,,,,9.626,,,,,342.26666666666665,331.66666666666663,3.145711742012076,
12,334,340.0,340.0,334,139,ok,,,,,,,,9.2634,,,,,339.16666666666663,327.3666666666667,3.540708141628312,
13,340,334.0,340.0,340,80,ok,39.78832128109488,28.571428571428573,,,,,,8.93706,,,,,335.56666666666666,329.76666666666665,1.7434869739478993,-71.42857142857143
14,345,340.0,345.0,345,50,ok,44.70559050401741,37.5,,,,,,8.543354,,,,,336.66666666666663,332.06666666666666,1.3757352208154616,-62.5
15,334,345.0,339.0,334,676,ok,37.45797827976347,20.40816326530612,,,,,,8.7890186,,,,,337.56666666666666,332.96666666666664,1.3720421554981177,-79.59183673469387
16,330,334.0,334.0,330,1274,ok,35.22184732853569,14.285714285714286,,,,-5.778548243864066,,8.310116740000002,,,,,338.6,333.2,1.607621315867828,-85.71428571428571
17,330,330.0,330.0,330,620,ok,35.22184732853569,28.571428571428573,,,,-5.875441655219618,,7.479105066000001,,,,,338.6,333.2,1.607621315867828,-71.42857142857143
18,330,330.0,330.0,330,200,ok,35.22184732853569,25.0,,,,-5.797357059237811,,6.7311945594,,,,,338.4,333.6,1.428571428571415,-75.0
19,330,330.0,330.0,330,1393,ok,35.22184732853569,25.0,,,,-5.600228028454353,,6.05807510346,339.5,307.3721304783526,371.6278695216474,18.92657998329745,338.4,333.6,1.428571428571415,-75.0
20,318,330.0,332.0,318,665,ok,28.384417607939824,0.0,,,,-6.6589973891854015,,6.852267593114,336.75,307.25508518405246,366.24491481594754,17.517395584824076,336.96666666666664,331.16666666666663,1.7361804031131542,-100.0
21,320,318.0,324.0,320,590,ok,30.79569561904096,7.407407407407407,,,,-7.004344172180083,,6.767040833802599,333.75,311.035467207094,356.464532792906,13.611705044438068,335.5,328.9,1.9867549668874245,-92.5925925925926
22,314,320.0,314.0,314,176,ok,27.774417814733667,0.0,,,,-7.736822338887975,,6.690336750422338,330.8,314.9557581437292,346.64424185627087,9.579348159776815,332.7,327.3,1.6363636363636296,-100.0
23,326,314.0,326.0,320,196,ok,40.37387672142608,38.70967741935484,,,,-6.718861013676474,,7.221303075380104,330.3,314.5126633025071,346.0873366974929,9.559392490156156,331.7,325.1,2.009744214372706,-61.29032258064516
24,330,326.0,330.0,330,1083,ok,43.88771847676992,51.61290322580645,,,,-5.4047430354148105,0.8911649253473328,6.899172767842093,330.3,314.5126633025071,346.0873366974929,9.559392490156156,330.2,323.6,2.018966044661966,-48.38709677419355
25,330,330.0,330.0,330,185,ok,43.88771847676992,51.61290322580645,,,,-4.362766580433515,1.5465131042629032,6.209255491057884,330.55,314.9490384911697,346.15096150883033,9.439395860735331,329.1333333333333,323.53333333333336,1.7160367722165368,-48.38709677419355
26,330,330.0,334.0,330,982,ok,43.88771847676992,51.61290322580645,0.9516943071660272,,,-3.5346651651270804,1.8996916156554715,5.988329941952095,330.8,315.4038965968657,346.1961034031343,9.308405926925214,329.1333333333333,323.53333333333336,1.7160367722165368,-48.38709677419355
27,324,330.0,324.0,324,54,ok,39.52404433067032,32.25806451612903,0.6939641294529674,,,-3.541541589973804,1.514252152646999,5.989496947756885,330.5,314.821989922187,346.178010077813,9.487449366301352,328.53333333333336,322.93333333333334,1.719197707736397,-67.74193548387096
28,330,324.0,330.0,330,50,ok,45.373279955394,64.0,1.0,0.8818861455396648,,-2.7921835234487844,1.810888175337615,5.990547252981196,330.5,314.821989922187,346.178010077813,9.487449366301352,328.53333333333336,322.93333333333334,1.719197707736397,-36.0
29,335,330.0,335.0,335,50,ok,49.73618038717864,100.0,1.0,0.8979880431509892,,-1.6496104521858117,2.36276899728047,5.891492527683076,330.75,314.9528483580107,346.5471516419893,9.552321476637504,329.03333333333336,323.43333333333334,1.7165627873710094,-0.0
30,353,335.0,353.0,341,1545,ok,61.62013122520914,100.0,1.0,1.0,0.9266247295635514,1.181047731704325,4.154741744936485,7.102343274914769,331.15,313.61974044687287,348.6802595531271,10.587503882305366,331.4666666666667,326.2666666666667,1.581187918102571,-0.0
31,351,353.0,367.0,351,294,ok,59.924801653213166,69.81132075471699,0.9499100653771044,0.9833033551257014,0.9604304660922304,2.8866620876850675,4.688284880733782,7.992108947423292,331.7,312.4843813526599,350.91561864734007,11.586143290527634,336.16666666666663,328.56666666666666,2.2866312305686387,-30.18867924528302
32,358,351.0,358.0,358,117,ok,63.69017781305755,83.01886792452831,1.0,0.9833033551257016,0.9888689034171344,4.7723544303955805,5.259181778755437,7.892898052680962,332.9,310.52233256123407,355.2776674387659,13.444077764353208,340.56666666666666,332.96666666666664,2.256755419182428,-16.9811320754717
33,381,358.0,381.0,365,1707,ok,72.7499060649329,100.0,1.0,0.9833033551257016,0.9833033551257016,8.513762607321496,7.200471964545081,9.403608247412864,334.95,304.34624206081867,365.5537579391813,18.273627669312628,346.7333333333333,337.1333333333333,2.8075648274517517,-0.0
34,388,381.0,388.0,388,20,ok,74.8099433487892,100.0,1.0,1.0,0.9888689034171344,11.667976591188278,8.283748758729491,9.163247422671578,337.1,298.8801098902678,375.3198901097322,22.67569867085862,352.53333333333336,342.93333333333334,2.7607361963190247,-0.0
35,395,388.0,395.0,395,22,ok,76.70634126235369,100.0,1.0,1.0,0.9944344517085671,14.338347330869285,8.763295598728396,8.94692268040442,340.15,294.4104110206486,385.88958897935134,26.89377567505593,359.03333333333336,349.43333333333334,2.7100781029453342,-0.0
36,410,395.0,410.0,402,233,ok,80.15418223382031,100.0,1.0,1.0,1.0,17.497162969886517,9.537688990196504,9.552230412363976,344.15,289.53031490387366,398.7696850961263,31.74178997305031,367.0333333333333,356.6333333333333,2.874251497005982,-0.0
37,438,410.0,438.0,430,22,ok,84.70516967234241,100.0,1.0,1.0,1.0,22.3601179062469,11.520515141245507,11.39700737112758,349.55,281.8138205978519,417.28617940214815,38.756217652495,378.9666666666666,366.9666666666666,3.217445705603718,-0.0
38,438,438.0,438.0,438,50000,ok,84.70516967234241,100.0,1.0,1.0,1.0,25.17005914851461,11.464365106810574,10.257306634014824,354.95,277.7503238348761,432.1496761651239,43.49890191019799,389.76666666666665,377.76666666666665,3.1269000260575006,-0.0
39,463,438.0,463.0,446,300,ok,87.64012808548225,100.0,1.0,1.0,1.0,29.26902941110683,12.450668295522236,11.73157597061334,361.6,272.1944073337692,451.0055926662309,49.44999594371176,403.7,388.3,3.888888888888884,-0.0
40,481,463.0,481.0,472,200,ok,89.2409672400286,100.0,1.0,1.0,1.0,33.38019331089623,13.249465756249307,12.358418373552006,369.75,268.7611392281308,470.73886077186927,54.625482499996906,416.3,401.5,3.6194668623135273,-0.0
41,499,481.0,499.0,490,119,ok,90.55796228793592,100.0,1.0,1.0,1.0,37.398277159864335,13.814039684173927,12.922576536196804,378.7,265.89734045688465,491.5026595431153,59.57362531983911,429.5666666666667,416.1666666666667,3.168847548478646,-0.0
42,528,499.0,528.0,508,433,ok,92.21200510109549,100.0,1.0,1.0,1.0,42.47501964409258,15.11262573472174,14.530318882577124,389.4,263.35492869612074,515.4450713038792,64.738095174052,447.9,430.5,3.961748633879776,-0.0
43,537,528.0,558.0,537,625,ok,92.64275522970148,90.3225806451613,1.0,1.0,1.0,45.9361003827172,14.858965178677082,16.077286994319415,399.95,262.126235721121,537.773764278879,68.92049720158968,465.2333333333333,446.8333333333333,4.034792778305675,-9.67741935483871
44,546,537.0,546.0,546,58,ok,93.0563475048114,94.20289855072464,1.0,1.0,1.0,48.19472162466218,13.694069136497646,15.369558294887474,410.75,263.04641168881506,558.453588311185,71.9189717887693,481.0333333333333,462.6333333333333,3.89968209113387,-5.797101449275362
