date,open,high,RSI,adjclose,volume
2010-05-23,980.0,961,961,961.0,12
2010-06-03,961.0,942,942,942.0,300
2010-06-14,942.0,924,871,871.0,142
2010-07-12,871.0,854,850,850.0,87
2010-07-25,850.0,833,770,770.0,117
2010-07-26,770.0,755,726,752.0,297
2010-07-27,752.0,770,754,765.0,436
2010-07-28,765.0,750,707,707.0,2095
2010-07-29,707.0,693,650,655.0,4111
2010-08-01,655.0,667,650,665.0,4136
2010-08-02,665.0,678,671,678.0,183
2010-08-03,678.0,690,680,690.0,45
2010-08-04,690.0,703,677,703.0,134
2010-08-05,703.0,700,700,700.0,290
2010-08-10,700.0,693,680,680.0,1049
2010-08-11,680.0,667,667,667.0,60
2010-08-12,667.0,655,655,655.0,132
2010-08-16,655.0,655,655,655.0,15
2010-08-17,655.0,643,642,642.0,306
2010-08-18,642.0,630,618,618.0,54
2010-08-19,618.0,615,615,615.0,154
2010-08-23,615.0,603,603,603.0,15
2010-08-26,603.0,591,591,591.0,30
2010-08-29,591.0,601,590,601.0,765
2010-08-30,601.0,613,613,613.0,10
2010-08-31,613.0,615,611,615.0,315
2010-09-02,615.0,604,603,603.0,200
2010-09-05,603.0,592,591,592.0,515
2010-09-06,592.0,605,595,598.0,723
2010-09-09,598.0,588,587,587.0,30
2010-09-12,587.0,592,581,592.0,145
2010-09-13,592.0,603,595,603.0,328
2010-09-14,603.0,595,595,595.0,60
2010-09-15,595.0,606,595,606.0,180
2010-09-16,606.0,601,600,601.0,215
2010-09-20,601.0,590,580,580.0,96
2010-09-27,580.0,570,570,570.0,15
2010-09-28,570.0,581,570,576.0,115
2010-09-29,576.0,587,587,587.0,30
2010-09-30,587.0,608,597,608.0,80
2010-10-03,608.0,630,596,630.0,2088
2010-10-05,618.0,629,605,629.0,1050
2010-10-06,629.0,617,610,610.0,435
2010-10-10,610.0,610,610,610.0,35
2010-10-12,610.0,622,622,622.0,60
2010-10-28,622.0,635,634,635.0,192
2010-10-31,635.0,647,635,635.0,265
2010-11-02,647.0,659,647,659.0,200
2010-11-03,659.0,710,660,710.0,635
2010-11-04,710.0,724,710,724.0,300
2010-11-09,724.0,725,710,725.0,417
2010-11-11,725.0,755,739,755.0,322
2010-11-14,755.0,760,760,760.0,24
2010-11-15,760.0,761,761,761.0,75
2010-11-16,761.0,761,760,760.0,335
2010-11-18,760.0,760,760,760.0,120
2010-11-21,760.0,760,760,760.0,60
2010-11-22,760.0,755,750,755.0,53
2010-11-23,755.0,755,750,751.0,121
2010-11-24,751.0,750,750,750.0,455
2010-11-25,750.0,750,750,750.0,90
2010-11-28,750.0,765,760,765.0,87
2010-11-29,765.0,765,765,765.0,20
2010-11-30,765.0,765,765,765.0,15
2010-12-05,765.0,750,750,750.0,12
2010-12-07,750.0,735,710,722.0,249
2010-12-08,722.0,730,730,730.0,100
2010-12-09,730.0,743,730,743.0,590
2010-12-13,743.0,729,729,729.0,15
2010-12-14,729.0,715,715,715.0,155
2010-12-16,715.0,715,715,715.0,20
2010-12-20,715.0,701,701,701.0,15
2010-12-23,701.0,701,701,701.0,45
2010-12-29,701.0,715,700,715.0,1755
2011-01-02,715.0,715,715,715.0,119
2011-01-03,715.0,720,716,720.0,210
2011-01-04,720.0,725,725,725.0,15
2011-01-06,725.0,725,725,725.0,140
2011-01-09,725.0,730,723,730.0,695
2011-01-12,730.0,730,730,730.0,159
2011-01-13,730.0,730,730,730.0,105
2011-01-16,730.0,735,735,735.0,75
2011-01-18,735.0,749,749,749.0,30
2011-01-20,749.0,793,759,793.0,83
2011-01-23,793.0,808,792,792.0,210
2011-01-24,792.0,777,777,777.0,2098
2011-02-02,777.0,792,791,792.0,150
2011-02-03,792.0,792,777,785.0,1136
2011-02-06,785.0,785,785,785.0,25
2011-02-07,785.0,785,785,785.0,30
2011-02-09,785.0,770,770,770.0,30
2011-02-10,770.0,785,770,770.0,195
2011-02-14,770.0,771,771,771.0,95
2011-02-15,771.0,781,773,781.0,40
2011-02-17,781.0,780,780,780.0,30
2011-02-20,780.0,780,780,780.0,15
2011-02-21,780.0,790,785,790.0,54
2011-02-22,790.0,780,780,780.0,135
2011-02-23,780.0,780,780,780.0,30
2011-02-24,780.0,785,780,780.0,184
2011-02-27,780.0,780,780,780.0,90
2011-02-28,780.0,780,780,780.0,60
2011-03-09,780.0,785,726,726.0,175
2011-03-13,726.0,720,720,720.0,60
2011-03-14,720.0,721,721,721.0,13
2011-03-15,721.0,725,721,725.0,118
2011-03-17,725.0,721,721,721.0,120
2011-03-24,721.0,725,725,725.0,13
2011-03-29,725.0,725,725,725.0,60
2011-03-31,725.0,715,715,715.0,20
2011-04-18,715.0,701,701,701.0,450
2011-04-27,701.0,701,701,701.0,30
2011-05-02,701.0,687,648,648.0,3083
2011-05-03,648.0,648,648,648.0,30
2011-05-05,648.0,660,660,660.0,100
2011-05-12,660.0,647,640,640.0,130
2011-05-15,640.0,660,647,647.0,235
2011-05-19,647.0,635,635,635.0,15
2011-05-24,635.0,630,630,630.0,30
2011-05-30,630.0,618,606,606.0,88
2011-06-13,606.0,594,594,594.0,100
2011-06-14,594.0,583,572,572.0,60
2011-06-15,572.0,561,561,561.0,24
2011-06-16,561.0,561,558,558.0,930
2011-06-20,558.0,590,569,590.0,51
2011-06-23,590.0,647,601,647.0,109
2011-06-26,647.0,659,659,659.0,59
2011-06-29,659.0,672,659,659.0,220
2011-06-30,659.0,646,640,640.0,250
2011-07-03,640.0,628,616,616.0,290
2011-07-04,616.0,605,605,605.0,143
2011-07-06,605.0,600,600,600.0,20
2011-07-12,600.0,599,577,599.0,95
2011-07-13,599.0,588,577,577.0,30
2011-07-14,577.0,566,566,566.0,30
2011-07-18,566.0,577,577,577.0,17
2011-07-20,577.0,600,588,600.0,641
2011-07-21,600.0,600,590,591.0,125
2011-07-24,591.0,585,585,585.0,23
2011-07-25,585.0,577,575,577.0,55
2011-07-31,577.0,577,577,577.0,453
2011-08-02,577.0,610,588,610.0,62
2011-08-03,610.0,601,601,601.0,125
2011-08-08,601.0,600,600,600.0,156
2011-08-09,600.0,600,595,600.0,306
2011-08-16,600.0,610,610,610.0,345
2011-08-17,610.0,610,610,610.0,30
2011-08-23,610.0,601,598,601.0,120
2011-08-24,601.0,600,600,600.0,100
2011-08-28,600.0,590,580,580.0,75
2011-08-29,580.0,570,570,570.0,2655
2011-08-30,570.0,559,559,559.0,12
2011-09-01,559.0,570,559,570.0,375
2011-09-04,570.0,570,570,570.0,30
2011-09-06,570.0,560,560,560.0,27
2011-09-07,560.0,550,550,550.0,60
2011-09-13,550.0,550,539,539.0,147
2011-09-18,539.0,529,529,529.0,45
2011-09-19,529.0,525,525,525.0,15
2011-09-25,525.0,545,535,545.0,40
2011-09-26,545.0,535,535,535.0,42
2011-09-29,535.0,545,545,545.0,15
2011-10-09,545.0,545,545,545.0,12
2011-10-10,545.0,545,545,545.0,15
2011-10-24,545.0,555,555,555.0,30
2011-11-02,555.0,565,565,565.0,20
2011-11-03,565.0,595,576,595.0,50
2011-11-06,595.0,606,596,606.0,34
2011-11-08,606.0,615,610,615.0,225
2011-11-09,615.0,615,603,615.0,133
2011-11-10,615.0,664,620,660.0,635
2011-11-13,660.0,673,670,670.0,414
2011-11-14,670.0,657,635,635.0,224
2011-11-15,635.0,623,600,600.0,4020
2011-11-16,600.0,610,600,600.0,788
2011-11-17,600.0,612,600,612.0,2015
2011-11-20,612.0,600,600,600.0,840
2011-11-21,600.0,610,601,610.0,27
2011-11-24,610.0,601,590,590.0,117
2011-11-27,590.0,601,601,601.0,24
2011-11-28,601.0,602,602,602.0,50
2011-12-06,602.0,606,595,606.0,503
2011-12-07,606.0,605,600,600.0,686
2011-12-15,600.0,589,589,589.0,24
2011-12-20,589.0,590,590,590.0,24
2011-12-27,590.0,579,579,579.0,24
2011-12-28,579.0,590,590,590.0,165
2011-12-29,590.0,600,599,600.0,330
2012-01-04,600.0,589,558,558.0,3045
2012-01-05,558.0,569,569,569.0,375
2012-01-12,569.0,615,580,615.0,250
2012-01-16,615.0,627,627,627.0,200
2012-01-17,627.0,627,615,627.0,80
2012-01-22,627.0,625,625,625.0,45
2012-01-23,625.0,627,621,621.0,525
2012-01-26,621.0,621,621,621.0,376
2012-01-29,621.0,622,620,622.0,150
2012-01-31,622.0,632,620,632.0,250
2012-02-01,632.0,635,631,631.0,560
2012-02-02,631.0,631,631,631.0,50
2012-02-05,631.0,635,632,635.0,45
2012-02-06,635.0,647,647,647.0,200
2012-02-07,647.0,640,635,640.0,1015
2012-02-08,640.0,640,640,640.0,15
2012-02-14,640.0,640,635,640.0,45
2012-02-15,640.0,650,645,645.0,43
2012-02-23,645.0,641,640,641.0,138
2012-02-26,641.0,642,642,642.0,172
2012-02-29,642.0,654,654,654.0,53
2012-03-01,654.0,650,650,650.0,30
2012-03-04,650.0,650,650,650.0,108
2012-03-05,650.0,660,647,650.0,135
2012-03-06,650.0,660,650,660.0,43
2012-03-11,660.0,660,660,660.0,500
2012-03-12,660.0,659,647,659.0,28
2012-03-13,659.0,659,659,659.0,20
2012-03-14,659.0,655,655,655.0,1250
2012-03-19,655.0,645,645,645.0,4395
2012-03-20,645.0,640,640,640.0,27
2012-03-25,640.0,640,630,630.0,160
2012-03-28,630.0,640,630,630.0,36107
2012-04-01,630.0,640,640,640.0,1000
2012-04-03,640.0,640,640,640.0,175
2012-04-04,640.0,640,630,630.0,25
2012-04-12,630.0,642,642,642.0,20
2012-04-15,642.0,654,654,654.0,10
2012-04-16,654.0,693,667,693.0,40
2012-04-17,693.0,706,706,706.0,13
2012-04-18,706.0,776,719,776.0,95
2012-04-19,776.0,837,791,829.0,894
2012-04-22,829.0,820,820,820.0,10
2012-04-24,820.0,846,815,830.0,1776
2012-04-25,830.0,835,830,835.0,1500
2012-04-26,835.0,846,814,820.0,6259
2012-04-29,820.0,861,820,861.0,3980
2012-05-03,861.0,861,861,861.0,23
2012-05-08,861.0,861,861,861.0,305
2012-05-09,861.0,895,878,895.0,60
2012-05-16,895.0,928,911,928.0,80
2012-05-22,928.0,910,910,910.0,10
2012-05-24,910.0,945,892,945.0,262
2012-05-27,945.0,963,945,945.0,20
2012-06-10,945.0,927,927,927.0,15
2012-06-11,927.0,909,909,909.0,30
2012-06-12,909.0,927,927,927.0,10
2012-06-19,927.0,909,866,899.0,155
2012-07-02,899.0,899,899,899.0,60
2012-07-09,899.0,882,810,810.0,260
2012-07-10,810.0,794,756,767.0,672
2012-07-11,767.0,785,774,780.0,1195
2012-07-12,780.0,785,766,785.0,185
2012-07-15,785.0,785,785,785.0,500
2012-07-17,785.0,804,785,795.0,1821
2012-07-18,795.0,803,795,803.0,2060
2012-07-19,803.0,815,800,815.0,1404
2012-07-22,815.0,846,804,846.0,2531
2012-07-23,846.0,850,830,850.0,406
2012-07-24,850.0,845,833,845.0,1376
2012-07-25,845.0,840,840,840.0,823
2012-07-26,840.0,841,841,841.0,30
2012-07-30,841.0,870,848,860.0,2877
2012-07-31,860.0,860,860,860.0,24
2012-08-01,860.0,865,865,865.0,60
2012-08-05,865.0,865,849,849.0,582
2012-08-06,849.0,865,864,864.0,299
2012-08-07,864.0,865,865,865.0,515
2012-08-12,865.0,881,865,871.0,699
2012-08-13,871.0,879,865,879.0,988
2012-08-14,879.0,880,866,875.0,1472
2012-08-15,875.0,878,870,870.0,814
2012-08-16,870.0,885,870,885.0,712
2012-08-19,885.0,885,875,876.0,928
2012-08-21,876.0,875,870,870.0,2577
2012-08-22,870.0,870,865,870.0,72
2012-08-23,870.0,890,885,890.0,132
2012-08-27,890.0,890,875,875.0,3835
2012-08-28,875.0,880,874,880.0,1115
2012-09-05,880.0,914,897,914.0,536
