date,open,high,low,adjclose,volume
2010-04-19,265.0,260,260,260.0,2987
2010-04-21,260.0,265,245,245.0,1920
2010-04-22,245.0,249,245,249.0,466
2010-04-25,249.0,246,242,242.0,331
2010-04-26,242.0,255,246,255.0,300
2010-04-27,255.0,250,242,242.0,1719
2010-04-28,242.0,248,240,248.0,1520
2010-04-29,248.0,265,250,265.0,700
2010-05-09,265.0,260,260,260.0,495
2010-05-10,260.0,260,255,260.0,1833
2010-05-11,260.0,280,260,280.0,2811
2010-05-12,280.0,298,280,287.0,1213
2010-05-13,287.0,297,282,282.0,1993
2010-05-17,282.0,277,272,272.0,344
2010-05-18,272.0,267,262,262.0,144
2010-05-19,262.0,272,267,272.0,99
2010-05-20,272.0,287,272,285.0,1157
2010-05-23,285.0,280,280,280.0,20
2010-05-24,280.0,287,285,285.0,371
2010-05-25,285.0,310,290,305.0,665
2010-05-26,305.0,310,300,306.0,1328
2010-05-30,306.0,324,312,324.0,204
2010-05-31,324.0,330,305,306.0,1265
2010-06-01,306.0,300,276,285.0,2743
2010-06-02,285.0,285,281,285.0,306
2010-06-03,285.0,295,290,295.0,700
2010-06-06,295.0,300,290,290.0,711
2010-06-07,290.0,290,285,290.0,300
2010-06-08,290.0,300,295,300.0,229
2010-06-09,300.0,306,297,298.0,774
2010-06-10,298.0,300,293,295.0,506
2010-06-13,295.0,290,272,277.0,2108
2010-06-14,277.0,272,271,271.0,2232
2010-06-16,271.0,281,276,280.0,645
2010-06-17,280.0,287,285,286.0,300
2010-06-20,286.0,287,287,287.0,100
2010-06-21,287.0,294,290,294.0,373
2010-06-22,294.0,295,290,295.0,484
2010-06-23,295.0,290,290,290.0,300
2010-06-24,290.0,290,275,275.0,956
2010-06-28,275.0,272,270,272.0,368
2010-06-29,272.0,276,270,276.0,450
2010-06-30,276.0,277,277,277.0,26
2010-07-01,277.0,287,282,287.0,210
2010-07-05,287.0,285,280,280.0,487
2010-07-06,280.0,285,285,285.0,55
2010-07-07,285.0,290,285,285.0,685
2010-07-08,285.0,285,280,281.0,1658
2010-07-11,281.0,281,278,278.0,200
2010-07-12,278.0,282,278,278.0,572
2010-07-13,278.0,273,273,273.0,132
2010-07-14,273.0,282,278,280.0,1238
2010-07-15,280.0,295,285,295.0,281
2010-07-18,295.0,290,290,290.0,300
2010-07-19,290.0,298,295,298.0,140
2010-07-20,298.0,301,298,301.0,144
2010-07-21,301.0,306,299,299.0,250
2010-07-22,299.0,304,285,289.0,2856
2010-07-25,289.0,286,281,286.0,551
2010-07-26,286.0,283,283,283.0,143
2010-07-27,283.0,288,285,285.0,690
2010-07-28,285.0,290,287,288.0,1950
2010-07-29,288.0,289,285,289.0,1899
2010-08-01,289.0,290,280,285.0,1388
2010-08-02,285.0,289,285,285.0,1249
2010-08-03,285.0,285,285,285.0,160
2010-08-04,285.0,281,280,280.0,115
2010-08-05,280.0,280,280,280.0,189
2010-08-08,280.0,280,280,280.0,200
2010-08-09,280.0,278,270,270.0,223
2010-08-10,270.0,271,270,271.0,216
2010-08-11,271.0,279,274,275.0,456
2010-08-12,275.0,280,275,280.0,1586
2010-08-15,280.0,280,280,280.0,132
2010-08-16,280.0,288,278,288.0,1208
2010-08-17,288.0,285,283,285.0,289
2010-08-18,285.0,285,280,280.0,154
2010-08-19,280.0,285,285,285.0,433
2010-08-22,285.0,285,275,280.0,172
2010-08-23,280.0,285,281,285.0,1790
2010-08-26,285.0,291,288,291.0,787
2010-08-29,291.0,296,291,291.0,425
2010-08-30,291.0,286,285,285.0,790
2010-08-31,285.0,285,280,285.0,882
2010-09-02,285.0,285,278,280.0,828
2010-09-05,280.0,275,265,265.0,664
2010-09-06,265.0,280,270,280.0,296
2010-09-07,280.0,285,270,270.0,4114
2010-09-08,270.0,276,270,276.0,7257
2010-09-09,276.0,280,278,280.0,1416
2010-09-12,280.0,285,280,280.0,871
2010-09-13,280.0,276,275,275.0,205
2010-09-14,275.0,279,276,276.0,2583
2010-09-15,276.0,276,276,276.0,155
2010-09-16,276.0,296,275,289.0,2580
2010-09-19,289.0,292,287,287.0,230
2010-09-20,287.0,287,282,285.0,1013
2010-09-21,285.0,283,280,280.0,1457
2010-09-23,280.0,285,270,270.0,7680
2010-09-28,270.0,248,245,248.0,365
2010-09-29,248.0,246,246,246.0,72
2010-09-30,246.0,251,247,251.0,2286
2010-10-03,251.0,260,255,260.0,791
2010-10-05,260.0,255,250,250.0,400
2010-10-06,250.0,245,245,245.0,180
2010-10-21,245.0,245,245,245.0,58
2010-10-24,245.0,246,242,242.0,1322
2010-10-31,242.0,250,245,248.0,859
2010-11-11,248.0,250,250,250.0,147
2010-11-14,250.0,255,253,255.0,163
2010-11-15,255.0,255,255,255.0,243
2010-11-16,255.0,266,260,266.0,203
2010-11-18,266.0,286,271,281.0,161
2010-11-21,281.0,276,271,271.0,917
2010-11-22,271.0,273,270,273.0,508
2010-11-23,273.0,278,277,278.0,110
2010-11-24,278.0,282,273,275.0,1149
2010-11-25,275.0,271,270,271.0,522
2010-11-28,271.0,270,268,268.0,492
2010-11-29,268.0,272,268,268.0,457
2010-12-02,268.0,268,265,265.0,760
2010-12-05,265.0,264,260,260.0,924
2010-12-06,260.0,260,250,250.0,1377
2010-12-07,250.0,254,246,249.0,763
2010-12-08,249.0,250,245,250.0,2038
2010-12-12,250.0,250,250,250.0,358
2010-12-13,250.0,255,250,250.0,687
2010-12-14,250.0,251,248,248.0,721
2010-12-15,248.0,247,246,246.0,200
2010-12-16,246.0,248,245,245.0,270
2010-12-20,245.0,242,240,241.0,937
2010-12-22,241.0,245,245,245.0,100
2010-12-26,245.0,260,249,260.0,1060
2010-12-27,260.0,269,260,269.0,530
2010-12-28,269.0,264,259,264.0,430
2010-12-29,264.0,264,260,263.0,306
2011-01-02,263.0,258,253,256.0,2092
2011-01-03,256.0,255,255,255.0,1026
2011-01-04,255.0,255,253,253.0,773
2011-01-05,253.0,264,250,264.0,842
2011-01-06,264.0,264,259,264.0,242
2011-01-09,264.0,262,255,255.0,469
2011-01-10,255.0,255,255,255.0,430
2011-01-11,255.0,270,255,270.0,1109
2011-01-12,270.0,265,256,256.0,245
2011-01-13,256.0,265,255,263.0,666
2011-01-16,263.0,266,265,266.0,315
2011-01-17,266.0,270,266,269.0,437
2011-01-18,269.0,270,265,269.0,847
2011-01-19,269.0,273,269,273.0,798
