date,adjclose,open,high,low,volume,other,RSI
1553385600,418,464,464,418,3920,ok,
1553472000,377,398,398,377,90,ok,
1553558400,340,359,359,340,500,ok,
1553731200,333,323,353,323,78450,ok,
1553990400,325,335,335,323,32407,ok,
1554076800,330,323,332,321,31990,ok,
1554163200,329,327,336,325,38720,ok,
1554249600,325,327,329,324,18011,ok,
1554336000,321,330,330,320,33290,ok,
1554595200,320,319,322,318,14305,ok,
1554768000,310,323,323,308,14819,ok,
1554854400,308,305,311,305,14774,ok,
1554940800,306,307,310,306,16100,ok,
1555286400,308,304,308,304,4335,ok,
1555372800,311,308,312,307,14905,ok,11.947635206415498
1555545600,309,305,310,300,17750,ok,11.54734652223064
1555804800,305,311,311,303,18065,ok,10.77015510481776
1555891200,305,305,311,304,20035,ok,10.77015510481776
1555977600,310,306,311,305,23310,ok,18.7025129616283
1556064000,307,306,311,305,22930,ok,17.686564722532353
1556150400,310,306,311,306,20838,ok,22.235776360038955
1556409600,324,310,332,310,45502,ok,39.13980495455554
1556496000,320,323,328,316,28956,ok,36.68606704572943
1556582400,328,319,330,316,22059,ok,44.2181807670165
1556755200,344,322,349,322,74542,ok,55.59590239849254
1557014400,358,346,372,338,129045,ok,62.7545169329921
1557100800,388,375,393,355,132126,ok,72.85383951094163
1557187200,379,390,395,378,127407,ok,66.98562247018228
1557273600,390,375,398,375,105925,ok,70.15029400338412
1557360000,411,384,420,384,124569,ok,75.06451459129099
1557619200,452,413,452,410,153906,ok,81.47643812924251
1557705600,497,455,497,455,233289,ok,85.79413029292677
1557792000,546,506,546,506,157535,ok,88.84357341129437
1557878400,520,573,590,514,237479,ok,79.1364365765481
1557964800,572,520,572,501,245337,ok,83.11095789590448
1558224000,629,600,629,570,306224,ok,86.21168611246121
1558310400,595,660,678,580,399171,ok,77.1168156870955
1558396800,585,600,608,557,118395,ok,74.62330839424938
1558483200,550,575,584,545,110790,ok,66.51660377817714
1558569600,547,550,579,532,73193,ok,65.85620773582642
1558828800,560,550,589,542,84403,ok,67.36810895866387
1558915200,588,560,597,556,125412,ok,70.40753873041369
1559001600,646,588,646,586,265038,ok,75.49847473103198
1559088000,679,678,710,650,298013,ok,77.83492423520786
1559174400,661,712,712,640,255064,ok,73.70624796648669
1559433600,671,665,687,640,140252,ok,74.51503204648142
1559520000,655,673,675,650,92219,ok,70.76444046730202
1559606400,675,650,688,643,180829,ok,72.61963642249826
1559779200,678,685,688,672,114304,ok,72.89745697052983
1560124800,671,678,684,669,57870,ok,71.0850126784554
1560211200,667,670,676,662,56549,ok,70.01378331300273
1560297600,665,662,670,656,64326,ok,69.45023284080334
1560384000,664,665,671,657,39563,ok,69.15052408172818
1560643200,646,656,659,646,39141,ok,63.81240757423948
1560729600,656,646,671,644,49325,ok,65.40996244675895
1560816000,656,665,665,652,29720,ok,65.40996244675897
1560902400,653,663,663,652,15728,ok,64.42047421641087
1560988800,655,652,659,651,46254,ok,64.80274312362491
1561248000,651,650,660,647,26368,ok,63.33705567319198
1561334400,660,650,669,647,78444,ok,65.24194873569681
1561420800,658,666,668,657,28912,ok,64.44068483383612
1561507200,653,650,657,650,17328,ok,62.37812911357995
1561593600,644,662,664,644,46090,ok,58.73401142260615
1561852800,616,641,644,616,92576,ok,49.11974119260515
1561939200,619,617,627,607,29108,ok,50.06292784023053
1562025600,618,610,622,610,17637,ok,49.731989114134926
1562112000,620,620,627,616,30698,ok,50.43765299519748
1562198400,615,624,624,611,18280,ok,48.60080041638077
