,id,contractId,contractType,stockSymbol,buyerMemberId,sellerMemberId,contractQuantity,contractRate,contractAmount,businessDate,tradeBookId,stockId,buyerBrokerName,sellerBrokerName,tradeTime,securityName
0,,2021053105001360,,KLBSL,37,16,80,1655.0,132400.0,2021-05-31,30215699,694,Swarna Laxmi Securities Pvt. Ltd.,Primo Securities (PVT) Ltd.,2021-05-31T14:59:59.679583,Kisan Lagubitta Bittiya Sanstha Limited
1,,2021053105001359,,SHL,58,38,100,240.0,24000.0,2021-05-31,30214551,147,Naasa Securities Co. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T14:59:41.165067,Soaltee Hotel Limited
2,,2021053105001358,,KLBSL,7,7,50,1656.0,82800.0,2021-05-31,30213796,694,J.F. Securites (PVT) Ltd.,J.F. Securites (PVT) Ltd.,2021-05-31T14:59:30.475507,Kisan Lagubitta Bittiya Sanstha Limited
3,,2021053105001357,,SHL,43,38,161,240.0,38640.0,2021-05-31,30212646,147,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T14:59:12.062916,Soaltee Hotel Limited
4,,2021053105001356,,SHL,43,38,189,240.0,45360.0,2021-05-31,30212637,147,South Asian Bulls Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T14:59:12.062148,Soaltee Hotel Limited
5,,2021053105001355,,SHL,56,38,121,240.0,29040.0,2021-05-31,30212217,147,Sri Hari Securities Pvt. Ltd.,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,2021-05-31T14:59:05.380709,Soaltee Hotel Limited
6,,2021053105001354,,SHL,56,25,100,240.0,24000.0,2021-05-31,30212210,147,Sri Hari Securities Pvt. Ltd.,Sweta Securities Private Limited,2021-05-31T14:59:05.380053,Soaltee Hotel Limited
7,,2021053105001353,,SHL,56,42,200,240.0,48000.0,2021-05-31,30212198,147,Sri Hari Securities Pvt. Ltd.,Sani Securities Company Ltd.,2021-05-31T14:59:05.379409,Soaltee Hotel Limited
8,,2021053105001352,,SHL,56,43,141,240.0,33840.0,2021-05-31,30212188,147,Sri Hari Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2021-05-31T14:59:05.378582,Soaltee Hotel Limited
9,,2021053105001351,,SHL,21,43,100,240.0,24000.0,2021-05-31,30212181,147,Midas Stock Broking Company Private Limited,South Asian Bulls Pvt. Ltd.,2021-05-31T14:59:05.347011,Soaltee Hotel Limited
10,,2021053105001350,,SHL,42,43,200,240.0,48000.0,2021-05-31,30212026,147,Sani Securities Company Ltd.,South Asian Bulls Pvt. Ltd.,2021-05-31T14:59:03.250428,Soaltee Hotel Limited
11,,2021053105001349,,SHL,49,43,100,240.0,24000.0,2021-05-31,30211633,147,Online Securities Pvt. Ltd.,South Asian Bulls Pvt. Ltd.,2021-05-31T14:58:54.551118,Soaltee Hotel Limited
12,,2021053105001348,,SHL,34,43,150,240.0,36000.0,2021-05-31,30210952,147,Vision Securities Pvt. Ltd,South Asian Bulls Pvt. Ltd.,2021-05-31T14:58:40.860497,Soaltee Hotel Limited
