,adjclose,open,high,low,volume,other,RSI,stoch,stochsignal,rsidata,rsidata_k,rsidata_d,macd,macddiff,macdsignal
0,879,873.0,879.0,851,799,ok,,,,,,,,,
1,900,879.0,913.0,882,1002,ok,,,,,,,,,
2,892,900.0,916.0,892,2653,ok,,,,,,,,,
3,865,892.0,875.0,842,490,ok,,,,,,,,,
4,858,865.0,875.0,858,121,ok,,,,,,,,,
5,830,858.0,845.0,814,4835,ok,,,,,,,,,
6,846,830.0,846.0,830,195,ok,,,,,,,,,
7,845,846.0,862.0,845,658,ok,,,,,,,,,
8,874,845.0,874.0,845,969,ok,,,,,,,,,
9,904,874.0,904.0,860,773,ok,,,,,,,,,
10,879,904.0,886.0,867,235,ok,,,,,,,,,
11,861,879.0,865.0,820,2244,ok,,,,,,,,,
12,882,861.0,882.0,830,1617,ok,,,,,,,,,
13,836,882.0,870.0,836,1273,ok,,21.568627450980394,,,,,,,
14,835,836.0,843.0,826,1255,ok,40.248547086263265,20.58823529411765,,,,,,,
15,840,835.0,840.0,825,442,ok,41.94277809280324,25.49019607843137,22.54901960784314,,,,,,
16,830,840.0,830.0,826,408,ok,39.52869973080651,17.77777777777778,21.285403050108933,,,,-9.77755275716072,,
17,830,830.0,830.0,823,496,ok,39.52869973080651,17.77777777777778,20.348583877995644,,,,-10.763541561002967,,
18,842,830.0,845.0,842,143,ok,44.013356546224,31.11111111111111,22.222222222222225,,,,-9.846113041165495,,
19,832,842.0,840.0,832,250,ok,41.26682612901042,14.285714285714286,21.05820105820106,,,,-10.079838680755188,,
20,850,832.0,850.0,833,382,ok,47.604776170463694,35.714285714285715,27.037037037037038,,,,-7.992541871563958,,
21,829,850.0,840.0,824,1035,ok,41.921098174828074,10.714285714285714,20.238095238095237,,,,-8.685459093072268,,
22,824,829.0,829.0,824,545,ok,40.675863760128806,4.761904761904762,17.063492063492063,,,,-9.505612750088517,,
23,830,824.0,833.0,820,816,ok,42.868954324191996,15.151515151515152,10.209235209235208,,,,-9.171259408023388,,
24,841,830.0,841.0,830,187,ok,46.755185064483555,33.87096774193548,17.928129218451797,,,,-7.491428470101255,1.5037862014754388,-8.995214671576694
25,840,841.0,840.0,830,437,ok,46.44587393493624,32.25806451612903,27.093515803193224,,,,-6.256201439683537,2.1912105855145256,-8.447412025198062
26,843,840.0,843.0,828,1780,ok,47.56655010705643,46.0,37.376344086021504,0.9952667531451844,,,-4.914409876933291,2.826401718611817,-7.740811595545108
27,876,843.0,876.0,832,885,ok,57.98242113845492,100.0,59.41935483870967,1.0,,,-0.1987413921448251,6.033656162720226,-6.232397554865051
28,860,876.0,870.0,860,447,ok,52.533457934647615,71.42857142857143,72.47619047619048,0.7047227990800315,0.8999965174084054,,1.2886032736878406,6.016800662842314,-4.728197389154474
29,843,860.0,860.0,843,182,ok,47.4329726994421,41.07142857142857,70.83333333333333,0.42832948401180226,0.7110174276972779,,0.396184690221844,4.099505663501054,-3.7033209732792103
30,850,843.0,850.0,833,1286,ok,49.60275472249535,53.57142857142857,55.35714285714286,0.5459091296085952,0.5596538042334763,0.7235559164463865,0.5471993809067044,3.400416283348732,-2.8532169024420275
31,850,850.0,850.0,836,170,ok,49.60275472249535,53.57142857142857,49.404761904761905,0.5158097458219015,0.4966827864807663,0.5891180061371736,0.6380935033330388,2.7930483246200533,-2.1549548212870144
32,850,850.0,850.0,845,79,ok,49.60275472249535,53.57142857142857,53.57142857142858,0.5158097458219015,0.5258428737507993,0.5273931548216807,0.6851784891257466,2.272106648330209,-1.5869281592044624
33,844,850.0,856.0,833,1025,ok,47.50363692887861,42.857142857142854,50.0,0.3945194309586135,0.4753796408674722,0.49930176703301266,0.034146417843430754,1.2968596616383148,-1.262713243794884
34,847,844.0,847.0,831,1055,ok,48.673216439359315,48.214285714285715,48.21428571428572,0.46209956748798625,0.45747624808950044,0.4862329209025907,-0.08345961706379512,0.943402901384871,-1.0268625184486662
35,867,847.0,867.0,845,825,ok,55.75100199028224,83.92857142857143,58.333333333333336,0.8710651055901392,0.5758947013455796,0.5029168634341841,2.0595154604586696,2.4691023831258687,-0.4095869226671991
36,861,867.0,869.0,860,602,ok,53.373164127185504,73.21428571428571,68.45238095238095,0.695023182442856,0.6760626185069939,0.5698111893140246,2.8235595767591803,2.5865171995411034,0.23704237721807675
37,887,861.0,887.0,865,497,ok,61.11313422726104,100.0,85.71428571428572,1.0,0.8553627626776651,0.7024400275100794,6.170958976256884,4.747133279231045,1.4238256970258383
38,874,887.0,876.0,870,590,ok,56.09881781656184,77.96610169491525,83.72679580306699,0.6581286272445076,0.7843839365624546,0.7719364392490379,6.88839661106374,4.371656731230321,2.516739879833419
39,883,874.0,887.0,866,571,ok,58.629577868875884,93.22033898305085,90.3954802259887,0.8184556261755541,0.8255280844733539,0.8217582612378246,8.214319010163194,4.55806330426382,3.6562557058993743
40,882,883.0,885.0,875,301,ok,58.22792741574983,91.07142857142857,87.41928974979822,0.7890955596069467,0.7552266043423361,0.788379541792715,8.817072298178573,4.128653273823359,4.688419024355214
41,885,882.0,885.0,868,361,ok,59.13244311246632,96.42857142857143,93.57344632768361,0.8552143473768976,0.8209218443864662,0.8005588444007188,9.349418465246572,3.7287995527130855,5.6206189125334864
42,880,885.0,882.0,880,256,ok,56.9202143046844,87.5,91.66666666666667,0.6935036246428637,0.7792711772089027,0.7851398753125682,8.93105486555919,2.6483487624205626,6.2827061031386275
43,880,880.0,880.0,863,501,ok,56.9202143046844,87.5,90.47619047619048,0.691912211696826,0.7468767279055292,0.782356583166966,8.421295960452767,1.7108718858513114,6.710424074601455
44,860,880.0,875.0,860,389,ok,48.50244184027998,51.785714285714285,75.5952380952381,0.07339028690795742,0.48626870774921577,0.670805537621216,5.638714594935891,-0.8573675837324517,6.496082178668343
45,852,860.0,852.0,836,446,ok,45.59763254883206,37.5,58.92857142857144,0.0,0.2551008328682612,0.49608208950766874,2.6868382287777877,-3.047395159912444,5.734233388690232
46,867,852.0,869.0,850,168,ok,51.466828979344,64.28571428571429,51.1904761904762,0.37827951375054936,0.1505566002195023,0.2973087136123264,2.2463597971429863,-2.7902988732377967,5.036658670380783
47,882,867.0,882.0,853,281,ok,56.51865617427701,91.07142857142857,64.28571428571429,0.7038782149486241,0.3607192428997245,0.25545889199582933,3.5530324913920595,-1.1869009431909792,4.739933434583039
48,874,882.0,874.0,847,307,ok,53.33029705029661,74.50980392156863,76.62231559290383,0.4983831436282321,0.5268469574424686,0.34604093352056514,3.479793057999018,-1.008112301267217,4.487905359266235
49,878,874.0,878.0,850,900,ok,54.70614173358,82.3529411764706,82.64472455648927,0.5870586316529739,0.5964399967432766,0.49466873236182324,3.787682016196527,-0.5601786744557664,4.347860690652293
50,878,878.0,878.0,845,521,ok,54.70614173358,82.3529411764706,79.73856209150328,0.5870586316529739,0.5575001356447267,0.5602623632768239,3.907020505414607,-0.35267214819014914,4.259692653604756
51,861,878.0,861.0,861,50,ok,47.76539714563927,49.01960784313726,71.24183006535948,0.1601621675172624,0.4447598102744035,0.5328999808874689,2.004167596592197,-1.8044200456100477,3.8085876422022444
52,867,861.0,873.0,850,342,ok,50.168439770589956,60.78431372549019,64.05228758169935,0.3377075135457651,0.36164277090533387,0.45463423894148797,1.3057960152682426,-2.002233301547202,3.3080293168154444
53,867,867.0,867.0,850,317,ok,50.168439770589956,63.265306122448976,57.68974256369214,0.3377075135457651,0.27852573153626425,0.3616427709053338,0.7907293413832122,-2.013839980345786,2.804569321728998
54,867,867.0,867.0,850,64,ok,50.168439770589956,63.265306122448976,62.438308656796046,0.3377075135457651,0.33770751354576517,0.3259586719957877,0.41510968187299113,-1.9115677118848056,2.3266773937577967
55,852,867.0,852.0,835,981,ok,43.86705860006282,36.170212765957444,54.2336083369518,0.0,0.22513834236384345,0.28045719581529094,-1.5214942724024922,-3.078537332928231,1.5570430605257388
56,880,852.0,880.0,852,270,ok,55.18318107235523,95.74468085106383,65.06006657982341,0.8669261846226091,0.40154456605612476,0.3214634739885778,0.28829791408384153,-1.014996117153518,1.3032940312373595
57,875,880.0,891.0,867,145,ok,53.123668016720515,71.42857142857143,67.78115501519757,0.7316553788846407,0.5328605211690833,0.3865144765296838,0.9768382426648259,-0.2611646308580269,1.2380028735228528
58,902,875.0,902.0,878,106,ok,61.48327109721753,100.0,89.05775075987843,1.0,0.8661938545024167,0.6001996472425416,4.428746661371179,2.5525950302786606,1.876151631092518
59,895,902.0,895.0,879,318,ok,58.567152998349414,89.55223880597015,86.99360341151386,0.8344639575993351,0.8553731121613253,0.7514758292776085,5.928121699949088,3.2415760550852557,2.6865456448638323
60,901,895.0,901.0,884,906,ok,60.305039503657724,98.50746268656717,96.01990049751244,0.9331166336833121,0.9225268637608824,0.8813646101415414,7.485019956250994,3.8387794491097296,3.6462405071412647
61,890,901.0,892.0,890,249,ok,55.692898523027125,82.08955223880596,90.04975124378109,0.6713043410934308,0.8129616441253594,0.8636205400158556,7.15435652958945,2.8064928179585475,4.347863711630902
62,910,890.0,925.0,885,1173,ok,61.463755954892875,83.33333333333333,87.97678275290214,0.9988922055562283,0.8677710601109904,0.8677531893324106,8.971321159808895,3.6987659585423938,5.272555201266501
63,988,910.0,988.0,920,1316,ok,75.09028110968964,100.0,88.47429519071311,1.0,0.8900655155498863,0.8569327399287454,18.672646801446717,10.720073280144174,7.952573521302544
64,1075,988.0,1075.0,1007,1840,ok,82.51632842160556,100.0,94.44444444444444,1.0,0.9996307351854093,0.9191557702820954,34.58534979316062,21.306221017486457,13.27912877567416
65,1000,1075.0,1182.0,994,2664,ok,64.62907952807662,47.55043227665706,82.5168107588857,0.5371905090026109,0.845730169667537,0.9118088068009441,36.399432113526814,18.496242670282122,17.903189443244692
66,1081,1000.0,1081.0,951,1741,ok,71.75123642969764,70.89337175792507,72.81460134486072,0.7214671314202278,0.7528858801409463,0.8660822616646309,45.75486107295217,22.28133730376598,23.473523769186187
67,1130,1081.0,1144.0,1078,3104,ok,75.02712728251797,85.01440922190201,67.81940441882806,0.8062265814162112,0.6882947406130167,0.7623035968071665,56.53750674680293,26.451186382093397,30.086320364709536
68,1200,1130.0,1200.0,1130,3423,ok,78.80797422482281,100.0,85.30259365994236,0.9040511188463454,0.810581610560928,0.750587410438297,70.37396531769218,32.230115962386115,38.14384935530607
69,1320,1200.0,1320.0,1224,880,ok,83.43731560967157,100.0,95.00480307396732,1.0,0.9034259000875188,0.8007674170871545,91.53561654404302,42.71341375098956,48.822202793053464
70,1450,1320.0,1452.0,1346,3631,ok,86.80111920949274,99.65811965811966,99.8860398860399,1.0,0.9680170396154484,0.8940081834212984,118.35019969944506,55.62239752511327,62.727802174331785
71,1550,1450.0,1550.0,1400,6246,ok,88.70195475786915,100.0,99.8860398860399,1.0,1.0,0.9571476465676557,145.0775609007244,65.87980698111409,79.1977539196103
72,1500,1550.0,1538.0,1461,4632,ok,82.31844830111552,92.54843517138599,97.40218494316855,0.8066134817263984,0.9355378272421327,0.9678516222858603,154.4180189929491,60.17621205867103,94.24180693427807
73,1400,1500.0,1470.0,1380,2746,ok,71.2711835691899,77.47747747747748,90.00863754962116,0.4719397287620558,0.7595177368294848,0.8983518546905391,145.95171794577232,41.36792880919539,104.58378913657693
74,1260,1400.0,1372.0,1260,956,ok,59.27732548847639,56.390977443609025,75.47229669749082,0.10858919867166031,0.46238080305337154,0.7191454557083296,120.93917109968038,13.084305570482755,107.85486552919762
75,1386,1260.0,1386.0,1285,522,ok,64.98801853717123,75.33834586466165,69.73560026191605,0.19407867458282813,0.25820253400551474,0.49336702462945703,114.66039374683464,5.444422574109609,109.21597117272503
76,1524,1386.0,1524.0,1413,1302,ok,69.95721275449641,95.87301587301587,75.86744639376218,0.3629574112299571,0.22187509482814852,0.31415281062901157,122.82172313877277,10.884601572838179,111.93712156593459
77,1524,1524.0,1585.0,1470,4092,ok,69.95721275449641,90.37854889589906,87.19663687785885,0.3629574112299571,0.30666449901424747,0.26224737594930353,125.43148856680932,10.795493600699785,114.63599496610954
78,1459,1524.0,1554.0,1415,6781,ok,64.92364614183768,80.12618296529969,88.79258257807153,0.1918909700328672,0.3059352641642605,0.27815828600221876,116.91647482404937,1.8243838863518675,115.0920909376975
79,1420,1459.0,1453.0,1387,3591,ok,62.03930782183868,73.97476340694006,81.4931650893796,0.09386634265041635,0.21623824130441358,0.2762793348276405,103.80939187043646,-9.026159253808842,112.8355511242453
80,1302,1420.0,1392.0,1290,1788,ok,54.194211450231634,44.18145956607495,66.09413531277157,0.0,0.09525243756109451,0.20580864767658946,79.07339891805123,-27.00972176495526,106.08312068300648
81,1219,1302.0,1276.0,1200,2577,ok,49.4568297137039,19.560439560439562,45.90555417781818,0.0,0.03128878088347212,0.11425981991632668,50.797319866573844,-44.228640653146115,95.02596051971996
82,1340,1219.0,1340.0,1219,2424,ok,55.55624478077895,36.36363636363637,33.368511830050295,0.15541841337518914,0.05180613779172971,0.05944911874543205,43.43861534045186,-41.26987614341449,84.70849148386635
83,1474,1340.0,1474.0,1340,1090,ok,61.1479442703497,71.16883116883118,42.36430236430237,0.2978997912094556,0.15110606819488157,0.07806699562336107,52.16744640040588,-26.032836066768382,78.20028246717426
84,1450,1474.0,1563.0,1421,6367,ok,59.69919679801954,64.93506493506493,57.489177489177486,0.26098444259737263,0.23810088239400576,0.14700436279353896,54.24744203690716,-19.16227234421369,73.40971438112085
85,1450,1450.0,1458.0,1390,1648,ok,59.69919679801954,64.93506493506493,67.01298701298701,0.3116817589818665,0.29018866426289824,0.22646520495059516,54.346020698268376,-15.25095494628198,69.59697564455035
86,1445,1450.0,1460.0,1400,3948,ok,59.35939285835073,63.63636363636363,64.50216450216449,0.4539471217093363,0.3422044410961918,0.2901646625843652,52.51674123702992,-13.664187526016349,66.18092876304627
87,1438,1445.0,1438.0,1380,1664,ok,58.85432351000404,61.81818181818182,63.463203463203456,0.4584057662532759,0.4080115489814929,0.3468015514468609,49.17756676414842,-13.602689599118278,62.7802563632667
88,1325,1438.0,1410.0,1325,617,ok,51.27040895956848,32.467532467532465,52.640692640692635,0.08846562731319989,0.333606171758604,0.3612740539454295,33.09918523316492,-23.74485690408143,56.84404213724635
89,1369,1325.0,1400.0,1300,3006,ok,53.76852018114078,43.896103896103895,46.06060606060606,0.2103224344080456,0.2523979426581738,0.33133855446609023,26.054892193641535,-24.63131995488385,50.686212148525385
90,1420,1369.0,1448.0,1372,4735,ok,56.54900731278985,57.142857142857146,44.502164502164504,0.3459534187714263,0.21491382683089064,0.2669726470825561,26.20809966770821,-19.58248998465374,45.79058965236195
91,1338,1420.0,1392.0,1338,30,ok,51.215500264409556,38.01652892561984,46.35182998819363,0.11370604667594542,0.2233272999518058,0.23021302314695669,16.555796201193516,-23.38783476093475,39.94363096212827
92,1205,1338.0,1312.0,1205,399,ok,43.97145441341178,1.3774104683195592,32.17893217893218,0.0,0.15321982181579058,0.19715364953282896,-5.303964126302844,-36.19807607074489,30.894111944442045
93,1200,1205.0,1228.0,1113,5417,ok,43.72108931210366,19.333333333333332,19.575757575757578,0.0,0.03790201555864847,0.13814971244208155,-20.841478324909986,-41.38847221548163,20.546993890571642
94,1313,1200.0,1320.0,1210,2718,ok,50.570903017916464,44.44444444444444,21.718396082032445,0.39306080886222183,0.13102026962074062,0.10738070233172652,-18.513303491233273,-31.24823790544393,12.734934414210658
95,1290,1313.0,1313.0,1265,2280,ok,49.25678840338238,39.333333333333336,34.370370370370374,0.31765336341766837,0.23690472409329674,0.1352756697575619,-19.002138087920002,-25.38965800170453,6.387519913784526
96,1242,1290.0,1265.0,1217,1088,ok,46.538810627714355,28.666666666666668,37.48148148148149,0.16168845855215022,0.29080087694401346,0.2195752902193502,-24.20424254765635,-24.4734099691527,0.269167421496352
97,1206,1242.0,1221.0,1190,4535,ok,44.553153735836624,20.666666666666668,29.55555555555556,0.05207528015857949,0.17713903404279938,0.2349482116933698,-31.203123592716793,-25.177832811370514,-6.025290781346277
98,1225,1206.0,1258.0,1210,1504,ok,45.865943798217124,32.27665706051873,27.203330131284023,0.13423707957929792,0.11600027276334253,0.19464672791671842,-33.1602975598521,-21.708005422804654,-11.452292137047442
99,1205,1225.0,1210.0,1188,1572,ok,44.66708745793931,26.512968299711815,26.485430675632404,0.060492376493272694,0.08226824541038337,0.1251358507388417,-35.91685493071486,-19.571650234933937,-16.345204695780925
100,1200,1205.0,1253.0,1200,602,ok,44.354951636655926,25.970149253731343,28.253258204653964,0.04188545001439406,0.07887163536232156,0.09238005117868242,-37.491342620923206,-16.916910340113823,-20.574432280809383
101,1210,1200.0,1210.0,1195,1025,ok,45.1800566734437,28.955223880597014,27.146113811346726,0.11373376110308805,0.0720371958702516,0.0777256922143188,-36.543054045735744,-12.77489741194109,-23.768156633794653
102,1220,1210.0,1220.0,1201,197,ok,46.041696342509795,31.940298507462686,28.955223880597018,0.18090285814752025,0.11217402308833413,0.08769428477363571,-33.87403838768705,-8.084705403113919,-25.789332984573132
103,1212,1220.0,1215.0,1196,903,ok,45.42655966779624,29.55223880597015,30.149253731343283,0.1329498953455558,0.14252883819872134,0.10891335238576898,-32.08128587378428,-5.033562311368918,-27.047723562415364
104,1205,1212.0,1205.0,1194,306,ok,44.86176652969638,32.97491039426523,31.489149235899358,0.15220371885822026,0.1553521574504321,0.13668500624582913,-30.827499299387682,-3.023820589577852,-27.80367870980983
105,1210,1205.0,1224.0,1200,320,ok,45.38410887680935,46.85990338164251,36.46235086062597,0.24278318157681497,0.17597893192686365,0.15795330919200565,-28.643955512165576,-0.6722214418845951,-27.97173407028098
106,1211,1210.0,1211.0,1186,624,ok,45.49532067325075,47.34299516908212,42.39260298166329,0.2590189218783388,0.21800194077112467,0.18311101004947342,-26.315975720699043,1.3246066796655498,-27.640582400364593
107,1212,1211.0,1258.0,1195,226,ok,45.61458182183414,19.402985074626866,37.86862787511717,0.20264479367963945,0.23481563237826442,0.20959883502541754,-23.9456199211495,2.955969983372075,-26.901589904521575
108,1205,1212.0,1212.0,1200,730,ok,44.87438631489708,14.960629921259843,27.235536721656285,0.10596735529160657,0.18921035694986163,0.21400931003308354,-22.493383320938847,3.5265652668661858,-26.019948587805033
109,1264,1205.0,1264.0,1197,721,ok,51.95157192644476,98.73417721518987,44.365930737025536,1.0,0.43620404965708204,0.28674334632840265,-14.378420157313258,9.313222744393421,-23.69164290170668
110,1226,1264.0,1239.0,1218,358,ok,47.70366346536601,51.282051282051285,54.992286139500344,0.4408160077727373,0.5155944543547814,0.3803362869872416,-12.63527475635442,8.845094516281808,-21.480369272636228
111,1249,1226.0,1264.0,1240,1302,ok,50.34988175403065,80.76923076923077,76.92848642215732,0.7891575317293336,0.7433245131673569,0.5650410057264067,-8.56259954689267,10.33421578059485,-18.89681532748752
112,1267,1249.0,1298.0,1250,1238,ok,52.38068072729119,72.32142857142857,68.12423687423689,1.0,0.7433245131673569,0.667414493563165,-3.5355006478355335,12.28905174372159,-15.824552391557123
113,1260,1267.0,1260.0,1250,1135,ok,51.49851222179154,66.07142857142857,73.05402930402931,0.8900824466491154,0.8930799927928162,0.7932430063758433,-0.7504569485406591,12.059276354413173,-12.809733302953832
114,1245,1260.0,1250.0,1242,790,ok,49.57190184848096,52.67857142857143,63.690476190476204,0.626438232303712,0.838840226317609,0.8250815774259274,-0.4731315033852752,9.869281439654847,-10.342412943040122
115,1280,1245.0,1280.0,1250,1302,ok,53.90514567711227,83.92857142857143,67.55952380952381,1.0,0.838840226317609,0.8569201484760113,3.6191708168059904,11.16926700787689,-7.5500961910708995
116,1302,1280.0,1325.0,1281,784,ok,56.43897825340763,83.45323741007195,73.35346008907162,1.0,0.8754794107679039,0.8510532878010406,8.803499067387293,13.082876206766553,-4.279377139379261
117,1293,1302.0,1293.0,1276,789,ok,55.10448336216753,76.97841726618705,81.45340870161016,0.8847308900374584,0.9615769633458194,0.8919655334771107,11.170355658717881,12.359786238477714,-1.1894305797598328
118,1281,1293.0,1281.0,1265,1230,ok,53.295027945650084,68.34532374100719,76.2589928057554,0.7281399703098838,0.8709569534491141,0.9026711091876124,11.197556372261943,9.90958956161742,1.2879668106445223
119,1275,1281.0,1285.0,1260,907,ok,52.369071595482076,64.02877697841727,69.78417266187051,0.6480717452405191,0.7536475351959537,0.8620604839969622,10.273212263792175,7.188196362518122,3.085015901274053
120,1300,1275.0,1302.0,1288,955,ok,55.81386570587193,80.76923076923077,71.0477771628851,0.9459459917946551,0.7740525691150193,0.7995523525866957,12.158277762534453,7.25860948900832,4.899668273526133
121,1310,1300.0,1316.0,1310,1338,ok,57.14886557080896,88.28125,77.69308591588269,1.0,0.8646725790117248,0.7974575611075659,14.27243964407171,7.498217096436461,6.774222547635249
122,1319,1310.0,1319.0,1301,1100,ok,58.36799477744065,95.3125,88.12099358974359,1.0,0.981981997264885,0.8735690484638763,16.381676509231283,7.685963169276828,8.695713339954455
123,1355,1319.0,1365.0,1338,1155,ok,62.91318090528323,93.19727891156462,92.26367630385488,1.0,1.0,0.9488848587588699,21.43542850220024,10.191772129796625,11.243656372403613
124,1350,1355.0,1353.0,1340,904,ok,61.902338194490206,88.0,92.16992630385488,0.9242319490890462,0.9747439830296821,0.9855753267648556,23.844555102223012,10.080718983855519,13.763836118367493
125,1371,1350.0,1371.0,1350,2701,ok,64.48344927567877,100.0,93.73242630385488,1.0,0.9747439830296821,0.9831626553531212,27.254702996011247,10.792693502115,16.462009493896247
126,1382,1371.0,1395.0,1368,2406,ok,65.79085002606497,91.50326797385621,93.1677559912854,1.0,0.9747439830296821,0.9747439830296819,30.16160270045725,10.959674565248804,19.201928135208448
127,1430,1382.0,1443.0,1400,1362,ok,70.83584345222118,93.53233830845771,95.01186876077132,1.0,1.0,0.9831626553531212,36.75991354055668,14.046388324278588,22.713525216278093
128,1475,1430.0,1478.0,1430,4131,ok,74.61542846947263,98.6842105263158,94.57327226954324,1.0,1.0,0.9915813276765606,45.41405650308093,18.16042502944227,27.25363147363866
129,1483,1475.0,1502.0,1478,3631,ok,75.2300143927316,92.14876033057851,94.78843638845068,1.0,1.0,0.9999999999999999,51.164721847466126,19.128872299061968,32.03584954840416
130,1474,1483.0,1486.0,1447,3187,ok,73.08620874225078,88.4297520661157,93.08757430767001,0.9062240927903139,0.968741364263438,0.9895804547544792,52.877164015251765,16.673051573478084,36.20411244177368
131,1470,1474.0,1490.0,1462,2707,ok,72.1027676142421,86.77685950413223,89.1184573002755,0.8632056951358218,0.9231432626420452,0.9639615423018276,52.31102121729509,12.885527020417129,39.42549419687796
132,1450,1470.0,1465.0,1450,1828,ok,67.23151639726193,78.51239669421487,84.57300275482095,0.6501238786865788,0.8065178888709048,0.8994675052587958,48.405761475070676,7.18421382255417,41.221547652516506
133,1440,1450.0,1450.0,1431,943,ok,64.87159333297308,71.02803738317758,78.77243119384157,0.4665048549628789,0.6599448095950932,0.7965353203693475,43.39951371562984,1.7423728504906677,41.65714086513917
134,1450,1440.0,1455.0,1420,2028,ok,66.15113301070082,74.12935323383084,74.55659577040778,0.49788138621905426,0.5381700399561707,0.6682109128073894,39.97792233340829,-1.343374825384707,41.321297158792994
135,1450,1450.0,1462.0,1441,651,ok,66.15113301070082,74.12935323383084,73.0955812836131,0.4615780559407132,0.4753214323742155,0.5578120939751596,36.62526848067705,-3.756822942492761,40.38209142316981
136,1460,1450.0,1470.0,1450,2222,ok,67.52308659890664,74.39024390243902,74.21631679003359,0.42173506624944196,0.4603981694697365,0.4912965472667074,34.51416782988326,-4.6943388746292385,39.2085067045125
137,1470,1460.0,1470.0,1440,969,ok,68.8814000950589,80.24691358024691,76.25550357217226,0.523651820224263,0.46898831413813946,0.46823597199403033,33.31355089032513,-4.715964651349893,38.029515541675025
138,1478,1470.0,1481.0,1470,897,ok,69.96369699806343,84.21052631578948,79.61589459949181,0.5099534281598971,0.48511343821120073,0.4714999739396921,32.54982681136312,-4.383750984249531,36.93357779561265
139,1480,1478.0,1486.0,1470,975,ok,70.24234107802269,83.58208955223881,82.67984314942508,0.518490966341815,0.5173654049086585,0.49048905241933277,31.440342835504225,-4.394587968086739,35.834930803590964
140,1469,1480.0,1475.0,1460,1167,ok,66.58370930083582,67.6470588235294,78.47989156385258,0.16528735006864356,0.3979105815234519,0.46679647488110354,28.67476520193486,-5.728132481324884,34.402897683259745
141,1451,1469.0,1460.0,1451,508,ok,60.98595234880518,37.80487804878049,63.01134214151625,0.0,0.2279261054701529,0.3810673639674209,24.054742018184697,-8.27852453206004,32.33326655024474
142,1461,1451.0,1500.0,1455,3040,ok,62.85433722180985,50.0,51.81731229076997,0.13116938603909964,0.09881891203591443,0.24155186634317294,21.37781877958787,-8.764358216525494,30.142176996113363
143,1455,1461.0,1473.0,1450,1350,ok,60.967730847394755,43.75,43.85162601626018,0.0,0.043723128679699914,0.12348938206192227,18.332592373160423,-9.447667698362352,27.780260071522775
144,1450,1455.0,1460.0,1445,2545,ok,59.36852007477723,37.5,43.75000000000001,0.0,0.043723128679699914,0.06208838979843794,15.219038502712692,-10.048977255048065,25.268015757760757
145,1469,1450.0,1475.0,1447,2466,ok,63.30723373831542,61.25,47.50000000000001,0.36221983628042254,0.12073994542680755,0.06939540092873564,14.801790431718928,-8.372980260833465,23.174770692552393
146,1451,1469.0,1451.0,1441,385,ok,57.60965147895269,38.75,45.83333333333334,0.0,0.12073994542680755,0.09506767317777153,12.14784632259466,-8.821539495966189,20.96938581856085
147,1465,1451.0,1465.0,1430,2488,ok,60.58118761898235,56.25,52.08333333333334,0.23522592847119586,0.1991485882505395,0.1468761597013847,11.568629498444352,-7.520605056093196,19.089234554537548
148,1462,1465.0,1472.0,1451,1036,ok,59.616780405612516,45.714285714285715,46.904761904761905,0.15888373658825503,0.13136988835315033,0.15041947401016564,10.549204792897626,-6.832023809311938,17.381228602209564
149,1465,1462.0,1468.0,1441,1546,ok,60.29743366817484,50.0,50.654761904761905,0.21276404902880078,0.20229123802941726,0.17760323821103555,9.91727648306528,-5.971161695315427,15.888438178380706
150,1439,1465.0,1465.0,1430,569,ok,52.101278903021544,12.857142857142858,36.1904761904762,0.0,0.1238825952056853,0.15251457386275083,6.346627861871184,-7.63344825320762,13.980076115078804
151,1450,1439.0,1450.0,1436,1059,ok,54.89473942805802,28.571428571428573,30.476190476190485,0.1539854997512731,0.122249849593358,0.14947456094282005,4.943546645690503,-7.229223575510641,12.172770221201144
152,1437,1450.0,1451.0,1437,1216,ok,51.10168404656728,10.0,17.142857142857153,0.0,0.05132849991709107,0.09915364823871131,2.407007863005447,-7.81260988655656,10.219617749562007
153,1440,1437.0,1440.0,1423,1265,ok,51.927190636549646,22.07792207792208,20.216450216450227,0.053320323176374036,0.06910194097588242,0.08089343016211036,0.9272524610751134,-7.433892230789514,8.361144691864627
154,1437,1440.0,1437.0,1405,1420,ok,50.99997386388823,33.68421052631579,21.920710868079297,0.0,0.017773441058791382,0.04606796065058814,-0.45201676645910993,-7.050529166658991,6.598512400199881
155,1462,1437.0,1464.0,1440,1427,ok,57.76759050165419,60.0,38.58737753474596,0.5498881722509299,0.20106949847576802,0.09598162683681379,1.3833530704671375,-4.172127463786195,5.555480534253332
156,1460,1462.0,1469.0,1450,731,ok,57.08829122527307,78.57142857142857,57.4185463659148,0.494693166757252,0.34819377966939397,0.18901223973465098,2.3958716473428012,-2.5276871095284257,4.923558756871227
