Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,13.0625,13.4375,13.0,13.4375,12.437575340270996,127300
2000-01-03,13.125,13.125,12.1875,12.25,11.338441848754883,257600
2000-01-04,12.25,12.5625,12.125,12.5625,11.627692222595215,178900
2000-01-05,12.4375,12.875,12.0,12.75,11.801238059997559,148600
2000-01-06,12.75,13.6875,12.75,13.6875,12.668974876403809,962200
2000-01-07,13.6875,13.9375,13.5,13.5,12.495424270629883,776700
2000-01-10,13.5625,13.625,13.0625,13.0625,12.090481758117676,183300
2000-01-11,13.0625,13.0625,12.375,12.375,11.454139709472656,165200
2000-01-12,12.4375,12.5625,12.1875,12.5625,11.627692222595215,225000
2000-01-13,12.4375,12.75,12.1875,12.3125,11.396291732788086,146500
2000-01-14,12.3125,13.5625,12.3125,13.5,12.495424270629883,483700
2000-01-18,13.375,14.4375,13.3125,13.875,12.842521667480469,855800
2000-01-19,13.9375,14.0625,13.5,13.625,12.611123085021973,371800
2000-01-20,13.6875,13.6875,12.75,12.9375,11.97478199005127,210700
2000-01-21,12.75,12.8125,12.5,12.8125,11.859086990356445,176500
2000-01-24,12.8125,13.5,12.8125,13.0625,12.090481758117676,336000
2000-01-25,13.0,13.0625,12.0625,12.125,11.222742080688477,179200
2000-01-26,12.0,12.5,11.75,12.125,11.222742080688477,364500
2000-01-27,12.25,12.4375,11.8125,11.875,10.991344451904297,214700
2000-01-28,11.9375,12.0,11.4375,11.4375,10.586404800415039,128000
2000-01-31,11.5625,11.75,11.375,11.625,10.759950637817383,193700
2000-02-01,11.5625,12.0625,11.5,11.875,10.991344451904297,174000
2000-02-02,12.5,12.875,11.8125,11.8125,10.933497428894043,520600
2000-02-03,11.8125,12.0,11.5,11.8125,10.933497428894043,219800
2000-02-04,11.6875,11.6875,10.3125,10.75,9.950064659118652,1447700
2000-02-07,11.375,12.0625,11.375,11.9375,11.0491943359375,511500
2000-02-08,12.0,12.0,11.25,11.5,10.644250869750977,214700
2000-02-09,11.5625,11.75,11.375,11.375,10.52855110168457,110900
2000-02-10,11.375,11.625,10.75,10.75,9.950064659118652,335900
2000-02-11,10.5625,10.6875,10.1875,10.1875,9.43819808959961,655500
2000-02-14,10.25,11.5,10.25,11.125,10.306747436523438,355200
2000-02-15,11.0,11.125,10.6875,11.125,10.306747436523438,308600
2000-02-16,11.0,11.0,10.5625,11.0,10.190940856933594,266700
2000-02-17,11.0625,11.0625,10.625,10.75,9.959329605102539,229800
2000-02-18,10.6875,10.6875,10.5,10.5625,9.785618782043457,218800
2000-02-22,10.5625,10.8125,10.5625,10.8125,10.017230033874512,217100
2000-02-23,10.9375,10.9375,10.6875,10.8125,10.017230033874512,90600
2000-02-24,10.8125,10.875,10.5625,10.875,10.0751314163208,228200
2000-02-25,10.8125,11.125,10.625,11.125,10.306747436523438,217800
2000-02-28,11.125,11.375,10.9375,11.375,10.53835678100586,195400
2000-02-29,11.375,11.4375,10.875,11.0,10.190940856933594,132100
2000-03-01,11.0625,11.125,10.8125,10.875,10.0751314163208,94100
2000-03-02,10.75,10.75,10.5625,10.6875,9.9014253616333,157300
2000-03-03,10.6875,11.25,10.625,11.1875,10.36465072631836,232600
2000-03-06,11.0,11.3125,10.875,11.25,10.422550201416016,161700
2000-03-07,11.1875,11.1875,10.625,10.875,10.0751314163208,225700
2000-03-08,11.0,11.0,10.5625,10.6875,9.9014253616333,100800
2000-03-09,10.8125,10.875,10.0625,10.1875,9.43819808959961,299200
2000-03-10,10.5625,10.6875,10.375,10.375,9.611907005310059,370700
2000-03-13,10.25,10.25,10.125,10.1875,9.43819808959961,115000
2000-03-14,10.0625,10.3125,10.0,10.0625,9.322393417358398,170400
2000-03-15,10.1875,11.0,10.0625,10.8125,10.017230033874512,363200
2000-03-16,11.1875,12.0,11.1875,12.0,11.117387771606445,551400
2000-03-17,11.625,11.6875,11.3125,11.4375,10.596261978149414,190900
2000-03-20,11.5625,11.875,11.3125,11.6875,10.827871322631836,180900
2000-03-21,11.5625,12.0,11.5,12.0,11.117387771606445,366800
2000-03-22,12.0,12.1875,11.9375,12.0625,11.175291061401367,408300
2000-03-23,11.9375,11.9375,11.5625,11.625,10.76996898651123,126400
2000-03-24,11.75,11.9375,11.625,11.75,10.885772705078125,66000
2000-03-27,11.625,11.625,11.0,11.0,10.190940856933594,685400
2000-03-28,11.0,11.0625,10.9375,10.9375,10.133038520812988,418100
2000-03-29,11.0,11.125,10.9375,11.0625,10.248841285705566,103500
2000-03-30,11.125,11.6875,11.0625,11.375,10.53835678100586,283900
2000-03-31,11.4375,11.5625,11.1875,11.375,10.53835678100586,389400
2000-04-03,11.5,11.5,11.0,11.0625,10.248841285705566,104100
2000-04-04,11.125,11.25,10.0,10.8125,10.017230033874512,351400
2000-04-05,10.6875,10.875,10.3125,10.5625,9.785618782043457,151700
2000-04-06,10.625,10.8125,10.5625,10.8125,10.017230033874512,131700
2000-04-07,10.75,11.0,10.75,10.9375,10.133038520812988,268400
2000-04-10,11.0,11.125,10.6875,10.6875,9.9014253616333,200700
2000-04-11,10.5625,11.1875,10.5625,11.0,10.190940856933594,249900
2000-04-12,11.3125,12.125,11.3125,12.0625,11.175291061401367,1189600
2000-04-13,11.9375,12.4375,11.4375,12.125,11.233192443847656,552200
2000-04-14,12.0,12.0,11.625,11.75,10.885772705078125,167300
2000-04-17,11.625,12.0,11.625,12.0,11.117387771606445,177700
2000-04-18,11.875,12.125,11.8125,12.125,11.233192443847656,210900
2000-04-19,12.0,12.0,11.5625,11.625,10.76996898651123,178200
2000-04-20,11.625,12.125,11.5625,11.9375,11.05948257446289,451200
2000-04-24,11.875,11.875,11.25,11.25,10.422550201416016,100100
2000-04-25,11.375,11.875,11.3125,11.875,11.001579284667969,93900
2000-04-26,11.875,12.0,11.75,11.875,11.001579284667969,186500
2000-04-27,11.75,11.875,11.5625,11.8125,10.943678855895996,81600
2000-04-28,11.875,11.9375,11.625,11.875,11.001579284667969,204700
2000-05-01,11.875,12.3125,11.875,11.9375,11.05948257446289,310400
2000-05-02,12.0,12.0,11.875,12.0,11.117387771606445,241200
2000-05-03,11.875,11.9375,11.6875,11.8125,10.943678855895996,114500
2000-05-04,11.75,12.0625,11.75,11.9375,11.05948257446289,132200
2000-05-05,11.9375,12.0,11.5,11.6875,10.827871322631836,110800
2000-05-08,11.75,12.0,11.6875,11.75,10.885772705078125,63300
2000-05-09,11.875,12.0,11.625,11.75,10.885772705078125,97900
2000-05-10,11.8125,12.125,11.375,12.0625,11.175291061401367,478100
2000-05-11,12.0,12.25,11.625,11.9375,11.068658828735352,494900
2000-05-12,12.25,13.5625,12.25,13.5,12.517436027526855,1157500
2000-05-15,13.8125,14.0,13.375,13.5625,12.575389862060547,424500
2000-05-16,13.8125,14.5,13.8125,14.375,13.328754425048828,1217000
2000-05-17,14.125,14.125,13.75,13.9375,12.923095703125,242900
2000-05-18,13.8125,14.0625,13.8125,13.875,12.865144729614258,429900
2000-05-19,13.8125,13.8125,13.125,13.25,12.28563404083252,166700
2000-05-22,13.125,13.375,13.0625,13.25,12.28563404083252,115600
2000-05-23,13.125,13.1875,12.6875,12.75,11.822025299072266,194000
2000-05-24,12.75,13.5625,12.75,13.5625,12.575389862060547,478200
2000-05-25,13.5625,13.5625,13.0625,13.0625,12.111780166625977,314800
2000-05-26,13.0625,13.125,12.75,12.8125,11.879979133605957,52400
2000-05-30,12.6875,12.75,12.375,12.625,11.706122398376465,340000
2000-05-31,12.5,12.5625,12.3125,12.5,11.590222358703613,261300
2000-06-01,12.5,12.8125,12.5,12.8125,11.879979133605957,141200
2000-06-02,12.6875,13.125,12.5625,12.9375,11.99587631225586,304900
2000-06-05,12.9375,13.0,12.0625,12.4375,11.532270431518555,229600
2000-06-06,12.5,12.75,12.375,12.5,11.590222358703613,203700
2000-06-07,12.4375,12.5625,12.375,12.5,11.590222358703613,104600
2000-06-08,12.4375,12.4375,12.25,12.3125,11.41636848449707,58700
2000-06-09,12.3125,12.5,12.125,12.3125,11.41636848449707,86700
2000-06-12,12.4375,12.4375,12.125,12.1875,11.30046558380127,65100
2000-06-13,12.125,12.1875,11.875,12.1875,11.30046558380127,149100
2000-06-14,12.1875,12.5,12.1875,12.375,11.47431755065918,208500
2000-06-15,12.375,12.4375,11.8125,12.25,11.358416557312012,114000
2000-06-16,12.125,12.25,11.875,12.125,11.242512702941895,177600
2000-06-19,12.1875,12.1875,11.1875,11.5625,10.720955848693848,98600
2000-06-20,11.1875,11.4375,11.125,11.3125,10.489151954650879,219600
2000-06-21,11.0625,11.3125,11.0,11.25,10.431198120117188,269700
2000-06-22,11.25,11.3125,10.75,10.9375,10.141446113586426,407200
2000-06-23,10.9375,10.9375,10.25,10.6875,9.90964126586914,550000
