Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,15.9375,16.5625,15.625,16.25,13.454164505004883,242300
2000-01-03,16.25,16.375,15.375,15.375,12.729707717895508,376700
2000-01-04,15.25,15.5,15.0,15.0625,12.470975875854492,229200
2000-01-05,15.25,15.5,15.0,15.0625,12.470975875854492,504300
2000-01-06,14.9375,15.25,14.8125,15.0,12.419230461120605,268200
2000-01-07,14.8125,15.0,14.375,14.625,12.108748435974121,417300
2000-01-10,14.6875,15.1875,14.5,15.0625,12.470975875854492,395200
2000-01-11,16.0,16.0,15.25,15.4375,12.781457901000977,218300
2000-01-12,15.6875,16.0,15.3125,15.375,12.729707717895508,320400
2000-01-13,15.5625,15.75,15.125,15.375,12.729707717895508,264000
2000-01-14,15.375,15.375,14.875,14.875,12.315733909606934,110900
2000-01-18,14.875,14.875,14.4375,14.6875,12.160493850708008,251800
2000-01-19,14.6875,14.875,14.4375,14.5625,12.057003021240234,317100
2000-01-20,14.5625,15.0,14.5625,14.8125,12.26398754119873,201400
2000-01-21,15.0,15.0,14.5625,14.6875,12.160493850708008,261200
2000-01-24,14.75,14.875,14.5,14.75,12.212242126464844,236900
2000-01-25,14.625,14.8125,14.4375,14.75,12.212242126464844,576000
2000-01-26,14.75,14.75,13.75,13.9375,11.539531707763672,1314400
2000-01-27,13.9375,15.5,13.9375,15.0,12.419230461120605,795100
2000-01-28,15.0,15.0,13.875,13.875,11.487789154052734,1595900
2000-01-31,13.9375,14.3125,13.875,14.25,11.798267364501953,192200
2000-02-01,14.25,14.625,13.5,14.5,12.005253791809082,317700
2000-02-02,14.625,14.9375,14.5,14.8125,12.26398754119873,363300
2000-02-03,14.8125,15.375,14.5,14.75,12.212242126464844,327600
2000-02-04,14.875,14.875,14.0625,14.375,11.901762008666992,264800
2000-02-07,14.375,14.5,14.125,14.1875,11.746521949768066,188400
2000-02-08,14.1875,14.25,13.875,14.25,11.798267364501953,204000
2000-02-09,14.9375,14.9375,13.625,13.625,11.28079891204834,211200
