Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,0.625,0.6875,0.59375,0.625,0.625,53800
2000-01-03,0.609375,0.65625,0.59375,0.625,0.625,11600
2000-01-04,0.625,0.625,0.625,0.625,0.625,0
2000-01-05,0.6875,0.6875,0.65625,0.6875,0.6875,5400
2000-01-06,0.609375,0.609375,0.609375,0.609375,0.609375,400
2000-01-07,0.75,0.75,0.6875,0.75,0.75,21400
2000-01-10,0.78125,0.828125,0.75,0.78125,0.78125,59000
2000-01-11,0.90625,1.0,0.859375,0.921875,0.921875,458200
2000-01-12,1.0,1.09375,0.96875,1.046875,1.046875,642800
2000-01-13,1.03125,1.125,0.9375,0.984375,0.984375,226400
2000-01-14,0.9921875,1.03125,0.96875,1.03125,1.03125,130200
2000-01-18,1.0390625,1.5,1.03125,1.1875,1.1875,313200
2000-01-19,1.3125,1.3125,1.25,1.28125,1.28125,342200
2000-01-20,1.296875,1.296875,1.125,1.140625,1.140625,342600
2000-01-21,1.203125,1.21875,1.0625,1.125,1.125,137600
2000-01-24,1.140625,1.3125,1.125,1.1875,1.1875,217200
2000-01-25,1.25,1.25,1.125,1.1875,1.1875,170600
2000-01-26,1.265625,1.265625,1.125,1.15625,1.15625,163800
2000-01-27,1.21875,1.25,1.0625,1.125,1.125,97400
2000-01-28,1.15625,1.1875,1.125,1.15625,1.15625,60400
2000-01-31,1.171875,1.21875,1.125,1.15625,1.15625,45600
2000-02-01,1.171875,1.203125,1.0625,1.15625,1.15625,71800
2000-02-02,1.203125,1.203125,1.0625,1.125,1.125,51000
2000-02-03,1.203125,1.21875,1.09375,1.15625,1.15625,51400
2000-02-04,1.15625,1.15625,1.0,1.0625,1.0625,89800
2000-02-07,1.125,1.125,1.0,1.0,1.0,122800
2000-02-08,1.0,1.0625,1.0,1.015625,1.015625,113200
2000-02-09,1.03125,1.09375,1.0,1.09375,1.09375,111600
2000-02-10,1.09375,1.140625,1.0,1.0625,1.0625,97800
2000-02-11,1.140625,1.15625,1.03125,1.109375,1.109375,136800
2000-02-14,1.140625,1.1875,1.03125,1.15625,1.15625,230800
2000-02-15,1.140625,1.1875,1.140625,1.1875,1.1875,50600
2000-02-16,1.1875,1.1875,1.140625,1.140625,1.140625,158200
2000-02-17,1.125,1.21875,1.078125,1.1640625,1.1640625,146000
2000-02-18,1.1875,1.25,1.15625,1.25,1.25,170800
2000-02-22,1.25,1.375,1.09375,1.234375,1.234375,306600
2000-02-23,1.1875,1.25,1.125,1.234375,1.234375,124200
2000-02-24,1.25,1.3125,1.0625,1.15625,1.15625,157600
2000-02-25,1.25,1.25,1.09375,1.25,1.25,85000
2000-02-28,1.21875,1.3125,1.0625,1.15625,1.15625,120600
2000-02-29,1.21875,1.21875,1.15625,1.15625,1.15625,41400
2000-03-01,1.21875,1.25,1.125,1.21875,1.21875,34200
2000-03-02,1.234375,1.3125,1.21875,1.234375,1.234375,61800
2000-03-03,1.265625,1.40625,1.21875,1.375,1.375,135400
2000-03-06,1.40625,1.671875,1.359375,1.625,1.625,422000
2000-03-07,1.9140625,2.125,1.53125,1.75,1.75,596000
2000-03-08,2.0625,2.0625,1.71875,1.78125,1.78125,232200
2000-03-09,1.71875,1.875,1.625,1.625,1.625,235600
2000-03-10,1.875,1.875,1.65625,1.84375,1.84375,149000
2000-03-13,1.84375,1.875,1.75,1.78125,1.78125,88200
2000-03-14,1.84375,1.875,1.75,1.75,1.75,179600
2000-03-15,1.84375,1.875,1.6875,1.6875,1.6875,55800
2000-03-16,1.65625,1.78125,1.65625,1.75,1.75,51600
2000-03-17,1.78125,1.875,1.6875,1.875,1.875,63200
2000-03-20,1.9375,1.9375,1.625,1.78125,1.78125,125400
2000-03-21,1.7109375,1.78125,1.59375,1.59375,1.59375,53000
2000-03-22,1.75,1.75,1.625,1.671875,1.671875,45800
2000-03-23,1.703125,1.75,1.625,1.65625,1.65625,17200
2000-03-24,1.703125,1.75,1.375,1.421875,1.421875,143600
2000-03-27,1.453125,1.5625,1.4375,1.5625,1.5625,62400
2000-03-28,1.5,1.5625,1.375,1.5546875,1.5546875,58000
2000-03-29,1.453125,1.5,1.25,1.34375,1.34375,38200
2000-03-30,1.375,1.5,1.25,1.375,1.375,70400
2000-03-31,1.375,1.375,1.265625,1.3125,1.3125,16800
2000-04-03,1.28125,1.375,1.1875,1.1875,1.1875,73400
2000-04-04,1.171875,1.25,1.125,1.21875,1.21875,92000
2000-04-05,1.21875,1.21875,1.09375,1.09375,1.09375,75000
2000-04-06,1.125,1.21875,1.09375,1.21875,1.21875,31800
2000-04-07,1.1875,1.21875,1.15625,1.15625,1.15625,18600
2000-04-10,1.15625,1.25,1.15625,1.234375,1.234375,33800
2000-04-11,1.21875,1.25,1.125,1.15625,1.15625,46800
2000-04-12,1.21875,1.21875,1.0,1.0625,1.0625,69000
2000-04-13,0.96875,1.1484375,0.765625,1.0625,1.0625,56800
2000-04-14,1.0,1.21875,0.9375,0.96875,0.96875,34400
2000-04-17,1.03125,1.03125,0.9375,0.96875,0.96875,36200
2000-04-18,0.90625,1.0,0.90625,1.0,1.0,24400
2000-04-19,0.96875,0.9921875,0.875,0.96875,0.96875,37800
2000-04-20,0.96875,1.0,0.765625,0.8125,0.8125,41000
2000-04-24,0.953125,1.1875,0.90625,1.0625,1.0625,70000
2000-04-25,0.9375,1.484375,0.9375,1.09375,1.09375,107000
2000-04-26,1.109375,1.125,1.0,1.0625,1.0625,188000
2000-04-27,1.0,1.125,0.96875,1.0625,1.0625,37600
2000-04-28,1.09375,1.09375,1.0,1.0,1.0,101400
2000-05-01,1.0625,1.0625,0.90625,1.0,1.0,25600
2000-05-02,1.0,1.078125,0.9375,0.9375,0.9375,23000
2000-05-03,0.9375,1.03125,0.9375,1.03125,1.03125,33800
2000-05-04,0.9375,1.0625,0.9375,1.015625,1.015625,7400
2000-05-05,1.046875,1.0625,1.015625,1.015625,1.015625,4400
2000-05-08,1.046875,1.171875,0.96875,1.03125,1.03125,55200
2000-05-09,1.0625,1.09375,0.984375,0.984375,0.984375,21600
2000-05-10,0.96875,0.96875,0.875,0.9375,0.9375,70800
2000-05-11,0.90625,0.9375,0.875,0.9375,0.9375,22400
2000-05-12,0.9375,0.9375,0.875,0.875,0.875,9000
2000-05-15,0.9375,0.96875,0.9375,0.9375,0.9375,76400
2000-05-16,0.953125,1.0,0.90625,0.953125,0.953125,176000
2000-05-17,0.984375,0.984375,0.9375,0.953125,0.953125,44200
2000-05-18,0.953125,0.953125,0.9375,0.9375,0.9375,3400
2000-05-19,0.921875,0.96875,0.875,0.90625,0.90625,48400
2000-05-22,0.9453125,1.0,0.890625,0.890625,0.890625,33200
2000-05-23,0.90625,0.90625,0.90625,0.90625,0.90625,1200
2000-05-24,0.96875,0.984375,0.875,0.9375,0.9375,8600
2000-05-25,0.9375,0.9375,0.90625,0.90625,0.90625,6400
2000-05-26,0.921875,0.9296875,0.921875,0.9296875,0.9296875,800
2000-05-30,0.90625,0.9375,0.875,0.9375,0.9375,34400
2000-05-31,0.890625,0.9375,0.890625,0.90625,0.90625,4000
2000-06-01,0.90625,0.921875,0.90625,0.90625,0.90625,6400
2000-06-02,0.9375,0.9375,0.875,0.90625,0.90625,9800
2000-06-05,0.875,0.96875,0.875,0.9375,0.9375,29200
2000-06-06,0.9140625,0.9140625,0.84375,0.84375,0.84375,33200
2000-06-07,0.859375,0.875,0.84375,0.875,0.875,22400
2000-06-08,0.875,0.90625,0.84375,0.875,0.875,22600
2000-06-09,0.875,0.875,0.84375,0.84375,0.84375,2000
2000-06-12,0.84375,0.84375,0.84375,0.84375,0.84375,5000
2000-06-13,0.875,0.90625,0.84375,0.8984375,0.8984375,33200
2000-06-14,0.90625,0.90625,0.84375,0.90625,0.90625,20400
2000-06-15,0.90625,0.9375,0.875,0.90625,0.90625,68600
2000-06-16,0.9140625,0.9375,0.90625,0.9375,0.9375,69200
2000-06-19,0.9375,1.0,0.90625,0.9375,0.9375,70600
2000-06-20,1.0,1.0625,0.96875,1.03125,1.03125,272000
2000-06-21,1.03125,1.125,1.03125,1.03125,1.03125,139600
2000-06-22,1.0625,1.09375,1.0,1.0,1.0,97400
2000-06-23,1.09375,1.140625,1.03125,1.0625,1.0625,124800
2000-06-26,1.0625,1.125,1.0,1.0,1.0,82800
2000-06-27,1.03125,1.09375,0.9375,1.03125,1.03125,76800
2000-06-28,1.03125,1.0625,0.96875,1.03125,1.03125,37800
2000-06-29,0.984375,1.0,0.96875,0.96875,0.96875,8600
2000-06-30,1.046875,1.0546875,1.0,1.03125,1.03125,82400
2000-07-03,1.03125,1.03125,0.96875,1.0,1.0,59000
2000-07-05,0.90625,1.0625,0.90625,1.0,1.0,39200
2000-07-06,0.984375,1.0625,0.9375,0.984375,0.984375,33000
2000-07-07,1.03125,1.125,0.96875,1.03125,1.03125,95600
2000-07-10,0.96875,1.0625,0.96875,1.0625,1.0625,43000
2000-07-11,1.125,1.125,0.96875,0.96875,0.96875,35800
2000-07-12,1.046875,1.046875,0.9375,0.9375,0.9375,23800
2000-07-13,1.0625,1.0625,0.9375,0.953125,0.953125,32200
2000-07-14,1.0625,1.0625,0.78125,0.875,0.875,62000
