Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.4375,19.9375,19.3125,19.875,12.894731521606445,71100
2000-01-03,19.9375,20.0625,19.25,19.25,12.489239692687988,250800
2000-01-04,19.25,19.625,19.125,19.375,12.570335388183594,240800
2000-01-05,19.375,20.0,19.375,19.8125,12.854179382324219,203900
2000-01-06,19.75,19.75,19.375,19.625,12.73253345489502,290800
2000-01-07,20.0,20.0,19.5,19.625,12.73253345489502,210900
2000-01-10,20.125,20.125,19.6875,19.6875,12.773083686828613,240000
2000-01-11,19.5625,20.0,19.5625,19.625,12.73253345489502,242500
2000-01-12,19.6875,19.6875,19.25,19.3125,12.52978515625,253500
2000-01-13,19.375,20.0,19.375,19.875,12.894731521606445,161200
2000-01-14,19.75,19.9375,19.125,19.4375,12.610891342163086,227300
2000-01-18,19.3125,20.125,19.3125,20.0625,13.016382217407227,160300
2000-01-19,20.125,20.75,20.125,20.5625,13.340778350830078,170900
2000-01-20,20.5,20.5,19.9375,20.3125,13.178576469421387,180100
2000-01-21,20.3125,20.3125,19.9375,20.1875,13.097487449645996,435600
2000-01-24,20.125,20.25,19.1875,19.1875,12.448691368103027,221500
2000-01-25,19.25,19.4375,19.1875,19.25,12.489239692687988,305500
2000-01-26,19.25,19.375,19.125,19.3125,12.52978515625,166800
2000-01-27,19.25,19.75,19.25,19.375,12.570335388183594,103900
2000-01-28,19.4375,19.8125,18.625,18.625,12.083744049072266,138600
2000-01-31,19.0625,19.75,19.0625,19.5625,12.691983222961426,172200
2000-02-01,19.5,20.1875,19.25,19.9375,12.935282707214355,340100
2000-02-02,19.9375,20.375,19.5625,20.0,12.975835800170898,114900
2000-02-03,20.25,20.3125,19.8125,19.875,12.894731521606445,202100
2000-02-04,19.8125,20.4375,19.8125,20.1875,13.097487449645996,177800
2000-02-07,20.0625,20.0625,19.875,19.9375,12.935282707214355,139700
2000-02-08,19.9375,20.625,19.9375,20.25,13.138023376464844,78100
2000-02-09,20.125,20.125,19.6875,19.75,12.813633918762207,251500
2000-02-10,19.9375,19.9375,19.625,19.75,12.813633918762207,221200
2000-02-11,19.625,19.8125,19.375,19.5625,12.691983222961426,346100
2000-02-14,19.5,19.875,19.375,19.8125,12.854179382324219,63400
2000-02-15,19.6875,20.5625,19.6875,20.5,13.300226211547852,169700
2000-02-16,20.25,20.6875,20.1875,20.3125,13.178576469421387,90400
2000-02-17,20.375,20.5,19.8125,20.0,12.975835800170898,109100
2000-02-18,19.875,20.125,19.375,19.75,12.813633918762207,177100
2000-02-22,19.625,20.125,19.1875,19.5,12.651435852050781,237100
2000-02-23,19.4375,20.0,19.375,19.8125,12.854179382324219,166800
2000-02-24,19.5625,19.6875,18.6875,19.125,12.408135414123535,253400
2000-02-25,18.6875,19.125,18.6875,19.125,12.408135414123535,112600
2000-02-28,19.0,19.75,18.875,19.5,12.651435852050781,192800
2000-02-29,19.3125,19.875,19.3125,19.875,12.894731521606445,169200
2000-03-01,19.875,19.875,18.9375,19.3125,12.52978515625,300400
2000-03-02,19.5625,19.75,19.5,19.625,12.73253345489502,149100
2000-03-03,19.5625,20.25,19.5625,20.125,13.056929588317871,174000
2000-03-06,20.125,20.125,19.625,19.75,12.8776273727417,169500
2000-03-07,19.875,20.125,19.25,19.4375,12.673860549926758,108600
2000-03-08,19.25,20.4375,19.25,20.25,13.203633308410645,147200
2000-03-09,20.3125,20.375,19.875,20.0,13.040633201599121,252000
2000-03-10,20.0,20.0,19.75,19.8125,12.918378829956055,167600
2000-03-13,19.9375,19.9375,19.3125,19.4375,12.673860549926758,247600
2000-03-14,19.375,19.9375,19.25,19.75,12.8776273727417,277200
2000-03-15,19.625,20.375,19.5625,20.25,13.203633308410645,243800
2000-03-16,20.75,23.0,20.75,22.75,14.833715438842773,340300
2000-03-17,21.5,23.0,21.5,22.8125,14.874471664428711,265900
2000-03-20,22.875,23.5,22.75,22.8125,14.874471664428711,119200
2000-03-21,22.25,23.0,22.25,22.625,14.75221061706543,253300
2000-03-22,22.875,23.625,22.875,23.4375,15.281988143920898,221400
2000-03-23,23.4375,23.5,22.875,23.5,15.322738647460938,207400
2000-03-24,23.5,23.6875,23.25,23.5,15.322738647460938,125300
2000-03-27,23.375,23.5,22.75,23.25,15.159729957580566,121300
2000-03-28,23.125,23.5625,23.125,23.125,15.07822322845459,97000
2000-03-29,23.125,23.25,23.0,23.1875,15.118983268737793,83100
2000-03-30,23.25,23.5,22.3125,23.25,15.159729957580566,188900
2000-03-31,23.25,24.0,22.9375,23.5625,15.36349105834961,376900
2000-04-03,23.625,23.625,23.0,23.5,15.322738647460938,156100
2000-04-04,23.5,24.25,23.5,24.125,15.730262756347656,228900
2000-04-05,23.875,24.4375,23.875,24.25,15.81177043914795,168500
2000-04-06,24.0,24.6875,24.0,24.625,16.0562686920166,118300
2000-04-07,24.625,24.625,24.1875,24.3125,15.852518081665039,244300
2000-04-10,24.0625,24.1875,23.8125,24.0,15.648750305175781,160100
2000-04-11,23.75,24.25,23.625,24.1875,15.771007537841797,168800
2000-04-12,24.1875,25.75,24.1875,25.1875,16.423046112060547,271400
2000-04-13,25.0,25.625,24.5,25.5625,16.66755485534668,97800
2000-04-14,25.3125,25.3125,24.375,24.4375,15.93402099609375,193200
2000-04-17,24.6875,25.6875,24.6875,25.5625,16.66755485534668,290500
2000-04-18,25.5,26.9375,24.8125,26.3125,17.15657615661621,331800
2000-04-19,26.375,26.875,25.8125,26.75,17.441844940185547,342500
2000-04-20,26.6875,26.9375,25.9375,26.375,17.19732666015625,170100
2000-04-24,26.3125,26.625,26.25,26.5,17.278827667236328,238800
2000-04-25,27.5,27.6875,26.3125,27.4375,17.890113830566406,301400
2000-04-26,27.1875,27.6875,26.3125,26.4375,17.23808479309082,129900
2000-04-27,26.4375,27.125,26.375,27.0,17.604854583740234,77000
2000-04-28,26.75,27.1875,26.75,26.875,17.523353576660156,85800
2000-05-01,26.75,27.75,26.75,27.5,17.930864334106445,81900
2000-05-02,27.5625,27.5625,26.625,26.8125,17.482589721679688,97800
2000-05-03,27.0625,27.25,26.125,26.125,17.034317016601562,184500
2000-05-04,25.625,27.0,25.625,26.375,17.19732666015625,280200
2000-05-05,26.375,27.0,26.375,26.6875,17.40108871459961,202200
2000-05-08,26.625,27.375,26.5625,26.8125,17.482589721679688,317100
2000-05-09,26.5625,26.6875,26.25,26.625,17.3603458404541,123800
2000-05-10,26.625,27.125,26.5,27.0,17.604854583740234,331800
2000-05-11,27.0,28.375,27.0,28.1875,18.37913703918457,299400
2000-05-12,28.1875,29.5,28.0625,29.0625,18.949665069580078,257000
2000-05-15,28.875,29.1875,28.8125,29.0625,18.949665069580078,233300
2000-05-16,29.0,29.0625,28.375,28.5,18.582895278930664,236200
2000-05-17,28.625,28.625,27.625,28.125,18.338380813598633,96000
2000-05-18,27.875,28.0,27.625,27.9375,18.216129302978516,131900
2000-05-19,27.6875,28.0,26.875,27.125,17.68635368347168,241800
2000-05-22,27.5,27.5,26.6875,26.9375,17.56410026550293,202200
2000-05-23,26.875,27.75,26.875,27.25,17.767864227294922,149800
2000-05-24,28.0,28.0,27.3125,27.375,17.849361419677734,141700
2000-05-25,27.125,27.5,26.875,27.0,17.604854583740234,122900
2000-05-26,27.125,27.125,26.0,26.125,17.034317016601562,95900
2000-05-30,26.75,27.0,26.6875,26.875,17.590682983398438,149900
2000-05-31,26.75,27.125,26.375,26.375,17.263418197631836,53500
2000-06-01,26.125,27.75,26.125,27.625,18.08158302307129,175700
2000-06-02,27.5,28.5,27.5,28.0625,18.367944717407227,158700
2000-06-05,28.0,28.3125,27.5,27.9375,18.28612518310547,78000
2000-06-06,28.125,28.4375,27.75,28.3125,18.531583786010742,127500
2000-06-07,28.25,28.3125,27.625,27.75,18.16339874267578,159300
2000-06-08,27.875,27.875,27.0,27.375,17.917951583862305,195400
2000-06-09,27.625,27.625,27.0,27.125,17.754308700561523,84500
2000-06-12,27.125,27.375,26.75,26.9375,17.631582260131836,83100
2000-06-13,27.0,27.0,26.125,26.25,17.181598663330078,208500
2000-06-14,26.25,27.0,26.0625,26.75,17.508859634399414,293000
2000-06-15,26.5,26.75,26.25,26.25,17.181598663330078,247900
2000-06-16,24.625,26.125,24.625,25.875,16.93614387512207,447300
2000-06-19,25.75,25.8125,24.75,24.9375,16.322513580322266,213000
2000-06-20,24.9375,25.0625,23.9375,24.0,15.70888614654541,301900
2000-06-21,24.125,24.875,24.0625,24.4375,15.995248794555664,125400
2000-06-22,24.1875,24.375,23.875,23.9375,15.667978286743164,65200
2000-06-23,24.125,24.3125,23.625,23.9375,15.667978286743164,187400
2000-06-26,23.9375,24.125,23.0625,23.5,15.381609916687012,149200
2000-06-27,23.5,24.25,23.125,23.75,15.545252799987793,190400
2000-06-28,23.8125,24.25,23.125,23.265625,15.22821044921875,252500
2000-06-29,23.5,24.625,23.3125,24.625,16.11797332763672,358800
2000-06-30,24.5625,25.25,24.1875,24.328125,15.923649787902832,328300
2000-07-03,24.125,25.0625,24.0625,25.0,16.36341667175293,79400
2000-07-05,24.75,25.125,24.5,24.625,16.11797332763672,127800
2000-07-06,24.875,25.0,24.375,24.375,15.954333305358887,115100
2000-07-07,24.375,24.5,24.0,24.0,15.70888614654541,228900
2000-07-10,24.25,24.75,24.09375,24.5625,16.07706069946289,92900
2000-07-11,24.5625,24.8125,24.25,24.5,16.036148071289062,64700
2000-07-12,24.875,25.1875,24.0625,24.125,15.790700912475586,73600
2000-07-13,24.1875,24.8125,24.0625,24.375,15.954333305358887,70800
2000-07-14,24.375,24.5,24.1875,24.4375,15.995248794555664,43900
2000-07-17,24.3125,24.6875,23.9375,24.0,15.70888614654541,152400
2000-07-18,24.0,24.0,23.25,23.5,15.381609916687012,140200
2000-07-19,23.625,24.0,23.625,23.75,15.545252799987793,100300
2000-07-20,23.5,24.25,23.3125,23.3125,15.258892059326172,196600
2000-07-21,23.3125,23.3125,22.5,22.5,14.727080345153809,166000
2000-07-24,22.625,22.625,21.5,21.625,14.154358863830566,260400
2000-07-25,21.75,22.625,21.75,22.4375,14.686169624328613,186300
2000-07-26,22.5,22.5,22.125,22.125,14.481633186340332,235200
2000-07-27,21.875,22.125,21.125,21.125,13.827095031738281,118200
2000-07-28,21.375,21.625,21.1875,21.375,13.990726470947266,267900
2000-07-31,21.625,22.25,21.4375,22.0,14.399805068969727,175500
2000-08-01,22.0,22.625,21.8125,22.5,14.727080345153809,187500
2000-08-02,22.5625,22.8125,22.125,22.75,14.890719413757324,231500
2000-08-03,22.625,23.25,22.4375,23.0625,15.095254898071289,187500
2000-08-04,23.125,23.8125,23.0625,23.75,15.545252799987793,322700
2000-08-07,24.0,24.25,23.6875,24.0,15.70888614654541,212400
2000-08-08,24.0,24.75,23.9375,24.6875,16.15888214111328,192400
2000-08-09,24.625,25.0,24.3125,24.3125,15.913424491882324,138100
2000-08-10,24.375,24.375,23.875,23.9375,15.667978286743164,81200
2000-08-11,23.9375,24.5,23.875,24.1875,15.831610679626465,119000
2000-08-14,24.1875,24.1875,23.5,24.125,15.790700912475586,195900
2000-08-15,24.25,24.75,24.0625,24.125,15.790700912475586,177300
2000-08-16,24.125,24.5,24.125,24.25,15.872520446777344,81900
2000-08-17,23.75,24.0625,23.625,23.8125,15.586160659790039,174000
2000-08-18,23.625,24.5,23.625,24.25,15.872520446777344,95100
2000-08-21,24.375,24.9375,24.375,24.6875,16.15888214111328,138100
2000-08-22,24.6875,24.75,24.3125,24.375,15.954333305358887,100300
2000-08-23,24.5,24.5625,23.8125,23.9375,15.667978286743164,115600
2000-08-24,23.875,24.0,23.75,23.9375,15.667978286743164,66300
2000-08-25,23.6875,24.1875,23.6875,23.875,15.627068519592285,297200
2000-08-28,23.9375,25.4375,23.875,25.1875,16.486148834228516,164300
2000-08-29,25.0,25.1875,24.875,25.125,16.445241928100586,197900
2000-08-30,24.5,24.75,24.25,24.6875,16.22344970703125,210000
2000-08-31,24.875,25.25,24.75,25.140625,16.521223068237305,129800
2000-09-01,25.1875,25.6875,25.0625,25.3125,16.634172439575195,159600
2000-09-05,25.0625,25.3125,24.875,25.3125,16.634172439575195,213600
2000-09-06,25.5,25.75,25.3125,25.75,16.921672821044922,129800
2000-09-07,25.5,26.0,25.5,25.9375,17.044891357421875,177600
2000-09-08,26.0,26.0,25.75,26.0,17.085960388183594,167000
2000-09-11,26.0625,26.375,25.8125,25.8125,16.962749481201172,125500
