SN,adjclose,open,high,low,volume,s,RSI
1537.0,226,220,230,220,52737,ok,70.35293801
1481.0,160,163,164,160,3077,ok,40.75697299
1480.0,161,159,162,160,1231,ok,42.21916364
1488.0,164,170,170,164,1776,ok,49.23716221
1581.0,260,265,270,257,24884,ok,60.50970725
1325.0,198,200,200,197,5370,ok,59.99517209
1343.0,196,195,196,195,1151,ok,52.69583791
1307.0,190,192,196,190,981,ok,55.29745725
1490.0,163,166,166,163,2338,ok,47.39244835
1558.0,245,248,249,240,10900,ok,56.51320853
1540.0,224,229,230,223,24797,ok,62.39651583
1575.0,257,260,260,252,17875,ok,61.5303359
1408.0,186,182,188,182,2203,ok,56.89961765
1295.0,192,192,198,192,1699,ok,64.2696037
1361.0,192,196,196,192,3210,ok,46.21072005
1551.0,243,250,250,242,10728,ok,58.67140815
1293.0,184,181,187,181,1017,ok,55.13569488
1310.0,195,184,195,184,6374,ok,60.21441982
1567.0,236,243,244,235,2805,ok,48.27871042
1514.0,199,202,205,199,11830,ok,66.015777
1371.0,191,191,191,191,874,ok,47.18393047
1505.0,184,190,193,184,28564,ok,61.66602685
1319.0,189,187,189,187,511,ok,51.38834192
1281.0,178,177,178,176,970,ok,51.8578061
1577.0,259,255,259,253,12958,ok,61.08596101
1574.0,259,266,275,251,54254,ok,63.1989913
1536.0,220,226,226,219,29908,ok,64.20036235
1444.0,168,172,172,168,5474,ok,38.8207314
1285.0,183,180,183,180,1300,ok,61.31429939
1549.0,245,246,258,242,27222,ok,61.71679972
1446.0,169,173,173,167,1827,ok,40.32289828
1337.0,197,195,198,195,125,ok,54.69343311
1492.0,168,167,170,167,3774,ok,56.90026051
1303.0,190,193,193,190,100,ok,56.82036074
1582.0,274,265,283,264,46278,ok,67.51148876
1470.0,165,166,168,165,1706,ok,46.58098878
1348.0,193,192,195,192,3210,ok,46.92322703
1284.0,180,180,180,180,100,ok,55.63215669
1523.0,211,217,217,211,14030,ok,60.24773584
1296.0,189,190,190,189,260,ok,59.17679501
1441.0,172,174,174,172,887,ok,39.42040994
1553.0,241,237,243,233,7042,ok,55.6984707
1311.0,190,193,193,190,750,ok,53.28457543
1374.0,193,192,193,192,1588,ok,52.27652813
1344.0,195,197,197,195,1694,ok,50.82941847
1378.0,192,193,193,192,1173,ok,50.11348376
1305.0,190,190,190,189,985,ok,56.09947374
1504.0,188,195,200,187,26338,ok,67.17567987
